Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,National Article Title (FR),National Sentence Text (FR),P/T Article Title (FR),P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated
2015,ON,NBC,Div B,9.23.4.4.(3),Concrete Topping ,"Where a floor is required to support a concrete topping not more than 51 mm thick, the allowable beam spans shown in Span Tables 9.23.4.2.-H to 9.23.4.2.-K shall be multiplied by 0.8 or the supported length of the floor joists shall be reduced to allow for the loads due to the topping.",obc2019divb,Div B,9.23.4.4.(3),9.23.4.4. Concrete Topping (See Appendix A.) ,"Where a floor is required to support a concrete topping not more than 51 mm thick, the beam spans shown in TablesÂ A-8 to A-11 shall be multiplied by 0.8 or the supported length of the floor joists shall be reduced to allow for the loads due to the topping.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.4.5.(1),Heavy Roofing Materials ,"Where a roof is required to support an additional uniform dead load from roofing materials such as concrete roofing tile, or materials other than as specified in part 9., such as clay roofing tiles, the additional load shall be allowed for by reducing the spans for roof joists and rafters in Span Tables 9.23.4.2.-D to 9.23.4.2.-G, or the spacing of the members, and the spans for ridge beams and lintels in Span Tables 9.23.4.2.-L and 9.23.12.3.-A to 9.23.12.3.-D.",obc2019divb,Div B,9.23.4.5.(1),9.23.4.5. Heavy Roofing Materials ,"Where a roof is required to support an additional uniform dead load from roofing materials such as concrete roofing tile, or materials other than as specified in Section 9.26., such as clay roofing tiles, the additional load shall be allowed for by reducing,(a) the spans for roof joists and rafters in Tables A-4 to A-7, or the spacing of the members, and (b) the spans for ridge beams and lintels in Tables A-12 to A-16. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.6.1.(5),Anchorage of Building Frames ,"Anchor bolts referred to in Sentences (2) to (4) shall be a) fastened to the sill plate with nuts and washers, b) embedded not less than 100 mm in the foundation, and c) so designed that they may be tightened without withdrawing them from the foundation",obc2019divb,Div B,9.23.6.1.(3),9.23.6.1. Anchorage of Building Frames ,Anchor bolts referred to in Sentence (2) shall be fastened to the sill plate with nuts and washers and shall be embedded not less than 100 mm in the foundation and so designed that they may be tightened without withdrawing them from the foundation. ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.6.2.(1),Anchorage of Columns and Posts ,"Except as provided in Sentences 9.23.6.2.(2) and 9.23.6.2.(3), exterior columns and posts shall be anchored to resist uplift and lateral movement.",obc2019divb,Div B,9.23.6.2.(1),9.23.6.2. Anchorage of Columns and Posts ,"Except as provided in Sentences (2) and (3), exterior columns and posts shall be anchored to resist uplift and lateral movement.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.6.2.(2),Anchorage of Columns and Posts ,"Except as provided in Sentence (3), where columns or posts support balconies, decks, verandas or other exterior platforms, and the distance from finished ground to the underside of the joists is not more than 600 mm,
a) the columns or posts shall be anchored to the foundation to resist uplift and lateral movement, or b) the supported joists or beams shall be directly anchored to the ground to
resist uplift.",obc2019divb,Div B,9.23.6.2.(2),9.23.6.2. Anchorage of Columns and Posts ,"Except as provided in Sentence (3), where columns or posts support balconies, decks, verandas and other exterior platforms, and the columns or posts extend not more than 600 mm above finished ground level, the supported joists or beams shall be,(a) anchored to a foundation to resist uplift and lateral movement, or (b) directly anchored to the ground to resist uplift. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.6.2.(3),Anchorage of Columns and Posts ,"Anchorage is not required for platforms described in Sentence (2) that a) are not more than 1 storey in height, b) are not more than 55 m2 in area, c) do not support a roof, and d) are not attached to another structure, unless it can be demonstrated that differential movement will not adversely affect the performance of the structure to which the platform is attached.",obc2019divb,Div B,9.23.6.2.(3),9.23.6.2. Anchorage of Columns and Posts ,"Anchorage is not required for platforms described in Sentence (2) that,(a) are not more than 1 storey, (b) are not more than 55 mÂ² in area, (c) do not support a roof, and (d) are not attached to another structure, unless it can be demonstrated that differential movement will not adversely affect the performance of that structure. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.6.3.(1),Anchorage of Smaller Buildings ,"Buildings not more than 4.3 m wide and not more than 1 storey in building height
that are not anchored in accordance with Sentence 9.23.6.1.(1) shall be anchored in conformance with the requirements of CSA Z240.10.1, �Site Preparation, Foundation, and Installation of Buildings.�",obc2019divb,Div B,9.23.6.3.(1),9.23.6.3. Anchorage of Smaller Buildings ,"Buildings not more than 4.3 m wide and not more than 1 storey in building height are permitted to be anchored in conformance with the requirements of CSA Z240.10.1, ""Site Preparation, Foundation, and Installation of Buildings"".",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.7.2.(1),Levelling and Sealing of Sill Plates ,"Sill plates shall be a) levelled by setting them on a full bed of mortar, or b) laid directly on the foundation if the top of the foundation is level. (See also Article 9.23.2.3.)",obc2019divb,Div B,9.23.7.2.(1),9.23.7.2. Levelling of Sill Plates ,"Sill plates shall be,(a) levelled by setting them on a full bed of mortar, or (b) laid directly on the foundation where the top of the foundation is level. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.7.2.(2),Levelling and Sealing of Sill Plates ,The joint between the sill plate for exterior walls and the foundation shall be sealed in accordance with part 9. ,obc2019divb,Div B,9.23.7.2.(2),9.23.7.2. Levelling of Sill Plates ,The joint between the sill plate for exterior walls and the foundation shall be sealed in accordance with SubsectionÂ 9.25.3.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.8.1.(1),Bearing for Beams ,"Beams shall have even and level bearing and the bearing at end supports shall be not less than 89 mm long, except as stated in the notes to Span Tables 9.23.4.2.-H to 9.23.4.2.-K.",obc2019divb,Div B,9.23.8.1.(1),9.23.8.1. Bearing for Beams ,"Beams shall have even and level bearing and shall have not less than 89 mm length of bearing at end supports, except as required in notes to Tables A-8 to A-11.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.8.3.(2),Built-up Wood Beams ,"Except as permitted in Sentence 9.23.8.3.(3), where individual members of a built-up beam are butted together to form a joint, the joint shall occur over a support.",obc2019divb,Div B,9.23.8.3.(2),9.23.8.3. Built-up Wood Beams (See Appendix A.) ,"Except as permitted in Sentence (3), where individual members of a built-up beam are butted together to form a joint, the joint shall occur over a support.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.8.3.(4),Built-up Wood Beams ,Members joined at quarter points shall be continuous over adjacent supports.,obc2019divb,Div B,9.23.8.3.(4),9.23.8.3. Built-up Wood Beams (See Appendix A.) ,Members joined at quarter points shall be continuous over adjacent supports.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.8.3.(7),Built-up Wood Beams ,"Except as provided in Sentence 9.23.8.3.(8), where 38 mm members are laid on edge to form a built-up beam, individual members shall be nailed together with a double row of nails not less than 89 mm in length, spaced not more than 450 mm apart in each row with the end nails located 100 mm to 150 mm from the end of each piece.",obc2019divb,Div B,9.23.8.3.(7),9.23.8.3. Built-up Wood Beams (See Appendix A.) ,"Except as provided in Sentence (8), where 38 mm members are laid on edge to form a built-up beam, individual members shall be nailed together with a double row of nails not less than 89 mm in length, spaced not more than 450 mm apart in each row with the end nails located 100 mm to 150 mm from the end of each piece. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.8.3.(8),Built-up Wood Beams ,"Where 38 mm members in built-up wood beams are not nailed together as provided in Sentence 9.23.8.3.(7), they shall be bolted together with not less than 12.7 mm diam bolts equipped with washers and spaced not more than 1.2 m o.c., with the end bolts located not more than 600 mm from the ends of the members.",obc2019divb,Div B,9.23.8.3.(8),9.23.8.3. Built-up Wood Beams (See Appendix A.) ,"Where 38 mm members in built-up wood beams are not nailed together as provided in Sentence (7), they shall be bolted together with not less than 12.7 mm diam bolts equipped with washers and spaced not more than 1.2 m o.c., with the end bolts located not more than 600 mm from the ends of the members.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.1.(2),End Bearing for Joists ,Ribbon boards referred to in Sentence 9.23.9.1.(1) shall be not less than 19 mm by 89 mm lumber let into the studs.,obc2019divb,Div B,9.23.9.1.(2),9.23.9.1. End Bearing for Joists ,Ribbon boards referred to in Sentence (1) shall be not less than 19 mm by 89 mm lumber let into the studs.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.2.(2),Joists Supported by Beams ,"When framed into the side of a wood beam, joists referred to in Sentence (1)
shall be supported on a) joist hangers or other acceptable mechanical connectors, or b) not less than 38 mm by 64 mm ledger strips nailed to the side of the beam, except that 38 mm by 38 mm ledger strips may be used provided each joist is nailed to the beam by not less than four 89 mm nails, in addition to the nailing for the ledger strip required in Table 9.23.3.4.",obc2019divb,Div B,9.23.9.2.(2),9.23.9.2. Joists Supported by Beams ,"When framed into the side of a wood beam, joists referred to in Sentence (1) shall be supported on,(a) joist hangers or other acceptable mechanical connectors, or (b) not less than 38 mm by 64 mm ledger strips nailed to the side of the beam, except that 38 mm by 38 mm ledger strips may be used provided each joist is nailed to the beam by at least four 89 mm nails, in addition to the nailing for the ledger strip required in Table 9.23.3.4. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.2.(3),Joists Supported by Beams ,"When framed into the side of a steel beam, joists referred to in Sentence 9.23.9.2.(1) shall be supported on the bottom flange of the beam or on not less than 38 mm by 38 mm lumber bolted to the web with not less than 6.3 mm diam bolts spaced not more than 600 mm apart.",obc2019divb,Div B,9.23.9.2.(3),9.23.9.2. Joists Supported by Beams ,"When framed into the side of a steel beam, joists referred to in Sentence (1) shall be supported on the bottom flange of the beam or on not less than 38 mm by 38 mm lumber bolted to the web with not less than 6.3 mm diam bolts spaced not more than 600 mm apart.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.2.(4),Joists Supported by Beams ,Joists referred to in Sentence 9.23.9.2.(3) shall be spliced above the beam with not less than 38 mm by 38 mm lumber at least 600 mm long to support the flooring.,obc2019divb,Div B,9.23.9.2.(4),9.23.9.2. Joists Supported by Beams ,Joists referred to in Sentence (3) shall be spliced above the beam with not less than 38 mm by 38 mm lumber at least 600 mm long to support the flooring. ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.2.(5),Joists Supported by Beams ,Not less than a 12 mm space shall be provided between the splice required in Sentence 9.23.9.2.(4) and the beam to allow for shrinkage of the wood joists.,obc2019divb,Div B,9.23.9.2.(5),9.23.9.2. Joists Supported by Beams ,Not less than a 12 mm space shall be provided between the splice required in Sentence (4) and the beam to allow for shrinkage of the wood joists.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.4.(1),"Strapping, Bridging, Furring and Ceilings in Span Tables 9.23.4.2.-A ","When framed into the side of a wood beam, joists referred to in Sentence (1)
shall be supported on a) joist hangers or other acceptable mechanical connectors, or b) not less than 38 mm by 64 mm ledger strips nailed to the side of the beam, except that 38 mm by 38 mm ledger strips may be used provided each joist is nailed to the beam by not less than four 89 mm nails, in addition to the nailing for the ledger strip required in Table 9.23.3.4.",obc2019divb,Div B,9.23.9.4.(1),9.23.9.4. Strapping and Bridging in Tables A-1 and A-2 ,"Except as permitted by Sentence (5), where strapping is specified in Table A-1, it shall be,(a) not less than 19 mm by 64 mm, nailed to the underside of floor joists, (b) located not more than 2.1 m from each support or other rows of strapping, and (c) fastened at each end to a sill or header. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.4.(2),"Strapping, Bridging, Furring and Ceilings in Span Tables 9.23.4.2.-A ","Except as permitted by Sentence (5), where strapping is specified in Span
Table 9.23.4.2.-A, it shall be a) not less than 19 mm by 64 mm, nailed to the underside of floor joists, b) located not more than 2 100 mm from each support or other rows of strapping, and c) fastened at each end to a sill or header",obc2019divb,Div B,9.23.9.4.(2),9.23.9.4. Strapping and Bridging in Tables A-1 and A-2 ,"Where bridging is specified in Table A-1, it shall consist of not less than 19 mm by 64 mm or 38 mm by 38 mm cross bridging located not more than 2.1 m from each support or other rows of bridging.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.4.(3),"Strapping, Bridging, Furring and Ceilings in Span Tables 9.23.4.2.-A ","Where bridging is specified in Span Table 9.23.4.2.-A, it shall consist of not
less than 19 mm by 64 mm or 38 mm by 38 mm cross bridging located not more than 2 100 mm from each support or other rows of bridging.",obc2019divb,Div B,9.23.9.4.(3),9.23.9.4. Strapping and Bridging in Tables A-1 and A-2 ,"Where bridging and strapping are specified in Table A-1, (a) bridging shall, (i) comply with Sentence (2), or (ii) consist of 38 mm solid blocking located not more than 2.1 m from each support or other rows of bridging and securely fastened between the joists, and (b) except as provided in Sentence (5), strapping shall comply with Sentence (1) and be installed under the bridging. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.4.(4),"Strapping, Bridging, Furring and Ceilings in Span Tables 9.23.4.2.-A ","Where bridging and strapping are specified in Span Table 9.23.4.2.-A,
a) bridging shall i) comply with Sentence (2), or ii) consist of 38 mm solid blocking located not more than 2 100 mm from each support or other rows of bridging and securely fastened between the joists, and b) except as provided in Sentence (5), strapping shall comply with Sentence (1) and be installed under the bridging.",obc2019divb,Div B,9.23.9.4.(4),9.23.9.4. Strapping and Bridging in Tables A-1 and A-2 ,"Bridging specified in Table A-2 shall consist of,(a) bridging as described in Sentence (2), or (b) 38 mm solid blocking located not more than 2.1 m from each support or other rows of bridging and securely fastened between the joists. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.4.(5),"Strapping, Bridging, Furring and Ceilings in Span Tables 9.23.4.2.-A ","Strapping described in Sentence (1) and Clause (3)(b) is not required where
a) furring strips complying with Table 9.29.3.1. are fastened directly to the
joists, or b) a panel-type ceiling finish complying with Subsection 9.29.5., 9.29.6., 9.29.7., 9.29.8., or 9.29.9. is attached directly to the joists.",obc2019divb,Div B,9.23.9.4.(5),9.23.9.4. Strapping and Bridging in Tables A-1 and A-2 ,"Strapping described in Sentence (1) and Clause (3)(b) is not required where,(a) furring strips complying with Table 9.29.3.1. are fastened directly to the joists, or (b) a panel-type ceiling finish complying with Subsection 9.29.5., 9.29.6., 9.29.7., 9.29.8., or 9.29.9. is attached directly to the joists. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.8.(5),Support of Walls ,"Unless the joist size is designed to support such loads, loadbearing interior walls at right angles to floor joists shall be located not more than 900 mm from the joist support where the wall does not support a floor, and not more than 600 mm from the joist support where the wall supports one or more floors.",obc2019divb,Div B,9.23.9.8.(5),9.23.9.8. Support of Walls ,"Loadbearing interior walls at right angles to floor joists shall be located not more than 900 mm from the joist support when the wall does not support a floor, and not more than 600 mm from the joist support when the wall supports one or more floors, unless the joist size is designed to support such loads. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.9.(2),Cantilevered Floor Joists ,The cantilevered portions referred to in Sentence 9.23.9.9.(1) shall not support floor loads from other storeys unless calculations are provided to show that the design resistances of the cantilevered joists are not exceeded.,obc2019divb,Div B,9.23.9.9.(2),9.23.9.9. Cantilevered Floor Joists ,The cantilevered portions referred to in Sentence (1) shall not support floor loads from other storeys unless calculations are provided to show that the design resistances of the cantilevered joists are not exceeded.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.23.9.9.(3),Cantilevered Floor Joists ,"Where cantilevered floor joists described in Sentences (1) and (2) are at right angles to the main floor joists, the tail joists in the cantilevered portion shall extend inward away from the cantilever support a distance equal to not less than 6 times the length of the cantilever, and shall be end nailed to an interior doubled header joist in conformance with Table 9.23.3.4.",obc2019divb,Div B,9.23.9.9.(3),9.23.9.9. Cantilevered Floor Joists ,"Where cantilevered floor joists described in Sentences (1) and (2) are at right angles to the main floor joists, the tail joists in the cantilevered portion shall, (a) extend inward away from the cantilever support a distance equal to not less than six times the length of the cantilever, and (b) shall be end nailed to an interior doubled header joist in conformance with Table 9.23.3.4. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.1.2.(1),Material Standards ,Steel studs and runners shall conform to AISI S201-12 North American Standard for Cold-Formed Steel Framing - Product Data,obc2019divb,Div B,9.24.1.2.(1),9.24.1.2. Material Standards ,"Steel studs and runners shall conform to AISI S201, ""North American Standard for Cold Formed Steel Framing â€"" Product Data"".",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.1.4.(1),Screws ,"Screws for the application of cladding, sheathing or interior finish materials to steel studs, runners and furring channels shall conform to ASTM C 954-11 Steel Drill Screws for the Application of Gypsum Panel Products or Metal Plaster Bases to Steel Studs from 0.033 in. (0.84 mm) to 0.112 in. (2.84 mm) in Thickness or ASTM C 1002-07 Steel Self-Piercing Tapping Screws for the Application of Gypsum Panel Products or Metal Plaster Bases to Wood Studs or Steel Studs",obc2019divb,Div B,9.24.1.4.(1),9.24.1.4. Screws ,"Screws for the application of cladding, sheathing or interior finish materials to steel studs, runners and furring channels shall conform to,(a) ASTM C954, ""Steel Drill Screws for the Application of Gypsum Panel Products or Metal Plaster Bases to Steel Studs from 0.033 in. (0.84 mm) to 0.112 in. (2.84 mm) in Thickness"", or (b) ASTM C1002, ""Steel Self-Piercing Tapping Screws for the Application of Gypsum Panel Products or Metal Plaster Bases to Wood Studs or Steel Studs"". ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.1.5.(1),"Cladding, Sheathing and Interior Finish Required ","Cladding or sheathing, and interior finish shall be installed on steel stud framing and shall be fastened with screws spaced at the appropriate spacing described in part 9., and penetrating not less than 10 mm through the metal.",obc2019divb,Div B,9.24.1.5.(1),"9.24.1.5. Cladding, Sheathing and Interior Finish Required ","Cladding or sheathing, and interior finish shall be installed on steel stud framing and shall be fastened with screws,(a) spaced at the appropriate spacing described in Section 9.29., and (b) penetrating not less than 10 mm through the metal. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.2.3.(1),Runners ,Runners for interior and exterior non-loadbearing walls shall have a thickness not less than the thickness of the corresponding studs and shall have not less than 30 mm flanges.,obc2019divb,Div B,9.24.2.3.(1),9.24.2.3. Runners ,Runners for interior and exterior non-loadbearing walls shall have a thickness of not less than the thickness of the corresponding studs and shall have not less than 30 mm flanges.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.2.4.(1),Openings in Fire Separations ,"Where openings for doors in non-loadbearing fire separations required to have a fire-resistance rating do not exceed 1 200 mm in width, a) the width of steel studs shall be not less than 63 mm, and b) the metal thickness shall be not less than 0.46 mm.",obc2019divb,Div B,9.24.2.4.(1),9.24.2.4. Openings in Fire Separations ,"Where openings for doors in non-loadbearing fire separations required to have a fire-resistance rating do not exceed 1.2 m in width,(a) the width of steel studs shall be not less than 63 mm, and (b) the steel thickness shall be not less than 0.46 mm. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.2.4.(2),Openings in Fire Separations ,"Where openings described in Sentence (1) exceed 1 200 mm in width, a) the width of steel studs shall be not less than 91 mm, and b) the metal thickness shall be not less than 0.85 mm.",obc2019divb,Div B,9.24.2.4.(2),9.24.2.4. Openings in Fire Separations ,"Where openings described in Sentence (1) exceed 1.2 m in width,(a) the width of steel studs shall be not less than 91 mm, and (b) the metal thickness shall be not less than 0.85 mm. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.2.4.(4),Openings in Fire Separations ,"Where the distance between the framing over the opening referred to in Sentence 9.24.2.4.(3) and the top runner exceeds 400 mm in such walls, intermediate support shall be installed at intervals of not more than 400 mm above the opening.",obc2019divb,Div B,9.24.2.4.(4),9.24.2.4. Openings in Fire Separations ,"Where the distance between the framing over the opening referred to in Sentence (3) and the top runner exceeds 400Â mm in such walls, intermediate support shall be installed at intervals of not more than 400 mm above the opening. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.3.1.(3),Installation of Runners ,Fasteners used for attachment described in Sentence 9.24.3.1.(2) shall consist of the equivalent of 63 mm nails or 25 mm screws.,obc2019divb,Div B,9.24.3.1.(3),9.24.3.1. Installation of Runners ,Fasteners used for attachment described in Sentence (2) shall consist of the equivalent of 63 mm nails or 25 mm screws. ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.3.1.(4),Installation of Runners ,"Studs at openings and which are not full wall height shall be supported by a runner at the ends of the studs, securely fastened to the full length studs at the sides of the opening.",obc2019divb,Div B,9.24.3.1.(4),9.24.3.1. Installation of Runners ,"Studs at openings and that are not full wall height shall be supported by a runner at the ends of the studs, securely fastened to the full length studs at the sides of the opening.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.3.2.(2),Fire-Rated Walls ,"Except as provided in Article 9.24.3.6., studs in walls referred to in Sentence 9.24.3.2.(1) shall not be attached to the runners in a manner that will prevent such expansion.",obc2019divb,Div B,9.24.3.2.(2),9.24.3.2. Fire-Rated Walls ,"Except as provided in Article 9.24.3.6., studs in walls referred to in Sentence (1) shall not be attached to the runners in a manner that will prevent such expansion.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.3.2.(3),Fire-Rated Walls ,Framing above doors with steel door frames in non-loadbearing fire separations required to have a fire-resistance rating shall consist of 2 runners on the flat fastened back to back. (See Note A-9.24.3.2.(3).),obc2019divb,Div B,9.24.3.2.(3),9.24.3.2. Fire-Rated Walls ,Framing above doors with steel door frames in non-loadbearing fire separations required to have a fire-resistance rating shall consist of two runners on the flat fastened back to back. (See Appendix A.) ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.3.5.(2),Framing around Openings ,"Studs described in Sentence 9.24.3.5.(1) shall be fastened together by screws, crimping or welding to act as a single structural unit in resisting transverse loads.",obc2019divb,Div B,9.24.3.5.(2),9.24.3.5. Framing Around Openings ,"Studs described in Sentence (1) shall be fastened together by screws, crimping or welding to act as a single structural unit in resisting transverse loads.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.3.6.(2),Attachment of Studs to Runners ,"Where clearance for expansion is required in Article 9.24.3.2., attachment required in Sentence 9.24.3.6.(1) shall be applied between studs and bottom runners only.",obc2019divb,Div B,9.24.3.6.(2),9.24.3.6. Attachment of Studs to Runners ,"Where clearance for expansion is required in Article 9.24.3.2., attachment required in Sentence (1) shall be applied between studs and bottom runners only.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.3.7.(2),Openings for Fire Dampers ,The sill and header for openings described in Sentence 9.24.3.7.(1) shall consist of a runner track with right angle bends made on each end so as to extend 300 mm above the header or below the sill and fastened to the studs.,obc2019divb,Div B,9.24.3.7.(2),9.24.3.7. Openings for Fire Dampers ,The sill and header for openings described in Sentence (1) shall consist of a runner track with right angle bends made on each end so as to extend 300 mm above the header or below the sill and fastened to the studs.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.24.3.7.(3),Openings for Fire Dampers ,The openings described in Sentence 9.24.3.7.(1) shall be lined with a layer of gypsum board not less than 12.7 mm thick fastened to stud and runner webs.,obc2019divb,Div B,9.24.3.7.(3),9.24.3.7. Openings for Fire Dampers ,The openings described in Sentence (1) shall be lined with a layer of gypsum board at least 12.7 mm thick fastened to stud and runner webs. ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.25.1.1.(1),Scope and Application ,"This Section is concerned with heat, air and water vapour transfer and measures to control condensation.",obc2019divb,Div B,9.25.1.1.(1),9.25.1.1. Scope and Application ,"This Section applies to heat, air and water vapour transfer and measures to control condensation.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.25.2.2.(1),Insulation Materials ,"Except as required in Sentence 9.25.2.2.(2), thermal insulation shall conform to the requirements of ASTM C 726-12 Mineral Wool Roof Insulation Board CGSB CAN/CGSB-51.25-M87 Thermal Insulation, Phenolic, Faced CGSB 51-GP-27M-1979 Thermal Insulation, Polystyrene, Loose Fill ULC CAN/ULC-S701.1-17 Thermal Insulation, Polystyrene Boards ULC CAN/ULC-S702-14 Mineral Fibre Thermal Insulation for Buildings ULC CAN/ULC-S703-09 Cellulose Fibre Insulation for Buildings ULC CAN/ULC-S704-11 Thermal Insulation, Polyurethane and Polyisocyanurate, Boards, Faced ULC CAN/ULC-S705.1-15 Thermal Insulation – Spray Applied Rigid Polyurethane Foam, Medium Density – Material Specification or ULC CAN/ULC-S706.1-16 Wood Fibre Insulating Boards for Buildings",obc2019divb,Div B,9.25.2.2.(1),9.25.2.2. Insulation Materials ,"Except as required in Sentence (2), thermal insulation shall conform to the requirements of,(a) ASTM C726, ""Mineral Wool Roof Insulation Board,"" (b) CAN/CGSB-51.25-M, ""Thermal Insulation, Phenolic, Faced"", (c) CGSB 51-GP-27M, ""Thermal Insulation, Polystyrene, Loose Fill"", (d) CAN/ULC-S701.1, ""Thermal Insulation, Polystyrene Boards"", (e) CAN/ULC-S702 ""Mineral Fibre Thermal Insulation for Buildings"", (f) CAN/ULC-S703, ""Cellulose Fibre Insulation for Buildings"", (g) CAN/ULC-S704, ""Thermal Insulation, Polyurethane and Polyisocyanurate, Boards, Faced"", (h) CAN/ULC-S705.1, ""Thermal Insulation - Spray Applied Rigid Polyurethane Foam, Medium Density - Material - Specification"", or (i) CAN/ULC-S706.1, ""Wood Fibre Insulating Boards for Buildings"". ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.25.2.2.(2),Insulation Materials ,The flame-spread ratings requirements contained in the standards listed in Sentence 9.25.2.2.(1) shall not apply. (See Note A-9.25.2.2.(2).) ,obc2019divb,Div B,9.25.2.2.(2),9.25.2.2. Insulation Materials ,The flame-spread rating requirements contained in the standards listed in Sentence (1) shall not apply. (See Appendix A.),,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.25.2.2.(3),Insulation Materials ,Insulation in contact with the ground shall be inert to the action of soil and water and shall be such that its insulative properties are not significantly reduced by moisture.,obc2019divb,Div B,9.25.2.2.(3),9.25.2.2. Insulation Materials ,Insulation in contact with the ground shall be inert to the action of soil and water and be such that its insulative properties are not significantly reduced by moisture. ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.25.2.3.(3),Installation of Thermal Insulation ,"Except where the insulation provides the principal resistance to air leakage, thermal insulation shall be installed so that at least one face is in full and continuous contact with an element with low air permeance. (See Note A-9.25.2.3.(3).) ",obc2019divb,Div B,9.25.2.3.(3),9.25.2.3. Installation of Thermal Insulation ,"Except where the insulation provides the principal resistance to air leakage, thermal insulation shall be installed so that at least one face is in full and continuous contact with an element with low air permeance. (See Appendix A.) ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.25.2.3.(4),Installation of Thermal Insulation ,"Insulation on the interior of foundation walls enclosing a crawl space shall be applied so that there is not less than 50 mm clearance above the crawl space floor, if the insulation is of a type that may be damaged by water.",obc2019divb,Div B,9.25.2.3.(4),9.25.2.3. Installation of Thermal Insulation ,Insulation on the interior of foundation walls enclosing a crawl space shall be applied so that there is not less than a 50 mm clearance above the crawl space floor if the insulation is of a type that may be damaged by water.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.25.2.3.(6),Installation of Thermal Insulation ,"Where insulation is exposed to the weather and subject to mechanical damage, it shall be protected with not less than 6 mm preservative-treated plywood, or 12 mm cement parging on wire lath applied to the exposed face and edge.",obc2019divb,Div B,9.25.2.3.(6),9.25.2.3. Installation of Thermal Insulation ,"Where insulation is exposed to the weather and subject to mechanical damage, it shall be protected with not less than,(a) reserved, (b) 6 mm preservative-treated plywood, or (c) 12 mm cement parging on wire lath applied to the exposed face and edge. ",,Common,No,,,,,,,,,,,
