Division,P/T Section ID,Section Number,P/T Subsection ID,Subsection Number,P/T Article Title,P/T Sentence Number,P/T Sentence Text
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Loose Combustible Fibres,es004108,Quantities of loose combustible fibres exceeding 3 m3 but not exceeding 15 m3 shall be stored in rooms separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 1 h.
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Loose Combustible Fibres,es004109,Quantities of loose combustible fibres exceeding 15 m3 but not exceeding 30 m3 shall be stored in rooms separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 2 h.
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Loose Combustible Fibres,es007351,"Quantities of loose combustible fibres that exceed 30 m3 shall be stored in an individual room that is sprinklered in conformance with nfpa13 that is separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 2 h, and except as provided in es007352, with individual storage areas not exceeding the design area of the sprinkler system."
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Loose Combustible Fibres,es007352,The individual storage areas for loose combustible fibres described in es007351 shall not exceed 250 m2.
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Baled Combustible Fibres,es004111,"Except as permitted in Sentences es004112, es004113 and es004114, baled combustible fibres shall be stored so that no individual storage area exceeds 250 m2, the height of storage in an individual storage area does not exceed 4.5 m, subsidiary aisles within individual storage areas are not less than 1 m wide, and the clearance between piles and building walls is not less than 1 m."
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Baled Combustible Fibres,es004112,"Except as permitted in es004114, where baled combustible fibres are stored in sprinklered buildings, the maximum area of any individual storage area shall be 500 m2."
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Baled Combustible Fibres,es004113,"Where baled raw pulp is stored in a building that is not sprinklered, the maximum area of any individual storage area shall be 500 m2, and the maximum height of storage shall be 6 m."
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Baled Combustible Fibres,es004114,"Where baled raw pulp is stored in a sprinklered building, the maximum area of any individual storage area shall be 1 000 m2, and the maximum height of storage shall be 6 m."
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Baled Combustible Fibres,es004115,The sides of baled storage piles shall be inclined back from the base of the pile with a slope of not less than 1 m for each 10 m of height.
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Heating Equipment,es007353,"Unless the use of fuel-fired appliances and electrical heating elements is controlled in a manner such that they will not create a fire or explosion hazard, they shall not be permitted in a storage area for combustible fibres."
B,ep001015.2,3.2,ep001015.2.6,3.2.6,Heating Equipment,es007354,Shields shall be provided that will prevent stored material from coming within 300 mm of any part of a heating system's heat distribution network.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Application,es004119,"Except as provided in es007845 and ep001016 and except as otherwise specified in this Code, this Subsection applies to buildings or parts of buildings where dangerous goods in packages or containers are stored in a single fire compartment."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Application,es007845,"Where the amount of stored dangerous goods referred to in es004119 does not exceed the amount stated in Column C of et001080, it shall be exempted from the requirements of this Subsection."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Application,es004120,"Where a product has multiple classes, the applicable small quantity exemption referred to in es007845 shall be determined using Column A of et001080 based on the class having precedence, as established in Section 2.8 of tc_sor95 Column B of et001080 based on the class having precedence, as established in et000082, for controlled products under the hc_hpa-p2 as classified in Part 7 of hc_sor15-17 (see en000711), or when the class having precedence cannot be established, Column C of et001080 based on the lesser of the two small quantity exemptions. (See en000712.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Ignition Sources,es004121,"Heating appliances shall not be permitted in a fire compartment used for the storage of dangerous goods classified as flammable gases, flammable liquids, flammable solids, pyrophoric materials, water-reactive substances, oxidizers or organic peroxides, unless they are installed in a manner that will not create a fire or explosion hazard."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Ignition Sources,es004122,Smoking shall not be permitted within a fire compartment used for the storage of dangerous goods and signs shall be posted in conformance with ea002022
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Ignition Sources,es004123,"Except as provided in ep001015.1.3 and in ep001017.2, open flames and spark-producing devices shall not be used in an area where dangerous goods are stored. (See en000612.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Ambient Conditions,es004124,"Rooms or parts of buildings used for the storage of dangerous goods shall be dry and cool, and where the products being stored are capable of releasing flammable or toxic gases or vapours under normal ambient conditions, shall be provided with a ventilation system to exhaust such gases or vapours outdoors to an area where they will not return to the building (see en000587)."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Housekeeping,es004125,"Areas where dangerous goods are stored shall be kept free of waste packaging materials, debris of any kind, or any spilled product."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Housekeeping,es004126,Broken packages or containers of dangerous goods shall be moved to a safe location and the product repackaged and labelled as soon as possible.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es007327,"The method of storage of dangerous goods shall be determined to ensure the physical and chemical stability of the stored products, except as provided in Sentences es004128 and es004131, not exceed the maximum heights of storage shown in et000347, and not exceed the maximum base areas for individual storage areas shown in et000344 (see en000713)."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es004128,Storage heights for a protected storage area stated in et000347 are permitted to be exceeded provided the dangerous goods are stored on racks or shelves.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es004129,"When a storage area is required by this Article to be protected, it shall be sprinklered or protected with a special fire suppression system, in conformance with ep001014 and good engineering practice with respect to specific dangerous goods. (See en000589.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es004130,Stored dangerous goods other than compressed gases shall be kept not less than 100 mm above the floor level.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es004131,Flammable liquids and combustible liquids shall be stored in conformance with ep001016.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es004132,"Except as permitted in et001018, solid and liquid dangerous goods classified as oxidizers or organic peroxides shall be separated from the remainder of the building in conformance with Sentence 3.3.6.2.(1) of Division B of the nrcc-nbcae23."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es004133,Reactive materials shall be separated from the remainder of the building in conformance with Sentence 3.3.6.2.(2) of Division B of the nrcc-nbcae23.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es004134,"Packages or containers of dangerous goods classified as organic peroxides shall not be opened, or the product dispensed, in the same area where it is stored."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage Arrangements,es004065,"Except where the width of storage of dangerous goods is not more than 1.5 m, measured out from the wall, wall clearances of not less than 400 mm shall be maintained."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Separation from Other Dangerous Goods,es007328,"Except as required in Sentences es004136 and es004137, es007359g and es004165, dangerous goods shall be separated from other dangerous goods in conformance with et001018"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Separation from Other Dangerous Goods,es007846,The fire-resistance rating of the fire separations delimiting each fire compartment shall be determined in accordance with the applicable requirements of the Code. (See en001053.)
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Separation from Other Dangerous Goods,es004136,"In addition to the separation requirements in es007328, dangerous goods shall be stored in conformance with the information provided in the Safety Data Sheet for the specific dangerous good. (See en000588.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Separation from Other Dangerous Goods,es004137,"Flammable liquids, combustible liquids and dangerous goods classified as corrosives shall not be stored with dangerous goods classified as radioactive materials in quantities or in a manner that would constitute an undue risk in the event of a fire."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Corrosion Protection,es004138,"Measures shall be taken to prevent or minimize corrosion or deterioration of shelving, racks, and piping system components due to contact with stored dangerous goods."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Flooring Materials,es004139,"Floors in areas where dangerous goods are stored shall be constructed in conformance with Sentence 3.3.6.7.(1) of Division B of the nrcc-nbcae23, and maintained as an impervious membrane."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Flooring Materials,es004140,Dangerous goods classified as oxidizers or organic peroxides shall not be stored on combustible floors or platforms.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Fire Suppression Systems,es004141,"Except as permitted in Sentences es004142 and es004143 and in ep001016, buildings used for the storage of dangerous goods regulated by this Subsection shall be equipped throughout with a sprinkler system or other fire suppression system, designed in conformance with ep001014 and good engineering practice with respect to specific dangerous goods. (See en000589.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Fire Suppression Systems,es004142,"Buildings described in es004141 need not be equipped throughout with a sprinkler system or other fire suppression system, provided that the sum of individual storage areas in the building used for the storage of dangerous goods, other than substances classified as miscellaneous dangerous goods with no other class and those covered in ep001016, does not exceed 100 m2, and the dangerous goods are separated in conformance with et001018, and stored in fire compartments separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 2 h."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Fire Suppression Systems,es004143,"Buildings described in es004141 need not be equipped throughout with a sprinkler system or other fire suppression system, provided that storage consists only of dangerous goods classified as non-flammable, non-toxic gases with no subsidiary class of oxidizing substances."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Smoke Venting,es004144,"Where the collective individual storage areas for dangerous goods exceed 10 m2 in a fire compartment, means shall be provided for manual or automatic venting of smoke and toxic gases from the storage area under fire conditions. (See en000590.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Spill Control,es004145,Measures to control spilled liquid or solid dangerous goods shall be provided in conformance with ep001016.1.6
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Spill Control,es004146,"Materials or liquids used in the cleanup of spills and leakages of dangerous goods shall be compatible and non-reactive with the dangerous goods being cleaned up, and disposed of in conformance with ep001016.1.6"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Fire Department Access,es004147,"Except as provided in Sentences es004148 and es004149, fire department access to buildings described in ea004274 shall be in conformance with ep001014.5"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Fire Department Access,es004148,"Where the collective individual storage area for dangerous goods exceeds 10 m2, buildings regulated by es004147 shall be accessible to fire department vehicles from at least 2 sides for the purpose of firefighting. (See en000591.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Fire Department Access,es004149,"In buildings regulated by es004147, access openings to each storey provided in conformance with the nrcc-nbcae23 shall be not less than 750 mm wide by 1 100 mm high. (See en000592.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Labels,es004150,Products classified as dangerous goods shall display appropriate identifying labels from the time they enter a facility until they are issued as finished products or waste material. (See en000593.)
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Placards,es004151,"Individual storage areas used for the storage of dangerous goods and laboratories where dangerous goods are used shall be clearly designated as such by posted placards conforming to tc_sor95, and Sentences es004152 to es004154. (See en000594.)"
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Placards,es004152,"Where the dangerous goods identified in es004151 consist of a single product, only the UN number need be posted."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Placards,es004153,"Where the dangerous goods identified in es004151 consist of multiple products within the same class, the individual class and division placard shall be posted."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Placards,es004154,"Where the dangerous goods identified in es004151 consist of more than one class of products, a placard for each individual class, or the ”Danger” placard shown in tc_sor95 shall be posted at the entrance to the storage area."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Placards,es004155,Individual storage areas described in es004151 shall be identified in the fire safety plan as required in ea003591
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Training,es004156,"In a building regulated by this Subsection, at least one person shall be trained in conformance with es004157, in responsible charge during operating hours, and available to respond to a day or night emergency."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Training,es004157,"The person in responsible charge specified in es004156 shall be trained in the correct procedures for the handling, storing and offering for transport of dangerous goods in accordance with the appropriate federal, provincial, or territorial occupational safety and health regulations, or in the absence of regulations mentioned in es004157a, tc_sor95 or the hc_hpa-p2."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Training,es004158,All employees involved in the storage and handling of dangerous goods shall be trained in safe handling procedures and correct responses to an emergency situation.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Unauthorized Access,es004159,An area used for the storage of dangerous goods shall be secured against unauthorized access.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Separation from Combustible Products,es007355,"Except for Class I commodities, dangerous goods shall not be stored in the same individual storage area with other products listed in es004053."
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage of Oxidizers in Mercantile Occupancies,es007356,This Article applies to mercantile occupancies.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage of Oxidizers in Mercantile Occupancies,es007357,Dangerous goods classified as oxidizers that are located within mercantile occupancies in quantities not exceeding those permitted by et001080 shall be separated from ordinary combustible material by a distance of at least 1 m.
B,ep001015.2,3.2,ep001015.2.7,3.2.7,Storage of Oxidizers in Mercantile Occupancies,es007358,A clear space of not less than 2.4 m shall be maintained between the oxidizing substances identified in es007357 and any other dangerous goods. (See en000575)
B,ep001015.2,3.2,ep001015.2.8,3.2.8,Application,es004161,"Except as provided in ep001015.1.1, this Subsection applies to the indoor storage of dangerous goods classified as compressed gases."
B,ep001015.2,3.2,ep001015.2.8,3.2.8,Flammable Gases,es007359,"Except as provided in Sentences es007360 and es007361, cylinders of dangerous goods classified as flammable gases stored indoors shall be located in a room that is separated from the remainder of the building in conformance with Sentence 3.3.6.3.(1) of Division B of the nrcc-nbcae23, is located on an exterior wall of the building, can be entered from the exterior, and whose closures leading to the interior of the building are in conformance with Sentence 3.3.6.3.(1) of Division B of the nrcc-nbcae23, is designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in nfpa68 (see en001054), is provided with natural or mechanical ventilation in conformance with ep001016.1.7, does not contain fuel-fired appliances or high-temperature heating elements, and is used for no purpose other than the storage of dangerous goods classified as compressed gases."
B,ep001015.2,3.2,ep001015.2.8,3.2.8,Flammable Gases,es007360,"Cylinders of dangerous goods classified as flammable, lighter-than-air gases are permitted to be stored outside of a room described in es007359, provided the aggregate capacity per fire compartment of expanded gas outside of the room is not more than 60 m3 in a building of combustible construction that is not sprinklered, and 170 m3 in a sprinklered building or in a building of noncombustible construction. (See en000596.)"
B,ep001015.2,3.2,ep001015.2.8,3.2.8,Flammable Gases,es007361,"The storage of “single-trip” non-refillable cylinders (i.e. TC-39, TC-2P, and TC-2Q) with water capacities of more than 375 g and less than 1.13 kg located within mercantile occupancies shall conform to the provisions stipulated in csab149.2."
B,ep001015.2,3.2,ep001015.2.8,3.2.8,Indoor Storage of Anhydrous Ammonia and Toxic or Oxidizing Gases,es007362,"Cylinders of anhydrous ammonia or dangerous goods classified as toxic or oxidizing gases stored indoors shall be located in a room that is separated from the remainder of the building in conformance with Sentence 3.3.6.3.(2) of Division B of the nrcc-nbcae23, is located on an exterior wall, can be entered from the exterior, and whose closures leading to the interior of the building are in conformance with Sentence 3.3.6.3.(2) of Division B of the NBC(AE), and is provided with ventilation to the outdoors."
B,ep001015.2,3.2,ep001015.2.8,3.2.8,Indoor Storage of Anhydrous Ammonia and Toxic or Oxidizing Gases,es004165,Cylinders of gases described in es007362 shall not be stored in a room containing combustible materials.
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Application,es007363,This Subsection shall apply to the storage of ammonium nitrate mixtures (Class 5.1 oxidizing substances) in quantities exceeding 1 000 kg inside buildings. (See en001055.)
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Application,es007364,The requirements of ep001015.2.3 regarding Class II commodities shall also apply to bagged storage of ammonium nitrate. (See en000577.)
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Storage Buildings,es007365,The occupancy classification of buildings intended for the storage of ammonium nitrate shall conform to Sentence 3.3.6.6.(1) of Division B of the nrcc-nbcae23.
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Storage Buildings,es016325,The height of buildings intended for the storage of ammonium nitrate shall conform to Sentence 3.3.6.6.(2) of Division B of the nrcc-nbcae23.
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Storage Buildings,es016326,"Buildings intended for the storage of ammonium nitrate shall conform to Sentence 3.3.6.6.(3) of Division B of the nrcc-nbcae23, have ventilation in conformance with Sentence 3.3.6.6.(4) of Division B of the NBC(AE), and be designed to prevent the ammonium nitrate from coming into contact with building materials that may react with it as described in Sentence 3.3.6.6.(6) of Division B of the NBC(AE)."
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Storage Buildings,es007369,"All flooring in storage areas shall be constructed of noncombustible materials, as stated in Sentence 3.3.6.6.(5) of Division B of the nrcc-nbcae23."
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Storage Buildings,es007371,Buildings used for the storage of ammonium nitrate shall incorporate spatial separation and exposure protection in conformance with Subsection 3.2.3. of Division B of the nrcc-nbcae23. (See en001056.)
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Industrial Trucks,es007372,"In addition to the requirements of ep001015.1.3, industrial trucks used or stored within buildings where ammonium nitrate is also stored shall be maintained so that fuels or hydraulic fluids do not contaminate the ammonium nitrate. (See en001058.)"
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Industrial Trucks,es007373,Fuel-dispensing operations shall not be carried out in buildings where ammonium nitrate is stored.
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Industrial Trucks,es007374,"An internal combustion engine shall not be permitted to remain unattended in a building where ammonium nitrate is stored, unless the engine is located in an area that will prevent the spread of a fire originating in the engine."
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Industrial Trucks,es004180,Industrial trucks used for the transportation of ammonium nitrate shall be cleaned of remaining material following use.
B,ep001015.2,3.2,ep001015.2.9,3.2.9,Portable Extinguishers,es007375,"In addition to the requirements of Part 2, pressurized water portable fire extinguishers having a rating of 2-A or larger shall be installed. (See en001059.)"
B,ep001015.3,3.3,ep001015.3.1,3.3.1,Application,es004181,"Except as permitted in es004182, this Section shall apply to the outdoor storage of the following products: Class III and IV commodities, and Group A, B and C plastics, as described in ep001015.2, rubber tires, forest products, including lumber, timber and wood pallets, forest by-products, including wood chips and hogged material (see en000599), manufactured buildings (see en000600), wrecked vehicles in salvage yards, and dangerous goods in packages or containers, as covered in ep001015.3.4"
B,ep001015.3,3.3,ep001015.3.1,3.3.1,Application,es004182,"This Section shall not apply to a site where the total storage area is not more than 100 m2, except for distance requirements between stored products and a building, and requirements for dangerous goods classified as compressed gases in ep001015.3.5, Class I and II commodities, as classified in ep001015.2, intermodal shipping containers, except when containing dangerous goods (see en000601), buried products and landfill operations, products stored on the roof of a building, vehicles in parking areas or parking lots, logs and similar untreated forest products in ranked piles (see en000602), or bulk products, except as described in es004181d."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Application,es004183,"Unless otherwise specified, this Subsection shall apply to the outdoor storage of any product covered in this Section."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Height,es007376,"The maximum permitted height of any individual storage area shall be determined to ensure the physical stability of the stored products under normal circumstances as well as under fire conditions, be determined according to its base area and shape, and the type of packaging, combustibility and chemical reactivity of the stored products, and not exceed the limits specified in Subsections ep001015.3.3, ep001015.3.4and ep001015.3.6"
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Individual Storage Areas and Clearances,es004185,"Except as provided in es004186, the size limits and clearances for individual storage areas shall conform to Subsections ep001015.3.3, ep001015.3.4and ep001015.3.6"
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Individual Storage Areas and Clearances,es004186,"An outdoor storage area shall be arranged such that there is a clear space of not less than 30 m between stored products and brush or forested areas, and 6 m between stored products and uncontrolled grass or weeds."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Storage beneath Power Lines,es004187,Products covered in this Section shall not be stored beneath electrical power lines.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fire Department Access,es004188,"Except as provided in es004189, an access route constructed in conformance with Subsection 3.2.5. of Division B of the nrcc-nbcae23 shall be provided to permit the approach of fire department vehicles to within 60 m travelling distance of any part of an individual storage area."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fire Department Access,es004189,"Where the total storage area exceeds 6 000 m2, the access route required in es004188 shall be connected with a public thoroughfare in at least 2 locations."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fencing,es004190,"An outdoor storage area shall be surrounded by a firmly anchored fence that is substantially constructed to discourage climbing and unauthorized entry, not less than 1.8 m high, and provided with gates that shall be locked when the storage area is not staffed."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fencing,es004191,"When in a fire department access route, the gates required in es004190c shall be of adequate width and design, and in a location that readily permits the entry of fire department vehicles, in conformance with ea002185 (See en000603.)"
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Maintenance,es004192,"Any access route, gateway or clear space required in this Section shall be maintained in conformance with ep001014.5, and kept free of obstructions and piles of snow."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Maintenance,es004193,"Private hydrants, fire department connections and private valves controlling water supplies to fire protection systems shall be maintained in conformance with ep001018, and kept accessible to firefighters and their equipment at all times."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Ignition Sources,es004194,"Unless controlled in a manner that will not create a fire hazard, a device, operation or activity that produces open flames, sparks or heat shall not be permitted in an outdoor storage area. (See en000612.)"
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Ignition Sources,es004195,"Except as provided in ep001014.4.2, smoking shall not be permitted in an outdoor storage area."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Ignition Sources,es004196,"Except as provided in ep001014.6.2, the burning of materials in an outdoor storage area shall be performed only in a burner that is designed, constructed and maintained in conformance with good engineering practice, and located not less than 15 m from a building or stored products."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fire Safety Plan,es004197,A fire safety plan conforming to ep001014.8 shall be prepared.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Portable Extinguishers,es004200,Any building located in an outdoor storage area shall be provided with portable extinguishers.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Portable Extinguishers,es006183,Each motorized vehicle operating in an outdoor storage area shall be equipped with at least one portable extinguisher having a minimum rating of 2-A:30-B:C.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Site Preparation,es004202,"The storage site shall be level, and solid ground or paved with asphalt, concrete or other hard surface material."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fuel Dispensing,es004203,"Except as provided in es004204, the dispensing of flammable liquids or combustible liquids into the fuel tank of a vehicle shall conform to ep001016.5"
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fuel Dispensing,es004204,A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Spill Control,es004205,"Provision shall be made for the safe drainage and containment of waste oils or dangerous goods emptied or escaping from stored products under normal storage conditions or in a fire situation, in conformance with ep001016.1.6"
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fire Separation,es004206,"It is permitted to reduce the clear space between individual storage areas prescribed in this Section if a noncombustible fire separation or a dirt berm, not less than 1.5 times the height of the stored products, is provided."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Fire Protection,es004207,It is permitted to increase the height and size of individual storage areas prescribed in this Section if fire extinguishing measures conforming to good engineering practice are provided.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Water Supply,es015169,"Except as permitted by es015170, water supplies for firefighting shall be available from a public or private water system, or water supplies that conform to the requirements of nfpa1142 (see en001313)."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Water Supply,es015170,Other methods acceptable to the authority having jurisdiction are permitted to be used to supply water to a storage area in lieu of the water supplies specified in es015169.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Water Supply,es015171,"The water supply systems shall be capable of supplying water for a period not less than 3 h at a minimum rate of 4 000 L/min if the storage area is less than 600 m3, or 8 000 L/min if the storage area is equal to or greater than 600 m3."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Water Supply,es015172,On-site storage of at least 300 m of 65 mm hose and sufficient nozzles shall be provided if not immediately available from responding public fire departments.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Water Supply,es015173,Water supply required by Sentences es015169 and es015170 shall be available so that any part of the storage area can be reached by using not more than 150 m of hose.
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Hydrant Systems,es015174,"Except as permitted by es015175, where a municipal hydrant system exists and is adjacent to the storage yard, the hydrant system shall be extended into the yard area so that all parts of the yard can be reached by using not more than 60 m of hose."
B,ep001015.3,3.3,ep001015.3.2,3.3.2,Hydrant Systems,es015175,"If acceptable to the authority having jurisdiction, fire protection is permitted to be provided by municipal street hydrants and mobile pumping equipment. (See en001314.)"
B,ep001015.3,3.3,ep001015.3.3,3.3.3,Application,es004208,This Subsection applies to the outdoor storage of products other than dangerous goods.
B,ep001015.3,3.3,ep001015.3.3,3.3.3,Individual Storage Areas and Clearance,es004209,"Except as provided in Sentences es004210 to es004212, the size and clearances for individual storage areas shall conform to et000349 (See en000604.)"
B,ep001015.3,3.3,ep001015.3.3,3.3.3,Individual Storage Areas and Clearance,es004210,"Except as permitted in Sentences es004211 and es004212, a clear space of not less than 15 m shall be maintained between stored products and a building on the same property to reduce the risk of fire spreading from the outdoor storage area to the building."
B,ep001015.3,3.3,ep001015.3.3,3.3.3,Individual Storage Areas and Clearance,es004211,"The clearance requirement stated in es004210 is permitted to be waived where the stored products do not consist of wood chips, hogged material, rubber tires or combustible pallets, the exposed wall of the building has a fire-resistance rating of not less than 2 h, and the stored products are separated from any unprotected wall opening by a horizontal distance of not less than 3 m on either side of the opening, and 6 m perpendicularly in front of the opening."
B,ep001015.3,3.3,ep001015.3.3,3.3.3,Individual Storage Areas and Clearance,es004212,The clearance requirement stated in es004210 is permitted to be waived where an individual storage area has a base area not greater than 5 m2.
B,ep001015.3,3.3,ep001015.3.3,3.3.3,Rubber Tires,es004213,Any access route required in ea002185 shall be located so that a clear space of not less than 6 m is provided between stored rubber tires and the nearest side of the access route.
B,ep001015.3,3.3,ep001015.3.4,3.3.4,Application,es004214,"Except as provided in ep001016 or otherwise specified in this Code, this Subsection applies to the outdoor storage of dangerous goods in packages or containers."
B,ep001015.3,3.3,ep001015.3.4,3.3.4,Application,es004215,"The storage of dangerous goods in quantities exceeding the maximum exempted amounts stated in et001080, in a single individual storage area, shall conform to this Subsection."
B,ep001015.3,3.3,ep001015.3.4,3.3.4,Application,es004216,"Where a product has multiple classes, the applicable small quantity exemption referred to in es004215 shall be determined using Column A of et001080 based on the class having precedence, as established in Section 2.8 of tc_sor95 Column B of et001080 based on the class having precedence, as established in et000082, for controlled products under the hc_hpa-p2 as classified in Part 7 of hc_sor15-17, or when the class having precedence cannot be established, Column C of et001080 based on the lesser of the two small quantity exemptions. (See en000712.)"
B,ep001015.3,3.3,ep001015.3.4,3.3.4,Individual Storage Areas and Clearances,es004217,An individual storage area for dangerous goods shall not be greater than 1 000 m2.
B,ep001015.3,3.3,ep001015.3.4,3.3.4,Individual Storage Areas and Clearances,es004218,"Except for the distance between a building and cylinders of dangerous goods classified as compressed gases, a clear space of not less than 6 m shall be provided around each individual storage area for dangerous goods. (See en000604.)"
B,ep001015.3,3.3,ep001015.3.4,3.3.4,Individual Storage Areas and Clearances,es004219,Dangerous goods shall not be stored to a height greater than 6 m.
B,ep001015.3,3.3,ep001015.3.4,3.3.4,Separation from Other Dangerous Goods,es007377,"Except as provided in Sentences es004221 and es007378, dangerous goods shall be separated from other dangerous goods in conformance with ea004251"
B,ep001015.3,3.3,ep001015.3.4,3.3.4,Separation from Other Dangerous Goods,es004221,Incompatible dangerous goods that are not allowed in et001018 to be stored in the same fire compartment are permitted to be separated by a minimum horizontal distance of 3 m in lieu of a fire separation when in an outdoor storage area.
