ID,Division,Article Title,Sentence Number,Sentence Text
ID9032,B,Combustible Piping Materials,3.1.5.16.(1),"Except as permitted by Sentences (2) and (3) and by Clause 3.1.5.2.(1)(d) and Article 3.1.5.22., combustible piping and tubing and associated adhesives are permitted to be used in a building required to be of noncombustible construction provided that, except when concealed in a wall or concrete floor slab, they, (a) have a flame-spread rating not more than 25, and (b) if used in a building described in Subsection 3.2.6., have a smoke developed classification not more than 50."
ID9042,B,Combustible Piping Materials,3.1.5.16.(2),Combustible sprinkler piping is permitted to be used within a sprinklered floor area in a building required to be of noncombustible construction.
ID9050,B,Combustible Piping Materials,3.1.5.16.(3),"Polypropylene pipes and fittings are permitted to be used for drain, waste and vent piping for the conveyance of highly corrosive materials and for piping used to distribute distilled or dialyzed water in laboratory and hospital facilities in a building required to be of noncombustible construction, provided, (a) the building is sprinklered, (b) the piping is not located in a vertical shaft, and (c) piping that penetrates a fire separation is sealed at the penetration by a fire stop that has an FT rating not less than the fire-resistance rating of the fire separation when subjected to the fire test method in CAN/ULC-S115, “Fire Tests of Firestop Systems”, with a pressure differential of 50 Pa between the exposed and unexposed sides, with the higher pressure on the exposed side."
ID9066,B,Combustible Plumbing Fixtures,3.1.5.17.(1),Combustible plumbing fixtures are permitted in a building required to be of noncombustible construction if they are constructed of material having a flame-spread rating and smoke developed classification permitted in Subsection 3.1.13.
ID9075,B,Wires and Cables,3.1.5.18.(1),"Except as permitted by Sentence (2) and Articles 3.1.5.19. and 3.1.5.21., optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes are permitted in a building required to be of noncombustible construction, provided, (a) the wires and cables exhibit a vertical char of not more than 1.5 m when tested in conformance with the Vertical Flame Test – Cables in Cabletrough in Clause 4.11.4. of CSA C22.2 No. 0.3, “Test Methods for Electrical Wires and Cables”, (FT4 Rating), (b) the wires and cables are located in, (i) totally enclosed noncombustible raceways, (ii) concealed spaces in walls, (iii) concrete slabs, (iv) a service room separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h, or (v) totally enclosed nonmetallic raceways conforming to Clause 3.1.5.20.(1)(b), or (c) the wires and cables are communication cables used at the service entry to a building and are not more than 3 m long."
ID9095,B,Wires and Cables,3.1.5.18.(2),"The requirement in Clause (1)(a) is considered to be met where the wires and cables exhibit a flame-spread of not more than 1.5 m, a smoke density of not more than 0.5 at peak optical density and a smoke density not more than 0.15 at average optical density when tested in conformance with the Flame and Smoke Test in the Appendix to CSA C22.2 No. 0.3, “Test Methods for Electrical Wires and Cables”, (FT6 Rating)."
ID9099,B,Combustible Travelling Cables for Elevators,3.1.5.19.(1),Combustible travelling cables are permitted on elevating devices in a building required to be of noncombustible construction.
ID9109,B,Nonmetallic Raceways,3.1.5.20.(1),"Except as provided by Subclause 3.6.4.3.(1)(a)(iv) and subject to limits on size for penetrations of fire separations as required by Sentence 3.1.9.3.(2), within a fire compartment of a building required to be of noncombustible construction, totally enclosed nonmetallic raceways not more than 175 mm in outside diameter, or an equivalent rectangular area, are permitted to be used to enclose optical fibre cables and electrical wires and cables, provided, where, (a) the wires and cables in the raceways meet or exceed the requirements of Clause 3.1.5.18.(1)(a), the nonmetallic raceways meet the requirements for at least an FT4 rating in, (i) CAN/CSA-C22.2 No. 262, “Optical Fiber Cable and Communication Cable Raceway Systems”, or (ii) CAN/ULC-S143, “Fire Tests for Non-Metallic Electrical and Optical Fibre Cable Raceway Systems”, and (b) the wires and cables in the raceways do not meet or exceed the requirements of Clause 3.1.5.18.(1)(a), the nonmetallic raceways exhibit a vertical char not more than 1.5 m when tested in conformance with the Vertical Flame Test (FT4) – Conduit or Tubing on Cable Tray in Clause 6.16 of CSA C22.2 No. 211.0, “General Requirements and Methods of Testing for Nonmetallic Conduit”."
ID9123,B,Wires in Computer Room Floors,3.1.5.21.(1),"Optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes, located in the space below a raised floor in a computer room, are permitted in a building required to be of noncombustible construction provided they do not convey flame or continue to burn for more than 1 min when tested in conformance with the Vertical Flame Test in Clause 4.11.1. of CSA C22.2 No. 0.3, “Test Methods for Electrical Wires and Cables”, (FT1 Rating)."
ID9130,B,Wires in Computer Room Floors,3.1.5.21.(2),"The requirement in Sentence (1) is considered to be met where the wires and cables, (a) exhibit a vertical char of not more than 1.5 m when tested in conformance with the Vertical Flame Test – Cables in Cabletrough in Clause 4.11.4. of CSA C22.2 No. 0.3, “Test Methods for Electrical Wires and Cables”, (FT4 Rating), or (b) exhibit a flame-spread of not more than 1.5 m, a smoke density of not more than 0.5 at peak optical density and a smoke density not more than 0.15 at average optical density when tested in conformance with the Flame and Smoke Test in the Appendix to CSA C22.2 No. 0.3, “Test Methods for Electrical Wires and Cables”, (FT6 Rating)."
ID9136,B,Combustible Components in Public Pools and Public Spas,3.1.5.22.(1),"Combustible fittings and components in a public pool or public spa, including main drains, piping, skimmers, return inlets, steps, ladder rungs and liners, are permitted in a building required to be of noncombustible construction."
ID9146,B,Marquees Having Combustible Elements,3.1.5.23.(1),"Except as permitted in Sentence (2), exterior marquees, not greater than 7.5 m from ground level to the top of the marquee, having combustible elements, other than fabrics or films conforming to Sentence 3.1.16.1.(1), are permitted on a building required to be of noncombustible construction, provided every opening in the exposed wall of the building above the marquee is protected with wired glass in accordance with MMAH Supplementary Standard SB-2, “Fire Performance Ratings” where these openings are within, (a) 4.5 m horizontally of the marquee, and (b) 9 m vertically above the marquee."
ID9160,B,Marquees Having Combustible Elements,3.1.5.23.(2),The protection required by Sentence (1) is permitted to be waived if the building is sprinklered.
ID9166,B,Combustible Mezzanines,3.1.5.24.(1),"In a building required to be of noncombustible construction, a mezzanine located within a live/work unit is permitted to be of combustible construction, provided the area of the mezzanine is not more than 25% of the floor area of the live/work unit or 20 m 2, whichever is less, and has no obstructions more than 1 070 mm above the floor."
ID9180,B,Wood Decorative Cladding,3.1.5.25.(1),"Wood decorative cladding is permitted to be used on exterior marquee fascias, of a storey having direct access to a street or access route, of a building required to be of noncombustible construction, provided the cladding is fire-retardant treated wood that, before testing to CAN/ULC-S102, “Test for Surface Burning Characteristics of Building Materials and Assemblies”, has been conditioned in conformance with ASTM D2898, “Accelerated Weathering of Fire-Retardant-Treated Wood for Fire Testing”."
ID9191,B,Combustible Solar Collector Systems,3.1.5.26.(1),A combustible solar collector system is permitted to be installed above the roof of a building required to be of noncombustible construction. 3.1.6. Encapsulated Mass Timber Construction
ID9199,B,Application,3.1.6.1.(1),Encapsulated mass timber construction permitted in this Part shall conform to this Subsection.
ID9204,B,Noncombustible Construction,3.1.6.2.(1),"Except as otherwise provided in this Part and Sentence 6.2.8.1.(1), materials used in a building or part of a building permitted to be of encapsulated mass timber construction shall conform to Subsection 3.1.5."
ID9211,B,Structural Mass Timber Elements,3.1.6.3.(1),"Except as otherwise provided in this Subsection and Articles 3.2.2.16. and 3.2.3.19., a building or part of a building permitted to be of encapsulated mass timber construction is permitted to include structural mass timber elements, including beams, columns, arches and wall, floor and roof assemblies, provided they comply with Sentences (2) and (3)."
ID9218,B,Structural Mass Timber Elements,3.1.6.3.(2),"Structural mass timber elements referred to in Sentence (1) shall, (a) except as provided in Sentence (4), be arranged in heavy solid masses containing no concealed spaces, (b) have essentially smooth flat surfaces with no thin sections or sharp projections, and (c) except as provided in Sentence 3.1.6.17.(1), conform to the minimum dimensions stated in Table 3.1.6.3."
ID9255,B,Structural Mass Timber Elements,3.1.6.3.(3),"Adhesives used in structural mass timber elements referred to in Sentence (1) that are constructed of cross-laminated timber shall conform to the elevated temperature performance requirements in ANSI/APA PRG 320, “Standard for Performance-Rated Cross-Laminated Timber”."
ID9257,B,Structural Mass Timber Elements,3.1.6.3.(4),"Concealed spaces are permitted within structural mass timber elements referred to in Sentence (2) and need not conform to Sentence 3.1.6.4.(1) provided the concealed spaces are, (a) sprinklered and divided into compartments by fire blocks in conformance with Subsection 3.1.11., (b) completely filled with rocks or slag fibre insulation conforming to CAN/ULC-S702.1 “Standard for Mineral Fibre Thermal Insulation for Buildings, Part 1: Material Specification” and having a density not less than 32 kg/m 3, (c) if horizontal, lined with not less than a single layer of 12.7 mm thick Type X gypsum board or noncombustible material providing an encapsulation rating of not less than 25 min, or (d) if vertical, lined with not less than a single layer of 12.7 mm thick Type X gypsum board or noncombustible material providing an encapsulation rating of not less than 25 min and vertically divided into compartments by fire blocks in conformance with Subsection 3.1.11."
ID9275,B,Encapsulation of Mass Timber Elements,3.1.6.4.(1),"Except as provided in Sentences (3) to (6), Sentence 3.1.6.3.(4), Articles 3.1.6.7. and 3.1.6.12. and Sentences 3.1.6.16.(2) and 3.1.6.17.(2), the exposed surfaces of structural mass timber elements conforming to Article 3.1.6.3. shall be protected from adjacent spaces in the building, including adjacent concealed spaces within wall, floor and roof assemblies, by a material or assembly of materials conforming to Sentence (2) that provides an encapsulation rating of not less than 50 min."
ID9279,B,Encapsulation of Mass Timber Elements,3.1.6.4.(2),"Except as provided in Sentence 3.1.6.11.(1), the material or assembly of materials referred to Sentence (1) shall consist of, (a) gypsum board, (b) gypsum concrete, (c) noncombustible materials, (d) materials that conform to Sentences 3.1.5.1.(2) to (4), or (e) any combination of materials listed in Clauses (a) to (d)."
ID9288,B,Encapsulation of Mass Timber Elements,3.1.6.4.(3),"Except as provided in Sentence (5), the exposed surfaces of mass timber beams, columns and arches within a suite or fire compartment need not be protected in accordance with Sentence (1), provided, (a) the aggregate surface area does not exceed 10% of the total wall area of the perimeter of the suite or fire compartment in which they are located, and (b) the flame-spread rating on any exposed surface is not more than 150."
ID9297,B,Encapsulation of Mass Timber Elements,3.1.6.4.(4),"Except as provided in Sentences (5) and (6), the exposed surfaces of mass timber walls within a suite need not be protected in accordance with Sentence (1), provided, (a) each exposed surface faces the same direction, and (b) the flame-spread rating on any exposed surface is not more than 150."
ID9303,B,Encapsulation of Mass Timber Elements,3.1.6.4.(5),The aggregate exposed surface area of mass timber elements within a suite permitted in Sentences (3) and (4) shall not exceed 35% of the total wall area of the perimeter of the suite.
ID9307,B,Encapsulation of Mass Timber Elements,3.1.6.4.(6),"The exposed surfaces of mass timber ceilings within a suite need not be protected in accordance with Sentence (1), provided the aggregate area of the exposed surfaces does not exceed, (a) 10% of the total ceiling area of the suite, where the exposed surfaces have a flame-spread rating not more than 150, or (b) 25% of the total ceiling area of the suite, where, (i) the suite contains no mass timber walls with exposed surfaces, and (ii) the exposed surfaces of the mass timber ceiling have a flame-spread rating not more than 75."
ID9320,B,Determination of Encapsulation Ratings,3.1.6.5.(1),"Except as provided in Article 3.1.6.6., the rating of a material or assembly of materials that is required to have an encapsulation rating shall be determined on the basis of the results of the tests conducted in conformance with CAN/ULC-S146, “Test for the Evaluation of Encapsulation Materials and Assemblies of Materials for the Protection of Structural Timber Elements”."
ID9324,B,Encapsulation Materials,3.1.6.6.(1),Gypsum-concrete topping and concrete not less than 38 mm thick are deemed to have an encapsulation rating of 50 min when installed on the upper side of a mass timber floor or roof assembly.
ID9327,B,Encapsulation Materials,3.1.6.6.(2),"Two layers of Type X gypsum board each not less than 12.7 mm thick are deemed to have an encapsulation rating of 50 min when installed on a mass timber element, provided they, (a) are fastened with a minimum of two rows of screws in each layer, (i) directly to the mass timber element with screws of sufficient length to penetrate not less than 20 mm into the mass timber element that are spaced not more than 400 mm o.c. and 20 mm to 38 mm from the boards’ edges, or (ii) to wood furring or resilient metal or steel furring channels not more than 25 mm thick spaced not more than 400 mm o.c. on the mass timber element, (b) are installed with the joints in each layer staggered from those in the adjacent layer, (c) are installed in conformance with ASTM C840, “Standard Specification for Application and Finishing of Gypsum Board”, except that their joints need not be taped and finished, and (d) conform to, (i) ASTM C1396/C1396M, “Gypsum Board”, or (ii) CAN/CSA A82.27-M, “Gypsum Board”."
ID9339,B,Combustible Roofing Materials,3.1.6.7.(1),"Wood roof sheathing and roof sheathing supports that do not conform to Articles 3.1.6.3. and 3.1.6.4. are permitted in a building or part of a building permitted to be of encapsulated mass timber construction, provided they are installed, (a) above a concrete deck in accordance with Clauses 3.1.5.3.(2)(a) to (f), or (b) above a deck of encapsulated mass timber construction, where, (i) the deck is permitted to be encapsulated between the roof sheathing supports by a material or assembly of materials conforming to Sentence 3.1.6.4.(2) that provides an encapsulation rating of not less than 50 min, (ii) the height of the roof space is not more than 1 m, (iii) the roof space is divided into compartments by fire blocks in conformance with Article 3.1.11.5., (iv) openings through the deck other than for noncombustible roof drains and plumbing piping are protected by shafts constructed as fire separations having a fire-resistance rating not less than 1 h that extend from the deck to not less than 150 mm above the adjacent sheathing, and (v) except as permitted by Subclause (iv), the roof space does not contain any building services."
ID9359,B,Combustible Roofing Materials,3.1.6.7.(2),"Combustible cant strips, roof curbs, nailing strips and similar components used in the installation of roofing are permitted on a building or part of a building permitted to be of encapsulated mass timber construction."
ID9365,B,Combustible Roofing Materials,3.1.6.7.(3),"Wood nailer facings to parapets that are not more than 610 mm high are permitted on a building or part of a building permitted to be of encapsulated mass timber construction, provided the facings and any roof membranes covering the facings are protected by sheet metal."
ID9371,B,Combustible Window Sashes and Frames,3.1.6.8.(1),"Combustible window sashes and frames are permitted in a building or part of a building permitted to be of encapsulated mass timber construction, provided, (a) each window in an exterior wall face is an individual unit separated from every other opening in the wall by noncombustible wall construction or mass timber wall construction conforming to the dimensions stated in Table 3.1.6.3., (b) windows in exterior walls in contiguous storeys are separated by not less than 1 m of noncombustible wall construction or mass timber wall construction conforming to the dimensions stated in Table 3.1.6.3., and (c) the aggregate area of openings in an exterior wall face of a fire compartment is not more than 40% of the area of the wall face."
ID9386,B,Exterior Cladding,3.1.6.9.(1),"Except as provided in Sentences (2), (3) and (6), cladding on an exterior wall assembly of a building or part of a building permitted to be of encapsulated mass timber construction shall be noncombustible."
ID9393,B,Exterior Cladding,3.1.6.9.(2),"Except as provided in Sentences (3) to (5), cladding on an exterior wall assembly of a building or part of a building permitted to be of encapsulated mass timber construction is permitted to consist of, (a) combustible cladding that, (i) is not contiguous over more than 4 storeys, (ii) represents not more than 10% of the cladding on each exterior wall of each storey, (iii) is not more than 1.2 m in width, (iv) has a flame-spread rating not more than 75 on any exposed surface, or any surface that would by exposed by cutting through the material in any direction, (v) is separated from other portions of combustible cladding on adjacent storeys by a horizontal distance of not less than 2.4 m, and (vi) is separated from other portions of combustible cladding by a horizontal distance of not less than 1.2 m, (b) combustible cladding that, (i) is not contiguous across adjacent storeys, (ii) represents not more than 10% of the cladding on each exterior wall of each storey, (iii) has a flame-spread rating not more than 75 on any exposed surface, or any surface that would be exposed by cutting through the material in any direction, and (iv) is separated from other portions of combustible cladding on adjacent storeys by a horizontal distance of not less than 2.4 m, (c) combustible cladding representing up to 100% of the cladding on exterior walls of the first storey, provided all portions of the cladding can be directly accessed and are located not more than 15 m from a street or access route conforming to Article 3.2.5.6., measured horizontally from the face of the building, (d) except as provided in Sentence (4), a wall assembly that satisfies the criteria described in Clause 3.1.5.5.(1)(b), or (e) a combination of noncombustible cladding and the cladding described in Clauses (a) to (d)."
ID9436,B,Exterior Cladding,3.1.6.9.(3),The permitted area of combustible cladding referred to in Clause (2)(a) or (b) shall not exceed 5% of the cladding on each exterior wall of each storey where firefighting facilities cannot reach the building within 10 min of the alarm being received.
ID9442,B,Exterior Cladding,3.1.6.9.(4),"An exterior wall assembly constructed in conformance with Section 6 of MMAH Supplementary Standard SB-2, “Fire Performance Ratings” is deemed to satisfy the criteria of Clause (2)(d)."
ID9444,B,Exterior Cladding,3.1.6.9.(5),"Except as provided in Article 3.2.3.10., where the limiting distance in Table 3.2.3.1.D. or Table 3.2.3.1.E. permits an area of unprotected openings of not more than 10% of the exposing building face, the construction requirements of Table 3.2.3.7. shall be met."
ID9449,B,Exterior Cladding,3.1.6.9.(6),"A wall assembly conforming to Clause (2)(d) that includes combustible cladding made of fire-retardant-treated wood shall be tested for fire exposure after the cladding has been subjected to the accelerated weathering test specified in ASTM D2898, “Accelerated Weathering of Fire-Retardant-Treated Wood for Fire Testing”."
ID9453,B,Exterior Cladding,3.1.6.9.(7),"Where combustible cladding conforming to Clause (2)(a) or (b) on an exterior wall of a fire compartment is exposed to combustible cladding conforming to Clause (2)(a) or (b) on an exterior wall of the same fire compartment or of another fire compartment, and the planes of the two walls are parallel or at an angle less than 135° measured from the exterior of the building, the different portions of combustible cladding shall, (a) be separated by a horizontal distance of not less than 3 m, and (b) not be contiguous over more than 2 storeys."
ID9466,B,Combustible Components in Exterior Walls,3.1.6.10.(1),"Except as provided in Sentence (2), combustible components, other than those permitted by Article 3.1.6.9., are permitted to be used in an exterior wall assembly of a building or part of a building permitted to be of encapsulated mass timber construction provided the wall assembly meets the requirements of Clause 3.1.6.9.(2)(d)."
ID9472,B,Combustible Components in Exterior Walls,3.1.6.10.(2),"An exterior wall assembly constructed in conformance with Section 6 in MMAH Supplementary Standard SB-2, “Fire Performance Ratings” is deemed to satisfy the criteria of Sentence (1)."
ID9474,B,Combustible Components in Exterior Walls,3.1.6.10.(3),Non- loadbearing wood elements permitted in Article 3.1.5.5. need not conform to Article 3.1.6.3. in a building or part of a building permitted to be of encapsulated mass timber construction.
ID9481,B,Nailing Elements,3.1.6.11.(1),"Wood nailing elements are permitted to be used for the attachment of a material or assembly of materials to provide an encapsulation rating in a building or part of a building permitted to be of encapsulated mass timber construction, provided the concealed space created by the wood nailing elements is not more than 25 mm deep."
ID9487,B,Nailing Elements,3.1.6.11.(2),"Except as permitted by Sentence 3.1.6.16.(2) and Article 3.1.6.6., wood nailing elements are permitted to be used for the attachment of interior finishes in a building or part of a building permitted to be of encapsulated mass timber construction, provided the concealed space created by the wood nailing elements is not more than 50 mm deep and, (a) exposed surfaces in the concealed space have a flame-spread rating not more than 25, or (b) the concealed space is filled with noncombustible insulation."
ID9498,B,Combustible Flooring Elements,3.1.6.12.(1),"Wood members that are more than 50 mm but not more than 300 mm high are permitted to be used for the construction of a raised platform in a building or part of a building permitted to be of encapsulated mass timber construction, and they need not conform to Articles 3.1.6.3. and 3.1.6.4., provided, (a) the concealed spaces created by the wood members are divided into compartments by fire blocks in conformance with Sentence 3.1.11.3.(4), and (b) the wood members are, (i) applied directly to or set into a noncombustible floor slab, or (ii) applied directly to a mass timber floor assembly that conforms to the requirements of Article 3.1.6.3."
ID9510,B,Combustible Flooring Elements,3.1.6.12.(2),The upper surface of the mass timber floor assembly referred to in Subclause (1)(b)(ii) is permitted to be encapsulated only between the wood members by a material or assembly of materials conforming to Sentences 3.1.6.4.(1) and (2).
ID9512,B,Combustible Flooring Elements,3.1.6.12.(3),The floor system for the raised platform referred to in Sentence (1) is permitted to include a combustible subfloor and combustible finished flooring.
ID9517,B,Combustible Stairs,3.1.6.13.(1),Wood stairs and landings conforming to the requirements for floor assemblies in Article 3.1.6.3. and Sentences 3.1.6.4.(1) and (2) are permitted in an exit stairwell in a building or part of a building permitted to be of encapsulated mass timber construction.
ID9523,B,Combustible Stairs,3.1.6.13.(2),Wood stairs in a suite in a building or part of a building permitted to be of encapsulated mass timber construction need not conform to Articles 3.1.6.3. and 3.1.6.4.
ID9530,B,Combustible Interior Finishes,3.1.6.14.(1),"Except as provided in Sentences (2) and (3), combustible interior wall and ceiling finishes referred to in Clause 3.1.13.1.(1)(b) that are not more than 1 mm thick are permitted in a building or part of a building permitted to be of encapsulated mass timber construction."
ID9536,B,Combustible Interior Finishes,3.1.6.14.(2),"Except as provided in Sentences 3.1.6.4.(3) and (4), combustible interior wall finishes, other than foamed plastics, that are not more than 25 mm thick are permitted in a building or part of a building permitted to be of encapsulated mass timber construction, provided they have a flame-spread rating not more than 150 on any exposed surface or any surface that would be exposed by cutting through the material in any direction."
ID9543,B,Combustible Interior Finishes,3.1.6.14.(3),"Except as provided in Sentences (4) and 3.1.6.4.(3) and (6), combustible interior ceiling finishes, other than foamed plastics, are permitted in a building or part of a building permitted to be of encapsulated mass timber construction, provided that, (a) they have a flame-spread rating not more than 25 on any exposed surface or any surface that would be exposed by cutting through the material in any direction, and (b) not more than 10% of the ceiling area within each fire compartment is permitted to have a flame-spread rating not more than 150."
ID9554,B,Combustible Interior Finishes,3.1.6.14.(4),"Combustible interior ceiling finishes made of fire-retardant-treated wood are permitted in a building or part of a building permitted to be of encapsulated mass timber construction, provided they are not more than 25 mm thick or are exposed fire-retardant-treated wood battens."
ID9563,B,Combustible Elements in Partitions,3.1.6.15.(1),"Solid lumber partitions not less than 38 mm thick and partitions containing wood framing that do not conform to Article 3.1.6.3. are permitted in a building or part of a building permitted to be of encapsulated mass timber construction, provided the partitions are, (a) protected on each face with not less than, (i) a single layer of 12.7 mm thick Type X gypsum board, with all joints either backed or taped and filled, conforming to ASTM C1396/C1396M, “Standard Specification for Gypsum Board”, or CAN/CSA A82.27-M, “Gypsum Board”, (ii) a single layer of 19 mm thick fire-retardant-treated wood, on solid lumber partitions, or (iii) a single layer of 19mm thick fire-retardant-treated wood, on partitions containing wood framing, with wood stud cavities filled with noncombustible insulation, and (b) not installed as enclosures for exits or vertical service spaces."
ID9584,B,Exposed Construction Materials and Components in Concealed Spaces,3.1.6.16.(1),"Except as provided in Sentence (2) and Article 3.1.11.7., and except as otherwise provided in this Subsection, only construction materials and components permitted in noncombustible construction shall be permitted to have exposed surfaces in concealed spaces within floor, roof and wall assemblies permitted in a building or part of a building permitted to be of encapsulated mass timber construction."
ID9591,B,Exposed Construction Materials and Components in Concealed Spaces,3.1.6.16.(2),"Exposed surfaces are permitted in a concealed space created by the attachment of a material or assembly of materials conforming to Sentence 3.1.6.4.(1), provided the concealed space is not more than 25 mm deep."
ID9594,B,Penetration by Outlet Boxes,3.1.6.17.(1),The minimum dimensions stated in Table 3.1.6.3. need not apply at cutouts in vertical or horizontal structural mass timber elements where outlet boxes are installed in accordance with Article 3.1.9.3A.
ID9596,B,Penetration by Outlet Boxes,3.1.6.17.(2),The exposed surfaces of the cutouts described in Sentence (1) need not be protected in accordance with Sentence 3.1.6.4.(1).
ID9598,B,Penetration by Outlet Boxes,3.1.6.17.(3),Outlet boxes on opposite sides of a structural mass timber element having a fire-resistances rating shall be separated by a distance of not less than 600 mm. 3.1.7. Fire-Resistance Ratings
ID9604,B,Determination of Ratings,3.1.7.1.(1),"Except as permitted by Sentence (2) and Articles 3.1.7.2. and 3.6.3.5, the rating of a material, assembly of materials or a structural member that is required to have a fire-resistance rating, shall be determined on the basis of the results of tests conducted in conformance with CAN/ULC-S101, “Fire Endurance Tests of Building Construction and Materials”."
ID9607,B,Determination of Ratings,3.1.7.1.(2),"A material, assembly of materials or a structural member is permitted to be assigned a fire-resistance rating on the basis of MMAH Supplementary Standard SB-2, “Fire Performance Ratings”."
ID9612,B,Exception for Exterior Walls,3.1.7.2.(1),"The limit on the rise of temperature on the unexposed surface of an assembly as required by the tests referred to in Sentence 3.1.7.1.(1) shall not apply to an exterior wall that has a limiting distance of 1.2 m or more, provided correction is made for radiation from the unexposed surface in accordance with Sentence 3.2.3.1.(9)."
ID9617,B,Exposure Conditions for Rating,3.1.7.3.(1),"Floor, roof and ceiling assemblies shall be rated for exposure to fire on the underside."
ID9619,B,Exposure Conditions for Rating,3.1.7.3.(2),Firewalls and interior vertical fire separations shall be rated for exposure to fire on each side.
ID9623,B,Exposure Conditions for Rating,3.1.7.3.(3),Exterior walls shall be rated for exposure to fire from inside the building.
ID9628,B,Minimum Fire-Resistance Rating,3.1.7.4.(1),The use of materials or assemblies having a greater fire-resistance rating than required shall impose no obligation to exceed in whole or in part the minimum fire-resistance ratings required by this Part.
ID9634,B,Rating of Supporting Construction,3.1.7.5.(1),"Except as permitted by Sentence (2) and by Articles 3.2.2.20. to 3.2.2.83. for mixed types of construction, all loadbearing walls, columns and arches in the storey immediately below a floor or roof assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than that required for the supported floor or roof assembly."
ID9640,B,Rating of Supporting Construction,3.1.7.5.(2),"Loadbearing walls, columns and arches supporting a service room or service space need not conform to Sentence (1)."
ID9645,B,Rating of Supporting Construction,3.1.7.5.(3),"Except as provided in Sentence (4) and for noncombustible roof assemblies required by Subclauses 3.2.2.43A.(2)(c)(i) and 3.2.2.50A.(2)(c)(i), if an assembly is required to be of noncombustible construction and have a fire-resistance rating, it shall be supported by noncombustible construction."
ID9653,B,Rating of Supporting Construction,3.1.7.5.(4),"Except for parts of a building constructed in accordance with Article 3.2.2.7. that are required to be of noncombustible construction, assemblies of noncombustible construction in buildings or parts of buildings permitted to be of encapsulated mass timber construction are permitted to be supported by encapsulated mass timber construction. 3.1.8. Fire Separations and Closures"
ID9667,B,General Requirements,3.1.8.1.(1),"Any wall, partition or floor assembly required to be a fire separation shall, (a) except as permitted by Sentence (2), be constructed as a continuous element, and (b) as required in this Part, have a fire-resistance rating as specified."
ID9674,B,General Requirements,3.1.8.1.(2),"Openings in a fire separation shall be protected with closures, shafts or other means in conformance with Articles 3.1.8.4. to 3.1.8.18. and Subsections 3.1.9. and 3.2.8."
ID9680,B,Combustible Construction Support,3.1.8.2.(1),Combustible construction that abuts on or is supported by a noncombustible fire separation shall be constructed so that its collapse under fire conditions will not cause the collapse of the fire separation.
ID9688,B,Continuity of Fire Separations,3.1.8.3.(1),"Except as permitted by Sentence 3.6.4.2.(2), a horizontal service space or other concealed space located above a required vertical fire separation, including the walls of a vertical shaft, shall be divided at the fire separation by an equivalent fire separation within the service space."
ID9695,B,Continuity of Fire Separations,3.1.8.3.(2),"The fire separation required by Sentence (1) shall terminate so that smoke-tight joints are provided where it abuts on or intersects, (a) a floor, (b) a roof slab, or (c) a roof deck."
ID9701,B,Continuity of Fire Separations,3.1.8.3.(3),"Except as required by Subsection 3.6.3. for a shaft penetrating a roof assembly, a shaft, including an exit enclosure, that penetrates a fire separation, shall, (a) extend through any horizontal service space or any other concealed space, and (b) terminate so that smoke-tight joints are provided where the shaft abuts on or intersects, (i) a floor, (ii) a roof slab, or (iii) a roof deck."
ID9711,B,Continuity of Fire Separations,3.1.8.3.(4),"The continuity of a fire separation shall be maintained where it abuts another fire separation, a floor, a ceiling, or an exterior wall assembly."
ID9717,B,Determination of Ratings,3.1.8.4.(1),"Except as permitted by Sentences (2) and 3.1.8.14.(1), the fire-protection rating for a closure shall be determined in accordance with, (a) CAN/ULC-S104, “Fire Tests of Door Assemblies”, (b) CAN/ULC-S106, “Fire Tests of Window and Glass Block Assemblies”, or (c) CAN/ULC-S112, “Fire Test of Fire Damper Assemblies”."
ID9724,B,Determination of Ratings,3.1.8.4.(2),"Except as permitted by Sentence 3.1.8.10.(1), the fire-protection rating of a closure shall conform to Table 3.1.8.4. for the required fire-resistance rating of the fire separation."
ID9730,B,Determination of Ratings,3.1.8.4.(3),"The leakage rate of smoke dampers and combination smoke and fire dampers shall, (a) be determined in accordance with the applicable provisions in CAN/ULC-S112.1, “Leakage Rated Dampers for Use in Smoke Control Systems”, and (b) conform to Class I, II or III of that standard."
ID9735,B,Determination of Ratings,3.1.8.4.(4),"The leakage rate of a door assembly shall be determined in accordance with ANSI/UL-1784, “Air Leakage Tests of Door Assemblies and Other Opening Protectives”."
ID9774,B,Installation of Closures,3.1.8.5.(1),"Except where fire dampers, window assemblies and glass block are used as closures, closures of the same fire-protection rating installed on opposite sides of the same opening are deemed to have a fire-protection rating equal to the sum of the fire-protection ratings of the closures."
ID9783,B,Installation of Closures,3.1.8.5.(2),"Except as otherwise specified in this Part, every door, fire damper, window assembly or glass block used as a closure in a required fire separation, (a) shall be installed in conformance with NFPA 80, “Fire Doors and Other Opening Protectives”, and (b) where required to have a fire-protection rating, shall have labels or classification marks to identify the testing laboratory."
ID9791,B,Installation of Closures,3.1.8.5.(3),"Except as otherwise specified in this Part, every smoke damper used as a closure in a required fire separation shall be installed in conformance with NFPA 105, “Smoke Door Assemblies and Other Opening Protectives”."
