Full Index,BC Full,BC Variations,Similarity
7460,"Notwithstanding Sentence 9.10.15.1.(1), Subsection9.10.15. applies to a building that contains a secondary suite.","Notwithstanding Sentence 9.10.15.1.(1), Subsection9.10.15. applies to a building that contains a secondary suite.",1.0
11970,"In buildings regulated by Sentence 3.2.7.12.(1), access openings to each storey provided in conformance with the British Columbia Building Code shall be not less than 750 mm wide by 1 100 mm high. (See Note A-3.2.7.12.(3).)","In buildings regulated by Sentence 3.2.7.12.(1), access openings to each storey provided in conformance with the British Columbia Building Code shall be not less than 750 mm wide by 1 100 mm high. (See Note A-3.2.7.12.(3).)",1.0
6774,"Except as permitted by Sentences (5) to (7) and Sentence 3.2.4.2.(4), a fire alarm system shall be installed in a building that is not sprinklered throughout and that contains a contained use area, an impeded egress zone, more than 3 storeys, including the storeys below the first storey, a total occupant load more than 300, other than in open air seating areas, an occupant load more than 150 above or below the first storey, other than in open air seating areas, a school, college, or child care facility, including a daycare facility for children, with an occupant load more than 40, a licensed beverage establishment or a licensed restaurant, with an occupant load more than 150, a low-hazard industrial occupancy with an occupant load more than 75 above or below the first storey, a medium-hazard industrial occupancy with an occupant load more than 75 above or below the first storey, a residential occupancy with sleeping accommodation for more than 10 persons, a high-hazard industrial occupancy with an occupant load more than 25, or an occupant load more than 300 below an open air seating area.","Except as permitted by Sentences (5) to (7) and Sentence 3.2.4.2.(4), a fire alarm system shall be installed in a building that is not sprinklered throughout and that contains a contained use area, an impeded egress zone, more than 3 storeys, including the storeys below the first storey, a total occupant load more than 300, other than in open air seating areas, an occupant load more than 150 above or below the first storey, other than in open air seating areas, a school, college, or child care facility, including a daycare facility for children, with an occupant load more than 40, a licensed beverage establishment or a licensed restaurant, with an occupant load more than 150, a low-hazard industrial occupancy with an occupant load more than 75 above or below the first storey, a medium-hazard industrial occupancy with an occupant load more than 75 above or below the first storey, a residential occupancy with sleeping accommodation for more than 10 persons, a high-hazard industrial occupancy with an occupant load more than 25, or an occupant load more than 300 below an open air seating area.",1.0
8607,"Except as provided in Sentence (2), the geographical locations requiring rough-ins for a subfloor depressurization system conforming to Article 9.13.4.3 shall be those areas identified in Table C-4 in Appendix C.","Except as provided in Sentence (2), the geographical locations requiring rough-ins for a subfloor depressurization system conforming to Article 9.13.4.3 shall be those areas identified in Table C-4 in Appendix C.",1.0
9895,"Exit stairs within or serving a building that contains a secondary suite shall have a minimum width, measured betweenwallfaces or guards, of not less than 860 mm. (See Note A-9.37.2.3.(1).)","Exit stairs within or serving a building that contains a secondary suite shall have a minimum width, measured betweenwallfaces or guards, of not less than 860 mm. (See Note A-9.37.2.3.(1).)",1.0
9334,"Buildings not more than 4.3 m wide and not more than 1 storey in building height that are not anchored in accordance with Sentence 9.23.6.1.(1) shall be anchored in conformance with the requirements of CSA Z240.10.1, ""Site Preparation, Foundation, and Anchorage of Manufactured Homes.""","Buildings not more than 4.3 m wide and not more than 1 storey in building height that are not anchored in accordance with Sentence 9.23.6.1.(1) shall be anchored in conformance with the requirements of CSA Z240.10.1, ""Site Preparation, Foundation, and Anchorage of Manufactured Homes.""",1.0
7061,"An accessible path of travel is permitted to include ramps, passenger elevators or other platform-equipped passenger-elevating devices to overcome a difference in level. (See Note A-3.8.3.2.(3).)","An accessible path of travel is permitted to include ramps, passenger elevators or other platform-equipped passenger-elevating devices to overcome a difference in level. (See Note A-3.8.3.2.(3).)",1.0
9476,"Where a fuel-burning appliance is installed in a suite of residential occupancy, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.","Where a fuel-burning appliance is installed in a suite of residential occupancy, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.",1.0
13100,"The location of non-potable water discharge and non-potablewater piping shall be identified by markings that are permanent, distinct and easily recognized.","The location of non-potable water discharge and non-potablewater piping shall be identified by markings that are permanent, distinct and easily recognized.",1.0
7462,"Aspects of mechanical ventilation systems not specifically addressed in this Subsection shall be designed, constructed and installed in accordance with good practice such as that described in the ASHRAE Handbooks and Standards, the HRAI Digest, the HRAI Residential Mechanical Ventilation Manual, the TECA Ventilation Guidelines, the Hydronics Institute Manuals and the SMACNA manuals.","Aspects of mechanical ventilation systems not specifically addressed in this Subsection shall be designed, constructed and installed in accordance with good practice such as that described in the ASHRAE Handbooks and Standards, the HRAI Digest, the HRAI Residential Mechanical Ventilation Manual, the TECA Ventilation Guidelines, the Hydronics Institute Manuals and the SMACNA manuals.",1.0
7067,"Buildings designedand constructed to conform to Step 5 of any of the Tables referred to in Sentence (1) and to the Passive House Planning Package, version 9 or newer, are deemed to comply with this Subsection if the energy model according to which the building is designed and constructed is prepared by a Certified Passive House Designer, or Certified Passive House Consultant, who is approved by the Passive House Institute.","Buildings designedand constructed to conform to Step 5 of any of the Tables referred to in Sentence (1) and to the Passive House Planning Package, version 9 or newer, are deemed to comply with this Subsection if the energy model according to which the building is designed and constructed is prepared by a Certified Passive House Designer, or Certified Passive House Consultant, who is approved by the Passive House Institute.",1.0
12169,Means of egress shall be provided in buildings in conformance with the British Columbia Building Code.,Means of egress shall be provided in buildings in conformance with the British Columbia Building Code.,1.0
10620,"Where a fuel-burning appliance is installed in a service room that is not in a suite of residential occupancy, a CO alarm shall be installed either inside each bedroom, or if outside, within 5 m of each bedroom door, measured following corridors and doorways, in every suite of residential occupancy that shares a wall or floor/ceiling assembly with the service room, and in the service room.","Where a fuel-burning appliance is installed in a service room that is not in a suite of residential occupancy, a CO alarm shall be installed either inside each bedroom, or if outside, within 5 m of each bedroom door, measured following corridors and doorways, in every suite of residential occupancy that shares a wall or floor/ceiling assembly with the service room, and in the service room.",1.0
10254,"Except as required in Sentence (2), natural gas and propane cooktops and ovens shall be installed in accordance with the Gas Safety Regulation. (See also Article 9.34.1.1.)","Except as required in Sentence (2), natural gas and propane cooktops and ovens shall be installed in accordance with the Gas Safety Regulation. (See also Article 9.34.1.1.)",1.0
11738,"Fire emergency procedures conforming to this Section shall be provided for every building containing an assembly, care, treatment or detention occupancy, every building required by the British Columbia Building Code to have a fire alarm system, demolition and construction sites regulated under part 5., storage areas required to have a fire safety plan in conformance with Articles 3.2.2.5.and 3.3.2.9., areas where flammable liquids or combustible liquids are stored or handled, in conformance with Article 4.1.5.5., and areas where hazardous processes or operations occur, in conformance with Article 5.1.5.1.","Fire emergency procedures conforming to this Section shall be provided for every building containing an assembly, care, treatment or detention occupancy, every building required by the British Columbia Building Code to have a fire alarm system, demolition and construction sites regulated under part 5., storage areas required to have a fire safety plan in conformance with Articles 3.2.2.5.and 3.3.2.9., areas where flammable liquids or combustible liquids are stored or handled, in conformance with Article 4.1.5.5., and areas where hazardous processes or operations occur, in conformance with Article 5.1.5.1.",1.0
8841,The scope of this Part shall be as described in Subsection 1.3.3. of Division A.,The scope of this Part shall be as described in Subsection 1.3.3. of Division A.,1.0
7066,"The outdoor air required by Sentence (3) shall be tempered to at least 1°C before being introduced to a normally unoccupied area of the dwelling unit, or tempered to at least 12°C before being introduced to occupied areas either by passive transfer grille or directly from outside.","The outdoor air required by Sentence (3) shall be tempered to at least 1°C before being introduced to a normally unoccupied area of the dwelling unit, or tempered to at least 12°C before being introduced to occupied areas either by passive transfer grille or directly from outside.",1.0
11713,A tire storage area designed to contain more than 375 m3 of rubber tires shall be separated from the remainder of the building by a fire separation conforming to Article 3.3.6.5. of Division B of the BCBC. (See Note A-3.2.4.2.(1).),A tire storage area designed to contain more than 375 m3 of rubber tires shall be separated from the remainder of the building by a fire separation conforming to Article 3.3.6.5. of Division B of the BCBC. (See Note A-3.2.4.2.(1).),1.0
10020,"Buildings and their structural members made of cold-formed steel shall conform to CSA S136, ""North American Specification for the Design of Cold-Formed Steel Structural Members."" (See Note A-4.3.4.2.(1).)","Buildings and their structural members made of cold-formed steel shall conform to CSA S136, ""North American Specification for the Design of Cold-Formed Steel Structural Members."" (See Note A-4.3.4.2.(1).)",1.0
11251,"Adjacent structures shall either be separated by the square root of the sum of the squares of their individual deflections calculated in Sentence 4.1.8.13.(2), or shall be connected to each other.","Adjacent structures shall either be separated by the square root of the sum of the squares of their individual deflections calculated in Sentence 4.1.8.13.(2), or shall be connected to each other.",1.0
8061,Only one handrail is required on exterior stairs having more than 3 risers provided such stairs serve not more than one dwelling unit.,Only one handrail is required on exterior stairs having more than 3 risers provided such stairs serve not more than one dwelling unit.,1.0
10005,"The basic roof snow load factor, Cb, shall be determined as follows: ii) lc = characteristic length of the upper or lower roof, defined as 2w-w2/l, in m, w = smaller plan dimension of the roof, in m, and l = larger plan dimension of the roof, in m, or conform to Table 4.1.6.2.-B, using linear interpolation for intermediate values of lcCw2 . (See Note A-4.1.6.2.(2).)","The basic roof snow load factor, Cb, shall be determined as follows: ii) lc = characteristic length of the upper or lower roof, defined as 2w-w2/l, in m, w = smaller plan dimension of the roof, in m, and l = larger plan dimension of the roof, in m, or conform to Table 4.1.6.2.-B, using linear interpolation for intermediate values of lcCw2 . (See Note A-4.1.6.2.(2).)",1.0
10951,"Table 9.10.8.1. does not apply to a dwelling unit that has no other dwelling unit above or below it, reserved, or a dwelling unit that is not above or below another major occupancy.","Table 9.10.8.1. does not apply to a dwelling unit that has no other dwelling unit above or below it, reserved, or a dwelling unit that is not above or below another major occupancy.",1.0
10117,"Except as providedinSentences (2)and (3), and notwithstanding Sentences9.32.1.1.(1) and 9.33.1.1.(1), Sections 9.32 and 9.33 applies to a building that contains a secondary suite.","Except as providedinSentences (2)and (3), and notwithstanding Sentences9.32.1.1.(1) and 9.33.1.1.(1), Sections 9.32 and 9.33 applies to a building that contains a secondary suite.",1.0
10251,"An air-transfer grille required by Sentence (1) or (2) shall have an unobstructed vent area of the greater of 25 cm2, and 0.83 cm2 for every m2 of crawl space area.","An air-transfer grille required by Sentence (1) or (2) shall have an unobstructed vent area of the greater of 25 cm2, and 0.83 cm2 for every m2 of crawl space area.",1.0
7382,"Sleeping rooms and bed spaces required to be accessible in Sentence 3.8.2.12.(1) shall have a turning area of not less than 1 500 mm in diameter on one side of a bed, a clearance of not less than 900 mm to allow for functional use of the room or space by persons using wheelchairs, when a balcony is provided, an accessible balcony, at least one closet that provides a clear opening not less than 900 mm wide, clothes hanger rods capable of being lowered to a height of 1 200 mm, at least one shelf capable of being lowered to a height of 1 200 mm, accessible light switches, thermostats and other controls that are specifically provided for use by the occupant located between 900 mm and 1 200 mm above the finished floor and operable in accordance with Clause 3.8.3.8.(1)(c), accessible electrical outlets located in conformance with Clause 3.8.3.8.(1)(a), and a bathroom, where provided as part of the sleeping room or bed space, or access to a bathroom, where not provided as part of the sleeping room or bed space conforming to Clauses 3.8.3.11.(1)(a) and (d) with a water closet conforming to Article 3.8.3.13., provided with grab bars conforming to Clauses 3.8.3.11.(1)(e) and (f), provided with a lavatory and mirror conforming to Article 3.8.3.15., and provided with a bathtub conforming to Article 3.8.3.17. or a shower conforming to Article 3.8.3.16.","Sleeping rooms and bed spaces required to be accessible in Sentence 3.8.2.12.(1) shall have a turning area of not less than 1 500 mm in diameter on one side of a bed, a clearance of not less than 900 mm to allow for functional use of the room or space by persons using wheelchairs, when a balcony is provided, an accessible balcony, at least one closet that provides a clear opening not less than 900 mm wide, clothes hanger rods capable of being lowered to a height of 1 200 mm, at least one shelf capable of being lowered to a height of 1 200 mm, accessible light switches, thermostats and other controls that are specifically provided for use by the occupant located between 900 mm and 1 200 mm above the finished floor and operable in accordance with Clause 3.8.3.8.(1)(c), accessible electrical outlets located in conformance with Clause 3.8.3.8.(1)(a), and a bathroom, where provided as part of the sleeping room or bed space, or access to a bathroom, where not provided as part of the sleeping room or bed space conforming to Clauses 3.8.3.11.(1)(a) and (d) with a water closet conforming to Article 3.8.3.13., provided with grab bars conforming to Clauses 3.8.3.11.(1)(e) and (f), provided with a lavatory and mirror conforming to Article 3.8.3.15., and provided with a bathtub conforming to Article 3.8.3.17. or a shower conforming to Article 3.8.3.16.",1.0
10252,"Except for the storage of flammable liquids and combustible liquids inside a single-family dwelling unit and garages or sheds attached to these dwelling units, where storage rooms are required by Part 4 of Division B of the British Columbia Fire Code for the storage of flammable liquids or combustible liquids in residential occupancies, such rooms shall not be located above or below the first storey.","Except for the storage of flammable liquids and combustible liquids inside a single-family dwelling unit and garages or sheds attached to these dwelling units, where storage rooms are required by Part 4 of Division B of the British Columbia Fire Code for the storage of flammable liquids or combustible liquids in residential occupancies, such rooms shall not be located above or below the first storey.",1.0
7683,Handrails and guards shall conform to the requirements of Subsections 9.8.7. and 9.8.8. as if serving only one dwelling unit.,Handrails and guards shall conform to the requirements of Subsections 9.8.7. and 9.8.8. as if serving only one dwelling unit.,1.0
8344,"A voice communication system required by Sentence (7) shall consist of loudspeakers that are operated from the central alarm and control facility or, in the absence of such a facility, from a designated area, and except in elevator cars, designed and located so that transmitted messages are audible and intelligible in all parts of the building. (See Note A-3.2.4.22.(1)(b).)","A voice communication system required by Sentence (7) shall consist of loudspeakers that are operated from the central alarm and control facility or, in the absence of such a facility, from a designated area, and except in elevator cars, designed and located so that transmitted messages are audible and intelligible in all parts of the building. (See Note A-3.2.4.22.(1)(b).)",1.0
6770,"Urinals described in Sentence 3.8.2.8.(6) shall be wall-mounted or floor mounted, with the opening of the basin located not more than 430 mm above the floor, be adjacent to an accessible route, have a clear width of approach of 800 mm centred on the urinal and unobstructed by privacy screens, have no step in front of it, have a flush control that is automatic, or complies with Clause 3.8.3.8.(1)(c) and is located 900 mm to 1100 mm above the floor, and have a vertically mounted grab bar installed on each side that complies with Article 3.7.2.8., is not less than 600 mm long, with its centre line 1000 mm above the floor, and is located not more than 380 mm from the centre line of the urinal.","Urinals described in Sentence 3.8.2.8.(6) shall be wall-mounted or floor mounted, with the opening of the basin located not more than 430 mm above the floor, be adjacent to an accessible route, have a clear width of approach of 800 mm centred on the urinal and unobstructed by privacy screens, have no step in front of it, have a flush control that is automatic, or complies with Clause 3.8.3.8.(1)(c) and is located 900 mm to 1100 mm above the floor, and have a vertically mounted grab bar installed on each side that complies with Article 3.7.2.8., is not less than 600 mm long, with its centre line 1000 mm above the floor, and is located not more than 380 mm from the centre line of the urinal.",1.0
9851,"Except as permitted by Sentences (2) and (12), and as required by Sentence (3), a washroom in a storey to which access is required in accordance with Article 3.8.2.3., shall be accessible to the extent required by this Article and in accordance with Subsection 3.8.3. (See Note A-3.8.2.8.(1) to (3).)","Except as permitted by Sentences (2) and (12), and as required by Sentence (3), a washroom in a storey to which access is required in accordance with Article 3.8.2.3., shall be accessible to the extent required by this Article and in accordance with Subsection 3.8.3. (See Note A-3.8.2.8.(1) to (3).)",1.0
9101,"Except for doors serving a single dwelling unit, exit doors that are required to swing shall swing in the direction of exit travel.","Except for doors serving a single dwelling unit, exit doors that are required to swing shall swing in the direction of exit travel.",1.0
7383,Adaptable dwelling units shall be designed and constructed in accordance with Subsection 3.8.5.,Adaptable dwelling units shall be designed and constructed in accordance with Subsection 3.8.5.,1.0
10024,This Subsection applies to the lighting of all means of egress except those within dwelling units.,This Subsection applies to the lighting of all means of egress except those within dwelling units.,1.0
8343,"Buildings containing adaptable dwelling units shall be provided with an accessible path of travel conforming to Subsection 3.8.3. to an entrance described in Article 3.8.2.2. and to each adaptable dwelling unit from a sidewalk, roadway or street, where provided, a parking area, where provided, passenger-loading zones, and where an elevator is provided, to an elevator conforming to Article 3.5.2.1., conform to Sentence 3.8.2.2.(6), and provide access to all common facilities.","Buildings containing adaptable dwelling units shall be provided with an accessible path of travel conforming to Subsection 3.8.3. to an entrance described in Article 3.8.2.2. and to each adaptable dwelling unit from a sidewalk, roadway or street, where provided, a parking area, where provided, passenger-loading zones, and where an elevator is provided, to an elevator conforming to Article 3.5.2.1., conform to Sentence 3.8.2.2.(6), and provide access to all common facilities.",1.0
9669,An attic space access hatchway not less than 0.32 m2 in an area with no dimension less than 500 mm may serve both suites in a building that contains a secondary suite.,An attic space access hatchway not less than 0.32 m2 in an area with no dimension less than 500 mm may serve both suites in a building that contains a secondary suite.,1.0
10621,"Each dwelling unit shall be provided with a second and separate means ofegress or an opening window conforming to Article 9.9.10.1. where the egress door from either dwelling unit opens onto an exit stairway that serves both suites, a public corridor serving both suites and served by a single exit stairway, an exterior passageway serving both suites and served by a single exit stairway, or a balcony serving both suites and served by a single exit stairway.","Each dwelling unit shall be provided with a second and separate means ofegress or an opening window conforming to Article 9.9.10.1. where the egress door from either dwelling unit opens onto an exit stairway that serves both suites, a public corridor serving both suites and served by a single exit stairway, an exterior passageway serving both suites and served by a single exit stairway, or a balcony serving both suites and served by a single exit stairway.",1.0
11437,"Where a standpipe system is to be installed in portions of a building under construction or alteration that are not occupied, the following shall apply: a permanent or temporary standpipe system is permitted in accordance with Clauses 5.6.1.6.(2)and 5.6.1.6.(2), the standpipe system shall be provided with conspicuously marked and readily accessible fire department connections on the outside of the building at street level and shall have at least one hose outlet at each floor, the pipe size, hose valves and water supply shall conform to Subsection 3.2.5. of Division B of the British Columbia Building Code, the standpipe system shall, as a minimum, be securely supported and restrained on alternate floors, at least one hose valve for attaching fire department hose shall be provided at each intermediate landing or floor level in the exit stairway, valves shall be kept closed at all times and guarded against mechanical damage, the standpipe shall be not more than one floor below the highest forms, staging, and similar combustible elements at all times, and temporary standpipe systems shall remain in service until the permanent standpipe installation is complete.","Where a standpipe system is to be installed in portions of a building under construction or alteration that are not occupied, the following shall apply: a permanent or temporary standpipe system is permitted in accordance with Clauses 5.6.1.6.(2)and 5.6.1.6.(2), the standpipe system shall be provided with conspicuously marked and readily accessible fire department connections on the outside of the building at street level and shall have at least one hose outlet at each floor, the pipe size, hose valves and water supply shall conform to Subsection 3.2.5. of Division B of the British Columbia Building Code, the standpipe system shall, as a minimum, be securely supported and restrained on alternate floors, at least one hose valve for attaching fire department hose shall be provided at each intermediate landing or floor level in the exit stairway, valves shall be kept closed at all times and guarded against mechanical damage, the standpipe shall be not more than one floor below the highest forms, staging, and similar combustible elements at all times, and temporary standpipe systems shall remain in service until the permanent standpipe installation is complete.",1.0
12568,Piping and steam lines shall be enclosed in insulation conforming to the British Columbia Building Code.,Piping and steam lines shall be enclosed in insulation conforming to the British Columbia Building Code.,1.0
11256,"This Article applies to every building that contains a residential occupancy and that also contains a fuel-burning appliance, or a storage garage.","This Article applies to every building that contains a residential occupancy and that also contains a fuel-burning appliance, or a storage garage.",1.0
7682,"This Section applies to the design and installation of heating systems, including requirements for combustion air, and air-conditioning systems serving only one dwelling unit.","This Section applies to the design and installation of heating systems, including requirements for combustion air, and air-conditioning systems serving only one dwelling unit.",1.0
11205,Roofing materials shall conform to the requirements of the applicable standards in Table 9.26.2.1.-B.,Roofing materials shall conform to the requirements of the applicable standards in Table 9.26.2.1.-B.,1.0
9904,Fill beneath floors-on-ground need not be compacted where the material is coarse clean granular material containing not more than 10% of material that will pass a 4 mm sieve.,Fill beneath floors-on-ground need not be compacted where the material is coarse clean granular material containing not more than 10% of material that will pass a 4 mm sieve.,1.0
10248,"Where exterior or interior handrails serving a single dwelling unit are attached to wood studs or blocking, the attachment shall be deemed to comply with Sentence (1), where the attachment points are spaced not more than 1.2 m apart measured on the horizontal plane, the first attachment point at either end is located no more than 300 mm from the end of the handrail, and the fasteners consist of not less than 2 No. 8 wood screws at each point, penetrating not less than 32 mm into solid wood.","Where exterior or interior handrails serving a single dwelling unit are attached to wood studs or blocking, the attachment shall be deemed to comply with Sentence (1), where the attachment points are spaced not more than 1.2 m apart measured on the horizontal plane, the first attachment point at either end is located no more than 300 mm from the end of the handrail, and the fasteners consist of not less than 2 No. 8 wood screws at each point, penetrating not less than 32 mm into solid wood.",1.0
9342,"Where there is a vertical addition of one storey and of more than 600 m² in floor area, or of two or more storeys regardless of floor area, access shall be provided to all additional storeys, and the additional storeys shall conform to Subsections 3.8.2. and 3.8.3.","Where there is a vertical addition of one storey and of more than 600 m² in floor area, or of two or more storeys regardless of floor area, access shall be provided to all additional storeys, and the additional storeys shall conform to Subsections 3.8.2. and 3.8.3.",1.0
6642,"Except as provided in Articles 9.33.5.3. and 9.33.5.4., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to the Safety Standards Act and the following of its regulations: the Gas Safety Regulation, the Electrical Safety Regulation, and the Power Engineers, Boiler, Pressure Vessel and Refrigeration Safety Regulation, CSA B139, ""Installation Code for Oil-Burning Equipment,"" and CSA C448 Series, ""Design and Installation of Earth Energy Systems."" (See also Sentence 9.33.5.3.(1).)","Except as provided in Articles 9.33.5.3. and 9.33.5.4., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to the Safety Standards Act and the following of its regulations: the Gas Safety Regulation, the Electrical Safety Regulation, and the Power Engineers, Boiler, Pressure Vessel and Refrigeration Safety Regulation, CSA B139, ""Installation Code for Oil-Burning Equipment,"" and CSA C448 Series, ""Design and Installation of Earth Energy Systems."" (See also Sentence 9.33.5.3.(1).)",1.0
12448,"Disposal chutes described in Clause 8.2.5.2.(1)(b) of Division B of the British Columbia Building Code shall be constructed of noncombustible material, or terminate not less than 2 m above the disposal bin they serve.","Disposal chutes described in Clause 8.2.5.2.(1)(b) of Division B of the British Columbia Building Code shall be constructed of noncombustible material, or terminate not less than 2 m above the disposal bin they serve.",1.0
7231,"The space above a mezzanine conforming to Sentence (3) is permitted to include an enclosed space whose area does not exceed 10% of the horizontal plane separating the mezzanine from the room or floor space in which the mezzanine is located, provided the enclosed space does not obstruct visual communication between the open space above the mezzanine and the room in which it is located. (See Figure A-3.2.1.1.(3)-D.)","The space above a mezzanine conforming to Sentence (3) is permitted to include an enclosed space whose area does not exceed 10% of the horizontal plane separating the mezzanine from the room or floor space in which the mezzanine is located, provided the enclosed space does not obstruct visual communication between the open space above the mezzanine and the room in which it is located. (See Figure A-3.2.1.1.(3)-D.)",1.0
8493,"This Section applies to glass, and the protection of glass, in doors, including closet doors and sidelights for doors, windows, skylights as defined in Sentence 9.7.1.1.(2), shower or bathtub enclosures, and glazed panels and partitions. (See Note A-9.6.1.1.)","This Section applies to glass, and the protection of glass, in doors, including closet doors and sidelights for doors, windows, skylights as defined in Sentence 9.7.1.1.(2), shower or bathtub enclosures, and glazed panels and partitions. (See Note A-9.6.1.1.)",1.0
12841,Potable water shall be used to test a potablewater system.,Potable water shall be used to test a potablewater system.,1.0
11447,Commercial cooking equipment exhaust and fire protection systems shall be designed and installed in conformance with the British Columbia Building Code.,Commercial cooking equipment exhaust and fire protection systems shall be designed and installed in conformance with the British Columbia Building Code.,1.0
10380,"A building described in Clause (9)(a) or (b) is permitted to have an additional nonconforming door with an overall thermal transmittance not greater than 2.10 W/m2·K if the effective thermal resistance of the ceilings of the building is at least 0.88 m2·K/W greater than the relevant value shown in Table 9.36.2.6.A. or Table 9.36.2.6.B., as applicable.","A building described in Clause (9)(a) or (b) is permitted to have an additional nonconforming door with an overall thermal transmittance not greater than 2.10 W/m2·K if the effective thermal resistance of the ceilings of the building is at least 0.88 m2·K/W greater than the relevant value shown in Table 9.36.2.6.A. or Table 9.36.2.6.B., as applicable.",1.0
8764,"Except as required by Sentence 9.7.4.3.(2), the climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with Sentence (2) and the climatic and seismic values in Appendix C. (See Note A-1.1.3.1.(1).)","Except as required by Sentence 9.7.4.3.(2), the climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with Sentence (2) and the climatic and seismic values in Appendix C. (See Note A-1.1.3.1.(1).)",1.0
9444,"The sound rating of the principal ventilation system exhaust fan shall not exceed 1.0 sone when running continuously at the air-flow rate specified in Table 9.32.3.5. as determined in accordance with HVI Publication 915, ""Loudness Testing and Rating Procedure,"" or CAN/CSA-C260-M, ""Rating the Performance of Residential Mechanical Ventilating Equipment.""","The sound rating of the principal ventilation system exhaust fan shall not exceed 1.0 sone when running continuously at the air-flow rate specified in Table 9.32.3.5. as determined in accordance with HVI Publication 915, ""Loudness Testing and Rating Procedure,"" or CAN/CSA-C260-M, ""Rating the Performance of Residential Mechanical Ventilating Equipment.""",1.0
10761,The egress requirements of Article 3.3.1.7. shall apply to the vertical additions described in Sentence 3.8.4.3.(1).,The egress requirements of Article 3.3.1.7. shall apply to the vertical additions described in Sentence 3.8.4.3.(1).,1.0
9442,Stone shall be sound and resistant to deterioration.,Stone shall be sound and resistant to deterioration.,1.0
8732,"The ventilation system for a power-ventilated enclosure required by Sentence 5.5.4.2.(1) of Division B of the British Columbia Fire Code shall conform to NFPA 91, ""Exhaust Systems for Air Conveying of Vapors, Gases, Mists, and Noncombustible Particulate Solids,"" provide continuous exhaust ventilation at an air velocity sufficient to prevent the accumulation of combustible or reactive deposits in the power-ventilated enclosure and its exhaust duct system, confine dangerous goods vapours and particles to the area where they are generated and exhaust them to the outdoors, not return the exhausted air to the building, and be provided with well identified control switches that are located outside of the power-ventilated enclosure, and readily accessible in case of an emergency.","The ventilation system for a power-ventilated enclosure required by Sentence 5.5.4.2.(1) of Division B of the British Columbia Fire Code shall conform to NFPA 91, ""Exhaust Systems for Air Conveying of Vapors, Gases, Mists, and Noncombustible Particulate Solids,"" provide continuous exhaust ventilation at an air velocity sufficient to prevent the accumulation of combustible or reactive deposits in the power-ventilated enclosure and its exhaust duct system, confine dangerous goods vapours and particles to the area where they are generated and exhaust them to the outdoors, not return the exhausted air to the building, and be provided with well identified control switches that are located outside of the power-ventilated enclosure, and readily accessible in case of an emergency.",1.0
12396,Signs required by the British Columbia Building Code to indicate the occupant load for a floor area shall be posted in conspicuous locations near the principal entrances to the floor area. (See Note A-2.7.1.4.(2).),Signs required by the British Columbia Building Code to indicate the occupant load for a floor area shall be posted in conspicuous locations near the principal entrances to the floor area. (See Note A-2.7.1.4.(2).),1.0
8507,"Except as permitted by Sentence (3), the fire separations referred to in Clause (1)(b) shall have a fire-resistance rating not less than 1 h.","Except as permitted by Sentence (3), the fire separations referred to in Clause (1)(b) shall have a fire-resistance rating not less than 1 h.",1.0
11802,The fire safety plan for a building within the scope of Subsection 3.2.6. of Division B of the British Columbia Building Code shall be kept at the central alarm and control facility.,The fire safety plan for a building within the scope of Subsection 3.2.6. of Division B of the British Columbia Building Code shall be kept at the central alarm and control facility.,1.0
7594,"The top of the nosing of stair treads shall except as permitted in Sentence (10), have either a radius or a bevel between 6 mm and 10 mm in horizontal dimension, have no abrupt angles on the underside, and not project more than 38 mm.","The top of the nosing of stair treads shall except as permitted in Sentence (10), have either a radius or a bevel between 6 mm and 10 mm in horizontal dimension, have no abrupt angles on the underside, and not project more than 38 mm.",1.0
8660,"Except for a door at the entrance to a dwelling unit, a closer for a door in an accessible path of travel shall have a closing period of not less than 3 s measured from when the door is in an open position of 70° to the doorway, to when the door reaches a point 75 mm from the closed position, measured from the leading edge of the latch side of the door. (See Note A-3.8.3.6.(10).)","Except for a door at the entrance to a dwelling unit, a closer for a door in an accessible path of travel shall have a closing period of not less than 3 s measured from when the door is in an open position of 70° to the doorway, to when the door reaches a point 75 mm from the closed position, measured from the leading edge of the latch side of the door. (See Note A-3.8.3.6.(10).)",1.0
10080,"Except as provided by Sentence (2), stairs in buildings shall consist of straight flights, or except as provided in Sentence (4), curved flights.","Except as provided by Sentence (2), stairs in buildings shall consist of straight flights, or except as provided in Sentence (4), curved flights.",1.0
