Full Index,AB Full,AB Variations,Similarity
2822,Every kitchen counter shall have at least one barrier-free section not less than 760 mm long centred over a knee space conforming to Sentence 3.8.4.4.(3).,Every kitchen counter shall have at least one barrier-free section not less than 760 mm long centred over a knee space conforming to Sentence 3.8.4.4.(3).,1.0
2821,Capacity requirements under Sentence 3.2.5.7.(1) do not apply to a building having a standpipe system conforming to the requirements of NFPA 14-2013 Installation of Standpipe and Hose Systems,Capacity requirements under Sentence 3.2.5.7.(1) do not apply to a building having a standpipe system conforming to the requirements of NFPA 14-2013 Installation of Standpipe and Hose Systems,1.0
2823,"If a wall framing system with stud dimensions less than those specified in Sentence 10.4.1.2.(1) is used, the membrane values required in Articles 10.4.1.3. to 10.4.1.5. shall be increased by 10 min.","If a wall framing system with stud dimensions less than those specified in Sentence 10.4.1.2.(1) is used, the membrane values required in Articles 10.4.1.3. to 10.4.1.5. shall be increased by 10 min.",1.0
2834,Glass used in shower and bathtub enclosures shall be laminated or tempered safety glass conforming to CGSB CAN/CGSB-12.1-M90 Tempered or Laminated Safety Glass,Glass used in shower and bathtub enclosures shall be laminated or tempered safety glass conforming to CGSB CAN/CGSB-12.1-M90 Tempered or Laminated Safety Glass,1.0
4703,"The installation of service water heaters, including provisions for mounting, clearances and air supply, shall conform to the Pressure Equipment Safety Regulation made pursuant to the Safety Codes Act, CSA B139 Series-15 Installation Code for Oil-Burning Equipment the Gas Code Regulation made pursuant to the Safety Codes Act, CSA B365-17 Installation Code for Solid-Fuel-Burning Appliances and Equipment or the Electrical Code Regulation made pursuant to the Safety Codes Act.","The installation of service water heaters, including provisions for mounting, clearances and air supply, shall conform to the Pressure Equipment Safety Regulation made pursuant to the Safety Codes Act, CSA B139 Series-15 Installation Code for Oil-Burning Equipment the Gas Code Regulation made pursuant to the Safety Codes Act, CSA B365-17 Installation Code for Solid-Fuel-Burning Appliances and Equipment or the Electrical Code Regulation made pursuant to the Safety Codes Act.",1.0
2843,"Sentence 7.2.2.1.(1) does not apply to a swimming pool that is provided with a cover that has been designed and constructed in conformance with ASTM F 1346-91(2018) Safety Covers and Labeling Requirements for All Covers for Swimming Pools, Spas and Hot Tubs and is provided with lockable devices to prevent access to the water by unauthorized persons.","Sentence 7.2.2.1.(1) does not apply to a swimming pool that is provided with a cover that has been designed and constructed in conformance with ASTM F 1346-91(2018) Safety Covers and Labeling Requirements for All Covers for Swimming Pools, Spas and Hot Tubs and is provided with lockable devices to prevent access to the water by unauthorized persons.",1.0
5928,The owner shall make the documentation described in Sentence 4.3.1.9.(3) available in conformance with Article 2.2.1.2..,The owner shall make the documentation described in Sentence 4.3.1.9.(3) available in conformance with Article 2.2.1.2..,1.0
645,A surge-free automatic water level control system shall be installed to ensure that the water in a receiving pool is maintained at the proper level.,A surge-free automatic water level control system shall be installed to ensure that the water in a receiving pool is maintained at the proper level.,1.0
5486,"Exit lighting, exit signs and emergency lighting shall be provided in buildings in conformance with the NBC(AE). (See Note A-2.7.3.1.(1).)","Exit lighting, exit signs and emergency lighting shall be provided in buildings in conformance with the NBC(AE). (See Note A-2.7.3.1.(1).)",1.0
1325,"Exclusive of washroom and shower areas, 0.5 m2 for each male and 0.5 m2 for each female is required for dressing room space on the basis of the bathing load.","Exclusive of washroom and shower areas, 0.5 m2 for each male and 0.5 m2 for each female is required for dressing room space on the basis of the bathing load.",1.0
151,The tie-down instructions shall be provided for a specific site only and shall be printed on a label and affixed to the module in a visible location.,The tie-down instructions shall be provided for a specific site only and shall be printed on a label and affixed to the module in a visible location.,1.0
5481,"Temporary electrical installations shall be installed in conformance with the requirements of CSA C22.1-18 Canadian Electrical Code, Part I","Temporary electrical installations shall be installed in conformance with the requirements of CSA C22.1-18 Canadian Electrical Code, Part I",1.0
1324,A mirror provided over a lavatory shall be of the unbreakable type.,A mirror provided over a lavatory shall be of the unbreakable type.,1.0
4858,"Spaces containing an indoor swimming pool need not comply with Sentence 9.36.3.8.(1), provided a stationary mechanical or desiccant dehumidification system is installed that provides at least 80% of the dehumidification that would result from compliance with Sentence 9.36.3.8.(1).","Spaces containing an indoor swimming pool need not comply with Sentence 9.36.3.8.(1), provided a stationary mechanical or desiccant dehumidification system is installed that provides at least 80% of the dehumidification that would result from compliance with Sentence 9.36.3.8.(1).",1.0
1323,The main waiting area shall be designed to allow a person using a wheelchair to turn in an open space not less than 1 500 mm in diameter.,The main waiting area shall be designed to allow a person using a wheelchair to turn in an open space not less than 1 500 mm in diameter.,1.0
5931,"Buildings altered or occupied for purposes of providing accommodation for boarders, lodgers or roomers shall conform to the NBC(AE).","Buildings altered or occupied for purposes of providing accommodation for boarders, lodgers or roomers shall conform to the NBC(AE).",1.0
5932,"No person shall repair, service or store a tank vehicle in a building other than for repairs conducted in conformance with Article 4.11.2.2. and Sentence 4.11.2.6.(1), unless the building is acceptable to the authority having jurisdiction, or all flammable liquids and combustible liquids have been removed from the cargo tank and the tank has been purged of flammable vapours or combustible vapours, outside the building or in a well-ventilated area, to less than 10% of the lower explosive limit.","No person shall repair, service or store a tank vehicle in a building other than for repairs conducted in conformance with Article 4.11.2.2. and Sentence 4.11.2.6.(1), unless the building is acceptable to the authority having jurisdiction, or all flammable liquids and combustible liquids have been removed from the cargo tank and the tank has been purged of flammable vapours or combustible vapours, outside the building or in a well-ventilated area, to less than 10% of the lower explosive limit.",1.0
2878,"The water velocity in a discharge pipe shall be not more than 2.3 m/s for plastic piping, 2.0 m/s for copper piping, and 1.5 m/s for cast iron piping.","The water velocity in a discharge pipe shall be not more than 2.3 m/s for plastic piping, 2.0 m/s for copper piping, and 1.5 m/s for cast iron piping.",1.0
2877,"If possible, depth markings shall also be located on the wall of the swimming pool, above the operating water level.","If possible, depth markings shall also be located on the wall of the swimming pool, above the operating water level.",1.0
2876,Ducts for a kitchen exhaust system shall be constructed of 0.84 mm minimum thickness stainless steel.,Ducts for a kitchen exhaust system shall be constructed of 0.84 mm minimum thickness stainless steel.,1.0
112,"Gauges shall be installed in all piping systems to measure the pressure drop across pressure type filter systems and the suction pressure on vacuum filter systems, and on both sides of circulation pumps for checking their operational performance.","Gauges shall be installed in all piping systems to measure the pressure drop across pressure type filter systems and the suction pressure on vacuum filter systems, and on both sides of circulation pumps for checking their operational performance.",1.0
1317,"For temporary uses, such as outdoor fairs and festivals, a barrier-free stall shall be provided for every 10 stalls or part thereof.","For temporary uses, such as outdoor fairs and festivals, a barrier-free stall shall be provided for every 10 stalls or part thereof.",1.0
1316,"Except as otherwise stated in this Section, aisles shall be provided in conformance with the NFC(AE).","Except as otherwise stated in this Section, aisles shall be provided in conformance with the NFC(AE).",1.0
6502,"Piping shall be firmly supported and protected by means of guarding devices where necessary to prevent vehicular, watercraft or aircraft impact damage, or other physical damage.","Piping shall be firmly supported and protected by means of guarding devices where necessary to prevent vehicular, watercraft or aircraft impact damage, or other physical damage.",1.0
3753,"Special Emergency Services, as defined in the Elevating Devices Codes Regulation made pursuant to the Safety Codes Act, shall be provided in all elevators.","Special Emergency Services, as defined in the Elevating Devices Codes Regulation made pursuant to the Safety Codes Act, shall be provided in all elevators.",1.0
3752,"At least one hose cabinet shall be provided that contains a 38 mm diam hose not more than 30 m in length, capable of reaching all parts of the building with a water stream.","At least one hose cabinet shall be provided that contains a 38 mm diam hose not more than 30 m in length, capable of reaching all parts of the building with a water stream.",1.0
4210,Fittings for inlets and outlets for firefighting use shall conform to the NFC(AE).,Fittings for inlets and outlets for firefighting use shall conform to the NFC(AE).,1.0
979,Each log in a wall built of vertical logs shall be scribed to fit as closely as possible to the adjacent logs.,Each log in a wall built of vertical logs shall be scribed to fit as closely as possible to the adjacent logs.,1.0
4024,Building sewers shall discharge into a public sewage system where such system is available.,Building sewers shall discharge into a public sewage system where such system is available.,1.0
2080,A sidewall fan may be used.,A sidewall fan may be used.,1.0
2079,Each face of a wall separating a sleeping room from another room shall have not less than a 5 min membrane protection.,Each face of a wall separating a sleeping room from another room shall have not less than a 5 min membrane protection.,1.0
5936,"Except as permitted by Sentence 3.3.2.17.(2), where a municipal hydrant system exists and is adjacent to the storage yard, the hydrant system shall be extended into the yard area so that all parts of the yard can be reached by using not more than 60 m of hose.","Except as permitted by Sentence 3.3.2.17.(2), where a municipal hydrant system exists and is adjacent to the storage yard, the hydrant system shall be extended into the yard area so that all parts of the yard can be reached by using not more than 60 m of hose.",1.0
895,Design live load due to wind shall be based on a reference velocity wind pressure not less than 0.7 kPa.,Design live load due to wind shall be based on a reference velocity wind pressure not less than 0.7 kPa.,1.0
2396,"In addition to the requirements of this Code, a food establishment shall be designed and constructed to be capable of meeting the requirements of the food regulations made pursuant to the Public Health Act.","In addition to the requirements of this Code, a food establishment shall be designed and constructed to be capable of meeting the requirements of the food regulations made pursuant to the Public Health Act.",1.0
5459,"Except as permitted at self-service outlets, a qualified attendant shall be in constant control of the dispensing of Class I and II liquids into the fuel tanks of motor vehicles, watercraft or aircraft, or into containers.","Except as permitted at self-service outlets, a qualified attendant shall be in constant control of the dispensing of Class I and II liquids into the fuel tanks of motor vehicles, watercraft or aircraft, or into containers.",1.0
111,"The spatial separation between the end walls of modules containing sleeping accommodation may be less than 10 m if the end walls adjoin a walkway or corridor that is not less than 3 m in width, is sprinklered, is separated from any adjoining module or building by a fire separation with a fire-resistance rating not less than 45 min that extends through any crawl space to the ground, and contains no combustible piping.","The spatial separation between the end walls of modules containing sleeping accommodation may be less than 10 m if the end walls adjoin a walkway or corridor that is not less than 3 m in width, is sprinklered, is separated from any adjoining module or building by a fire separation with a fire-resistance rating not less than 45 min that extends through any crawl space to the ground, and contains no combustible piping.",1.0
2887,"This Part applies to the design, construction, extension, alteration, renewal or repair of plumbing systems, aquatic facilities, food establishments and personal service facilities, and laboratories using biological agents.","This Part applies to the design, construction, extension, alteration, renewal or repair of plumbing systems, aquatic facilities, food establishments and personal service facilities, and laboratories using biological agents.",1.0
996,Stairs or ladders in the deep end of a swimming pool shall be placed to direct a bather away from diving boards and the diving area.,Stairs or ladders in the deep end of a swimming pool shall be placed to direct a bather away from diving boards and the diving area.,1.0
4561,"If wall inlets are used, they shall be submerged not less than 0.6 m, and located as close to the bottom as possible where the water depth is less than 0.6 m.","If wall inlets are used, they shall be submerged not less than 0.6 m, and located as close to the bottom as possible where the water depth is less than 0.6 m.",1.0
5455,Corrosion protection systems shall be maintained in operating condition when a storage tank is temporarily out of service and during seasonal shutdowns.,Corrosion protection systems shall be maintained in operating condition when a storage tank is temporarily out of service and during seasonal shutdowns.,1.0
5453,"Portable electrical equipment used in atmospheres containing combustible dusts shall conform to CSA C22.1-18 Canadian Electrical Code, Part I","Portable electrical equipment used in atmospheres containing combustible dusts shall conform to CSA C22.1-18 Canadian Electrical Code, Part I",1.0
2894,"Canopies, hoods and ductwork for a ventilation system exposed within the kitchen or cooking area of a food establishment shall be constructed of stainless steel.","Canopies, hoods and ductwork for a ventilation system exposed within the kitchen or cooking area of a food establishment shall be constructed of stainless steel.",1.0
5451,"Before repairs or alterations are made to fire protection installations, including but not limited to fire extinguishing systems and fire alarm and detection systems, a procedure of notification acceptable to the fire department shall be established, and the procedure may include the notification of the fire department and the building occupants. (See Note A-6.1.1.3.(1).)","Before repairs or alterations are made to fire protection installations, including but not limited to fire extinguishing systems and fire alarm and detection systems, a procedure of notification acceptable to the fire department shall be established, and the procedure may include the notification of the fire department and the building occupants. (See Note A-6.1.1.3.(1).)",1.0
3883,Floor inlets shall be provided in swimming pools more than 12.8 m wide.,Floor inlets shall be provided in swimming pools more than 12.8 m wide.,1.0
4863,"For a deck-level swimming pool, the width of deck beyond the edge of the gutter drained to the circulation system of the deck-level swimming pool shall be not more than 900 mm.","For a deck-level swimming pool, the width of deck beyond the edge of the gutter drained to the circulation system of the deck-level swimming pool shall be not more than 900 mm.",1.0
2895,"Except for the changes and additional standards listed in this Subsection, all above-ground swimming pools shall be designed in accordance with the remainder of this Section.","Except for the changes and additional standards listed in this Subsection, all above-ground swimming pools shall be designed in accordance with the remainder of this Section.",1.0
2896,"The flame-spread rating on the floor shall be not more than 300 in a corridor, and 150 in an exit stairway from a second storey.","The flame-spread rating on the floor shall be not more than 300 in a corridor, and 150 in an exit stairway from a second storey.",1.0
1489,All pumps in a water theme park shall be equipped with at least one readily visible and accessible emergency shutdown switch for use by the supervisory staff.,All pumps in a water theme park shall be equipped with at least one readily visible and accessible emergency shutdown switch for use by the supervisory staff.,1.0
5448,Fuel-fired vehicles operating in a storage area shall be maintained regularly so as not to be a fire hazard.,Fuel-fired vehicles operating in a storage area shall be maintained regularly so as not to be a fire hazard.,1.0
5447,A tire storage area designed to contain more than 375 m3 of rubber tires shall be separated from the remainder of the building by a fire separation conforming to Article 3.3.6.5. of Division B of the NBC(AE). (See Note A-3.2.4.2.(1).),A tire storage area designed to contain more than 375 m3 of rubber tires shall be separated from the remainder of the building by a fire separation conforming to Article 3.3.6.5. of Division B of the NBC(AE). (See Note A-3.2.4.2.(1).),1.0
5444,"When a loss of flammable liquid or combustible liquid occurs from a spill, leak, or as indicated by any of the leak detection measures in part 4., the owner shall ensure that appropriate action is taken as required in Sentences 4.1.6.3.(2) and 4.1.6.3.(3), and Sentence 4.4.1.3.(1), and if the quantity of liquid spilled or leaked exceeds 50 L in aggregate or is sufficient to cause a sheen on nearby surface water, the fire department shall be notified immediately, and the authority having jurisdiction shall be notified in writing within 24 h.","When a loss of flammable liquid or combustible liquid occurs from a spill, leak, or as indicated by any of the leak detection measures in part 4., the owner shall ensure that appropriate action is taken as required in Sentences 4.1.6.3.(2) and 4.1.6.3.(3), and Sentence 4.4.1.3.(1), and if the quantity of liquid spilled or leaked exceeds 50 L in aggregate or is sufficient to cause a sheen on nearby surface water, the fire department shall be notified immediately, and the authority having jurisdiction shall be notified in writing within 24 h.",1.0
1617,"The ventilation system for a power-ventilated enclosure required by Sentence 5.5.4.2.(1) of Division B of the NFC(AE) shall conform to NFPA 91-2010 Exhaust Systems for Air Conveying of Vapors, Gases, Mists, and Noncombustible Particulate Solids provide continuous exhaust ventilation at an air velocity sufficient to prevent the accumulation of combustible or reactive deposits in the power-ventilated enclosure and its exhaust duct system, confine dangerous goods vapours and particles to the area where they are generated and exhaust them to the outdoors, not return the exhausted air to the building, and be provided with well identified control switches that are located outside of the power-ventilated enclosure, and readily accessible in case of an emergency.","The ventilation system for a power-ventilated enclosure required by Sentence 5.5.4.2.(1) of Division B of the NFC(AE) shall conform to NFPA 91-2010 Exhaust Systems for Air Conveying of Vapors, Gases, Mists, and Noncombustible Particulate Solids provide continuous exhaust ventilation at an air velocity sufficient to prevent the accumulation of combustible or reactive deposits in the power-ventilated enclosure and its exhaust duct system, confine dangerous goods vapours and particles to the area where they are generated and exhaust them to the outdoors, not return the exhausted air to the building, and be provided with well identified control switches that are located outside of the power-ventilated enclosure, and readily accessible in case of an emergency.",1.0
2904,Fire separations for rooms where flammable liquids and combustible liquids are stored are required to be constructed with a fire-resistance rating in conformance with Subsection 4.2.9. of Division B of the NFC(AE).,Fire separations for rooms where flammable liquids and combustible liquids are stored are required to be constructed with a fire-resistance rating in conformance with Subsection 4.2.9. of Division B of the NFC(AE).,1.0
110,Erosion feeders using stabilized chlorine are not approved as chlorinators for the purposes of this Article.,Erosion feeders using stabilized chlorine are not approved as chlorinators for the purposes of this Article.,1.0
5441,An arena-type building intended for occasional use for trade shows and similar exhibition purposes shall be classified in accordance with the NBC(AE).,An arena-type building intended for occasional use for trade shows and similar exhibition purposes shall be classified in accordance with the NBC(AE).,1.0
6274,"Except as provided in Sentence 4.6.8.6.(2), flammable liquids and combustible liquids shall not be dispensed into the fuel tank of a motor vehicle, watercraft or aircraft while the engine is running.","Except as provided in Sentence 4.6.8.6.(2), flammable liquids and combustible liquids shall not be dispensed into the fuel tank of a motor vehicle, watercraft or aircraft while the engine is running.",1.0
1305,"If wall inlets are installed in water areas more than 1.5 m deep, they shall be located no higher than one third of the depth from the bottom.","If wall inlets are installed in water areas more than 1.5 m deep, they shall be located no higher than one third of the depth from the bottom.",1.0
5945,"No person shall have in his possession, sell, offer for sale, give away or otherwise distribute, discharge, fire or set off firecrackers.","No person shall have in his possession, sell, offer for sale, give away or otherwise distribute, discharge, fire or set off firecrackers.",1.0
2911,"Except as otherwise required by this Subsection, the flame-spread rating of interior wall and ceiling finishes, including 90% of the surface area of cupboards and built-in furniture, shall be not more than 150.","Except as otherwise required by this Subsection, the flame-spread rating of interior wall and ceiling finishes, including 90% of the surface area of cupboards and built-in furniture, shall be not more than 150.",1.0
717,Adequate space shall be provided for servicing the filtration equipment.,Adequate space shall be provided for servicing the filtration equipment.,1.0
4864,Emergency lighting shall be provided to average levels of not less than 10 lx at floor or tread level in all corridors and in areas serving as an access to exit from buildings having an occupant load more than 20.,Emergency lighting shall be provided to average levels of not less than 10 lx at floor or tread level in all corridors and in areas serving as an access to exit from buildings having an occupant load more than 20.,1.0
588,"In addition to the requirements of Sentence 3.8.2.8.(1), at least one universal washroom conforming to Article 3.8.3.12. shall be provided in a regional transportation terminal.","In addition to the requirements of Sentence 3.8.2.8.(1), at least one universal washroom conforming to Article 3.8.3.12. shall be provided in a regional transportation terminal.",1.0
3884,"The required clearance from the exhaust duct to combustible material may be waived if a 25 mm air space, having no materials in it, separates the exhaust duct from a noncombustible material backed by not less than 25 mm of mineral wool insulation which protects the combustible material.","The required clearance from the exhaust duct to combustible material may be waived if a 25 mm air space, having no materials in it, separates the exhaust duct from a noncombustible material backed by not less than 25 mm of mineral wool insulation which protects the combustible material.",1.0
6113,"Except for the storage of distilled beverage alcohol, where Class IA or IB liquids are used, dispensed or stored in open containers within a storage room, or where Class IA liquids are stored in containers exceeding 4 L in capacity, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with Sentence 3.3.6.4.(2) of Division B of the NBC(AE). (See Note A-3.2.8.2.(1)(d).)","Except for the storage of distilled beverage alcohol, where Class IA or IB liquids are used, dispensed or stored in open containers within a storage room, or where Class IA liquids are stored in containers exceeding 4 L in capacity, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with Sentence 3.3.6.4.(2) of Division B of the NBC(AE). (See Note A-3.2.8.2.(1)(d).)",1.0
5947,"At fuel-dispensing stations that provide both attended service and self-service, the attendant required in Sentence 4.6.8.1.(1) is permitted to dispense flammable liquids or combustible liquids at the attended service island, provided that the attendant has direct view of all fueling positions at the fuel-dispensing station, and the attendant is never more than 25 m from an emergency shut-off switch.","At fuel-dispensing stations that provide both attended service and self-service, the attendant required in Sentence 4.6.8.1.(1) is permitted to dispense flammable liquids or combustible liquids at the attended service island, provided that the attendant has direct view of all fueling positions at the fuel-dispensing station, and the attendant is never more than 25 m from an emergency shut-off switch.",1.0
1491,"Except where a thermostat is designed with a pre-set temperature range that is safe for users, thermostatic control of all steam rooms and sauna rooms shall be designed to only be accessible to authorized staff.","Except where a thermostat is designed with a pre-set temperature range that is safe for users, thermostatic control of all steam rooms and sauna rooms shall be designed to only be accessible to authorized staff.",1.0
5436,"Bar coding and other technologies acceptable to the authority having jurisdiction are permitted to be used as a means of record-keeping, provided an information record in accordance with Sentence 6.1.1.5.(3) is available at the premise where the portable extinguisher is located, and the tag on the extinguisher contains information indicating a five-year monthly inspection record for use by the owner, the name of the owner of the extinguisher, the name, address and telephone number of the service agency, the certification number of an approved testing agency, and the printed name and signature of the service person.","Bar coding and other technologies acceptable to the authority having jurisdiction are permitted to be used as a means of record-keeping, provided an information record in accordance with Sentence 6.1.1.5.(3) is available at the premise where the portable extinguisher is located, and the tag on the extinguisher contains information indicating a five-year monthly inspection record for use by the owner, the name of the owner of the extinguisher, the name, address and telephone number of the service agency, the certification number of an approved testing agency, and the printed name and signature of the service person.",1.0
1304,Stairs with handrails shall be provided at entry and egress points of an above-ground swimming pool and treads shall have a non-skid finish when wet.,Stairs with handrails shall be provided at entry and egress points of an above-ground swimming pool and treads shall have a non-skid finish when wet.,1.0
2914,Asbestos shall not be used in HVAC systems or equipment.,Asbestos shall not be used in HVAC systems or equipment.,1.0
764,"Except as required by Sentence 9.26.4.9.(3), flashing for a pipe or duct shall be rectangular and shall be not less than 500 mm in length by 500 mm in width and, if sleeve flashing is used, the sleeve shall extend not less than 150 mm above the roof at every point of the pipe or duct.","Except as required by Sentence 9.26.4.9.(3), flashing for a pipe or duct shall be rectangular and shall be not less than 500 mm in length by 500 mm in width and, if sleeve flashing is used, the sleeve shall extend not less than 150 mm above the roof at every point of the pipe or duct.",1.0
5435,"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC(AE). (See Note A-2.1.2.1.(1).)","For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC(AE). (See Note A-2.1.2.1.(1).)",1.0
392,"Heating and air-conditioning systems, including ducting, and mechanical heating and refrigeration equipment, shall be designed, constructed and installed to conform with good practice such as that described in the ASHRAE Handbooks and Standards, the HRAI Digest, the CHC Handbook on Hydronic Heating Systems, the Hydronics Institute Manuals, the SMACNA Manuals, and CSA B214-16 Installation Code for Hydronic Heating Systems","Heating and air-conditioning systems, including ducting, and mechanical heating and refrigeration equipment, shall be designed, constructed and installed to conform with good practice such as that described in the ASHRAE Handbooks and Standards, the HRAI Digest, the CHC Handbook on Hydronic Heating Systems, the Hydronics Institute Manuals, the SMACNA Manuals, and CSA B214-16 Installation Code for Hydronic Heating Systems",1.0
995,"Tables 11.2.3.1.-A to 11.2.3.1.-D may be used to determine the acoustic insulation factor for some typical construction materials and assemblies, including windows, doors, exterior walls and roofs.","Tables 11.2.3.1.-A to 11.2.3.1.-D may be used to determine the acoustic insulation factor for some typical construction materials and assemblies, including windows, doors, exterior walls and roofs.",1.0
4560,The design of deck-level diving boards and the corresponding water depths and clearances for a public swimming pool shall be in accordance with ANSI/APSP/ICC ANSI/APSP/ICC-1 2014 Public Swimming Pools,The design of deck-level diving boards and the corresponding water depths and clearances for a public swimming pool shall be in accordance with ANSI/APSP/ICC ANSI/APSP/ICC-1 2014 Public Swimming Pools,1.0
1086,A fan shall be rated for continuous use as a commercial exhaust fan.,A fan shall be rated for continuous use as a commercial exhaust fan.,1.0
3504,Gas chlorinators used for an indoor swimming pool shall have a capacity that is not less than 0.45 kg of chlorine per 24 h per 45  000 L of swimming pool capacity.,Gas chlorinators used for an indoor swimming pool shall have a capacity that is not less than 0.45 kg of chlorine per 24 h per 45 000 L of swimming pool capacity.,1.0
6516,The fire safety plan required as part of the emergency planning measures described in Sentence 3.3.6.7.(1) shall be retained on site for reference by the authority having jurisdiction and the fire department.,The fire safety plan required as part of the emergency planning measures described in Sentence 3.3.6.7.(1) shall be retained on site for reference by the authority having jurisdiction and the fire department.,1.0
393,"A swimming pool shall be equipped with suitable and efficient disinfecting equipment to provide continuous disinfection when in use and a residual level of free chlorine necessary to maintain the swimming pool water in a microbiologically and chemically safe condition at all times, and a mechanical device for feeding a regulated adequate dosage of pH buffering chemicals.","A swimming pool shall be equipped with suitable and efficient disinfecting equipment to provide continuous disinfection when in use and a residual level of free chlorine necessary to maintain the swimming pool water in a microbiologically and chemically safe condition at all times, and a mechanical device for feeding a regulated adequate dosage of pH buffering chemicals.",1.0
5425,"Aboveground storage tanks that have been out of service for a period of more than 180 days and are to be returned to service shall, where possible, be internally inspected and the authority having jurisdiction shall be advised of the inspection results and the intention to return the storage tanks to service.","Aboveground storage tanks that have been out of service for a period of more than 180 days and are to be returned to service shall, where possible, be internally inspected and the authority having jurisdiction shall be advised of the inspection results and the intention to return the storage tanks to service.",1.0
394,"All thermometers shall be legible in single degrees Celsius with a range of at least 20°C encompassing the operating temperature, and shall be installed so that they can be easily read.","All thermometers shall be legible in single degrees Celsius with a range of at least 20°C encompassing the operating temperature, and shall be installed so that they can be easily read.",1.0
2381,"Except as provided in Sentences 9.23.6.1.(3) to 9.23.6.1.(6), anchorage shall be provided by embedding the ends of the first floor joists in concrete, fastening the sill plate to the foundation with not less than 12.7 mm diam anchor bolts spaced not more than 2.4 m o.c., or embedding in concrete two 38 mm by 89 mm sill plates placed on edge and separated by blocking spaced 1.2 m o.c.","Except as provided in Sentences 9.23.6.1.(3) to 9.23.6.1.(6), anchorage shall be provided by embedding the ends of the first floor joists in concrete, fastening the sill plate to the foundation with not less than 12.7 mm diam anchor bolts spaced not more than 2.4 m o.c., or embedding in concrete two 38 mm by 89 mm sill plates placed on edge and separated by blocking spaced 1.2 m o.c.",1.0
5420,"The water supply system shall be capable of supplying water for a period not less than 3 h at a minimum rate of 4 000 L/min if the storage area is less than 600 m3, or 8 000 L/min if the storage area is equal to or greater than 600 m3.","The water supply system shall be capable of supplying water for a period not less than 3 h at a minimum rate of 4 000 L/min if the storage area is less than 600 m3, or 8 000 L/min if the storage area is equal to or greater than 600 m3.",1.0
5419,"Where containers or storage tanks containing flammable liquids, combustible liquids or liquefied petroleum gases located outdoors are used for heating, cooking or power generation purposes at industrial relocatable accommodation, they shall not be installed in any exit or corridor providing access to exit including open air or exterior corridors, under any fire escape, outside exit stair, passage or ramp, or within 7.5 m of any exit.","Where containers or storage tanks containing flammable liquids, combustible liquids or liquefied petroleum gases located outdoors are used for heating, cooking or power generation purposes at industrial relocatable accommodation, they shall not be installed in any exit or corridor providing access to exit including open air or exterior corridors, under any fire escape, outside exit stair, passage or ramp, or within 7.5 m of any exit.",1.0
5952,"Every person dispensing flammable liquids and combustible liquids shall take precautions to prevent overflow or spillage of the liquid being dispensed, not knowingly overfill the fuel system, except as otherwise stated in Article 4.6.8.5., in the event of spillage, immediately apply an absorbent material to soak up the spillage in conformance with Article 4.1.6.3., not dispense Class I or II liquids in proximity to open sources of ignition, not use any object or device that is not an integral part of the hose nozzle valve assembly to maintain the flow of fuel, and not dispense the liquids into containers that are in a vehicle, watercraft or aircraft.","Every person dispensing flammable liquids and combustible liquids shall take precautions to prevent overflow or spillage of the liquid being dispensed, not knowingly overfill the fuel system, except as otherwise stated in Article 4.6.8.5., in the event of spillage, immediately apply an absorbent material to soak up the spillage in conformance with Article 4.1.6.3., not dispense Class I or II liquids in proximity to open sources of ignition, not use any object or device that is not an integral part of the hose nozzle valve assembly to maintain the flow of fuel, and not dispense the liquids into containers that are in a vehicle, watercraft or aircraft.",1.0
2933,"Except as required by Sentence 6.2.1.8.(2), all buildings shall be equipped with heating facilities capable of maintaining the design indoor air temperature commensurate with the use of the building at the outside winter design temperature.","Except as required by Sentence 6.2.1.8.(2), all buildings shall be equipped with heating facilities capable of maintaining the design indoor air temperature commensurate with the use of the building at the outside winter design temperature.",1.0
5416,"When underground storage tanks will be out of service for a period not exceeding 180 days, the liquid level in the storage tank shall be measured at intervals not greater than one month and a record of the measurements shall be retained in conformance with Article 2.2.1.2., fill pipe covers and covers over openings to measure liquid levels, dispensers and power controls shall be kept locked when not in use, and vent piping shall be kept open.","When underground storage tanks will be out of service for a period not exceeding 180 days, the liquid level in the storage tank shall be measured at intervals not greater than one month and a record of the measurements shall be retained in conformance with Article 2.2.1.2., fill pipe covers and covers over openings to measure liquid levels, dispensers and power controls shall be kept locked when not in use, and vent piping shall be kept open.",1.0
5415,Internal combustion engines used to power supplementary blowers required by the NBC(AE) shall be operated and maintained in conformance with part 6.,Internal combustion engines used to power supplementary blowers required by the NBC(AE) shall be operated and maintained in conformance with part 6.,1.0
5411,"Attendants shall be trained on how to conduct their duties, including inventory reconciliation practices, proper and safe product transfer procedures, and responsibilities identified in this Code.","Attendants shall be trained on how to conduct their duties, including inventory reconciliation practices, proper and safe product transfer procedures, and responsibilities identified in this Code.",1.0
