Full Index,ON Full,ON Variations,Similarity
48125,"Ventilation ducts shall conform to the requirements of Part 6 for supply ducts, except that exhaust ducts that serve only a bathroom or water closet room may be of combustible material provided the duct is reasonably airtight and constructed of a material impervious to water.","Ventilation ducts shall conform to the requirements of Part 6 for supply ducts, except that exhaust ducts that serve only a bathroom or water closet room may be of combustible material provided the duct is reasonably airtight and constructed of a material impervious to water.",1.0
52132,Dip tanks containing either a flammable liquid or combustible liquid with a flash point less than 43°C or a heated combustible liquid giving off flammable vapours shall conform to Article 5.13.6.2. when the capacity exceeds 45 L or when the liquid surface area exceeds 0.4 m2.,Dip tanks containing either a flammable liquid or combustible liquid with a flash point less than 43°C or a heated combustible liquid giving off flammable vapours shall conform to Article 5.13.6.2. when the capacity exceeds 45 L or when the liquid surface area exceeds 0.4 m2.,1.0
52077,Piping systems that contain flammable liquids or combustible liquids shall be made of materials that are suitable for the maximum anticipated working pressures and operating temperatures and for the chemical properties of the contained liquid.,Piping systems that contain flammable liquids or combustible liquids shall be made of materials that are suitable for the maximum anticipated working pressures and operating temperatures and for the chemical properties of the contained liquid.,1.0
44466,Fire dampers shall conform to the requirements of Subsection 3.1.8.,Fire dampers shall conform to the requirements of Subsection 3.1.8.,1.0
47214,"The interior surface of foundation walls below ground level shall be protected by means that minimize the ingress of moisture from the foundation wall into interior spaces where,(a) a separate interior finish is applied to a concrete or unit masonry wall that is in contact with the soil, or (b) wood members are placed in contact with such walls for the installation of insulation or finish.","The interior surface of foundation walls below ground level shall be protected by means that minimize the ingress of moisture from the foundation wall into interior spaces where,(a) a separate interior finish is applied to a concrete or unit masonry wall that is in contact with the soil, or (b) wood members are placed in contact with such walls for the installation of insulation or finish.",1.0
44471,"No running trap shall be installed in a plumbing system unless an accessible handhole is provided for cleaning of the trap, and where the trap is too small to accommodate a handhole, a cleanout shall be provided.","No running trap shall be installed in a plumbing system unless an accessible handhole is provided for cleaning of the trap, and where the trap is too small to accommodate a handhole, a cleanout shall be provided.",1.0
47278,Flashing shall be installed over exterior wall openings where the vertical distance from the bottom of the eave to the top of the trim is more than one-quarter of the horizontal overhang of the eave. (See Appendix A.),Flashing shall be installed over exterior wall openings where the vertical distance from the bottom of the eave to the top of the trim is more than one-quarter of the horizontal overhang of the eave. (See Appendix A.),1.0
48124,"The surface required to be dampproofed shall be clean and dry and free of ice, snow, frost, dust, dirt, oil, grease, cracks, projections, depressions, loose particles and debris that could be detrimental to the performance of the membrane to be applied.","The surface required to be dampproofed shall be clean and dry and free of ice, snow, frost, dust, dirt, oil, grease, cracks, projections, depressions, loose particles and debris that could be detrimental to the performance of the membrane to be applied.",1.0
50938,"Except as provided in Sentence (2), the quantities and clearances for flammable liquids and combustible liquids stored in containers in outdoor storage areas shall conform to Table 4.2.11.A.","Except as provided in Sentence (2), the quantities and clearances for flammable liquids and combustible liquids stored in containers in outdoor storage areas shall conform to Table 4.2.11.A.",1.0
50937,Sentence (1) does not apply to tinting operations for paints that involve containers of up to 25 L in capacity.,Sentence (1) does not apply to tinting operations for paints that involve containers of up to 25 L in capacity.,1.0
52076,Ventilation shall be provided for hazardous locations and processes in conformance with the Building Code and the requirements of this Part.,Ventilation shall be provided for hazardous locations and processes in conformance with the Building Code and the requirements of this Part.,1.0
52134,"At bulk plant rail loading and unloading facilities, the minimum distance from a storage tank to a railway line shall be in conformance with Flammable Liquids Bulk Storage Regulations made under the Canada Transportation Act.","At bulk plant rail loading and unloading facilities, the minimum distance from a storage tank to a railway line shall be in conformance with Flammable Liquids Bulk Storage Regulations made under the Canada Transportation Act.",1.0
47212,"Cladding on exposing building faces and exterior walls located above exposing building faces need not conform to the type of cladding required by Table 9.10.14.5. where,(a) the exposing building face is constructed with no unprotected openings, (b) the limiting distance is not less than 0.6 m, and (c) the cladding, (i) conforms to Subsection 9.27.12., (ii) is installed without furring members over not less than 12.7 mm thick gypsum sheathing or over masonry, (iii) has a flame-spread rating not more than 25 when tested in accordance with Sentence 3.1.12.1.(2), and (iv) is not more than 2 mm in thickness exclusive of fasteners, joints and local reinforcements.","Cladding on exposing building faces and exterior walls located above exposing building faces need not conform to the type of cladding required by Table 9.10.14.5. where,(a) the exposing building face is constructed with no unprotected openings, (b) the limiting distance is not less than 0.6 m, and (c) the cladding, (i) conforms to Subsection 9.27.12., (ii) is installed without furring members over not less than 12.7 mm thick gypsum sheathing or over masonry, (iii) has a flame-spread rating not more than 25 when tested in accordance with Sentence 3.1.12.1.(2), and (iv) is not more than 2 mm in thickness exclusive of fasteners, joints and local reinforcements.",1.0
45898,"A wave action pool is exempt from Sentences 3.11.3.1.(4) to (9), (12), (13), (14), (17), (18) and (23), Sentence 3.11.8.1.(12) and Article 3.11.3.3.","A wave action pool is exempt from Sentences 3.11.3.1.(4) to (9), (12), (13), (14), (17), (18) and (23), Sentence 3.11.8.1.(12) and Article 3.11.3.3.",1.0
47211,"Except as provided in Sentence (12), the minimum lateral earthquake force, V, shall be calculated using the following formula:V = S (Ta) MvIEW/ (RdRo) except, (a) for walls, coupled walls and wall-frame systems, V shall not be less than, S (4.0) Mv IEW/ (RdRo) (b) for moment-resisting frames, braced frames and other systems, V shall not be less than, S (2.0) Mv IEW/ (RdRo) (c) for buildings located on a site other than Class F and having an SFRS with an Rd equal to or greater than 1.5, V need not be greater than the larger of, 2/3 S (0.2) IEW / (RdRo) and S (0.5) IEW/ (RdRo)","Except as provided in Sentence (12), the minimum lateral earthquake force, V, shall be calculated using the following formula:V = S (Ta) MvIEW/ (RdRo) except, (a) for walls, coupled walls and wall-frame systems, V shall not be less than, S (4.0) Mv IEW/ (RdRo) (b) for moment-resisting frames, braced frames and other systems, V shall not be less than, S (2.0) Mv IEW/ (RdRo) (c) for buildings located on a site other than Class F and having an SFRS with an Rd equal to or greater than 1.5, V need not be greater than the larger of, 2/3 S (0.2) IEW / (RdRo) and S (0.5) IEW/ (RdRo)",1.0
48259,"This Article applies to the determination of wind load to be used in the design of materials, components and assemblies, including their connections, that separate dissimilar environments or are exposed to the exterior, where these are,(a) subject to wind load, and (b) required to be designed to resist wind load.","This Article applies to the determination of wind load to be used in the design of materials, components and assemblies, including their connections, that separate dissimilar environments or are exposed to the exterior, where these are,(a) subject to wind load, and (b) required to be designed to resist wind load.",1.0
47210,Travel distance to an exit shall be not more than 50 m from any point in a service space referred to in Sentence 3.2.1.1.(9).,Travel distance to an exit shall be not more than 50 m from any point in a service space referred to in Sentence 3.2.1.1.(9).,1.0
50935,Exposed sprinkler piping hangers shall be checked yearly to ensure that they are kept in good repair.,Exposed sprinkler piping hangers shall be checked yearly to ensure that they are kept in good repair.,1.0
48260,"The upper end of every vent pipe that is terminated in open air, other than a vent pipe that serves an oil interceptor or a fresh air inlet, shall be extended above the roof.","The upper end of every vent pipe that is terminated in open air, other than a vent pipe that serves an oil interceptor or a fresh air inlet, shall be extended above the roof.",1.0
48261,Where a supply or return duct is not protected by an insulated exterior wall or where the duct is exposed to an unheated space it shall be insulated to prevent condensation.,Where a supply or return duct is not protected by an insulated exterior wall or where the duct is exposed to an unheated space it shall be insulated to prevent condensation.,1.0
48262,"The spacing between manholes serving a building sewer,(a) 24 in. or less in size shall not exceed 90 m, and (b) over 24 in. in size shall not exceed 150 m.","The spacing between manholes serving a building sewer,(a) 24 in. or less in size shall not exceed 90 m, and (b) over 24 in. in size shall not exceed 150 m.",1.0
45625,"In a building that contains dwelling units that have more than 1 storey, subject to the requirements of Sentence 3.3.4.2.(3), the floor assemblies, including floors over basements, which are entirely contained within these dwelling units, shall have a fire-resistance rating not less than 1 h but need not be constructed as fire separations.","In a building that contains dwelling units that have more than 1 storey, subject to the requirements of Sentence 3.3.4.2.(3), the floor assemblies, including floors over basements, which are entirely contained within these dwelling units, shall have a fire-resistance rating not less than 1 h but need not be constructed as fire separations.",1.0
48120,"Where an exhaust air intake for the principal exhaust fan is connected directly to the duct system of a forced air heating system or other central air circulating system, it shall,(a) be connected to the return air side of the system, and (b) be connected not less than 1 000 mm upstream from any outdoor air supply duct.","Where an exhaust air intake for the principal exhaust fan is connected directly to the duct system of a forced air heating system or other central air circulating system, it shall,(a) be connected to the return air side of the system, and (b) be connected not less than 1 000 mm upstream from any outdoor air supply duct.",1.0
48121,"Free-standing steel pallet storage racks are permitted to be designed to resist earthquake effects using rational analysis, provided the design achieves the minimum performance level required by this Subsection. (See Appendix A.)","Free-standing steel pallet storage racks are permitted to be designed to resist earthquake effects using rational analysis, provided the design achieves the minimum performance level required by this Subsection. (See Appendix A.)",1.0
47279,"For the purposes of this Subsection, a dwelling unit shall be categorized as,(a) Type I when, (i) all fuel-fired combustion appliances serving the dwelling unit are direct vented or, except for fireplaces, are mechanically vented induced draft, and (ii) the dwelling unit is not served by a solid fuel-fired combustion appliance, (b) Type II when a solid fuel-fired combustion appliance serves a Type I dwelling unit, (c) Type III when a mechanically vented induced draft non-solid fuel-fired fireplace or a natural draft appliance is present, or (d) Type IV when electric space heating is present.","For the purposes of this Subsection, a dwelling unit shall be categorized as,(a) Type I when, (i) all fuel-fired combustion appliances serving the dwelling unit are direct vented or, except for fireplaces, are mechanically vented induced draft, and (ii) the dwelling unit is not served by a solid fuel-fired combustion appliance, (b) Type II when a solid fuel-fired combustion appliance serves a Type I dwelling unit, (c) Type III when a mechanically vented induced draft non-solid fuel-fired fireplace or a natural draft appliance is present, or (d) Type IV when electric space heating is present.",1.0
52135,"Unless otherwise prescribed in this Part, tests shall be carried out at intervals of not more than three months.","Unless otherwise prescribed in this Part, tests shall be carried out at intervals of not more than three months.",1.0
48263,"Except for a house containing not more than one dwelling unit, every riser shall be provided with a shut-off valve at the source of supply.","Except for a house containing not more than one dwelling unit, every riser shall be provided with a shut-off valve at the source of supply.",1.0
50438,"Smoking shall not take place in indoor storage areas, except as provided in Subsection 2.4.3.","Smoking shall not take place in indoor storage areas, except as provided in Subsection 2.4.3.",1.0
46197,"A firewall that separates two buildings with roofs at different elevations need not extend above the upper roof surface to form a parapet, provided the difference in elevation between the roofs is more than 3 m.","A firewall that separates two buildings with roofs at different elevations need not extend above the upper roof surface to form a parapet, provided the difference in elevation between the roofs is more than 3 m.",1.0
48119,"An automatic sprinkler system shall be equipped with waterflow detecting devices and, if an annunciator is required by Article 3.2.4.9., shall be installed so that each device serves, not more than 1 storey, and an area on each storey that is not more than the system area limits as specified in NFPA 13, ""Installation of Sprinkler Systems"".","An automatic sprinkler system shall be equipped with waterflow detecting devices and, if an annunciator is required by Article 3.2.4.9., shall be installed so that each device serves, not more than 1 storey, and an area on each storey that is not more than the system area limits as specified in NFPA 13, ""Installation of Sprinkler Systems"".",1.0
50933,Ammonium nitrate storage shall be identified by signs of contrasting colours indicating the contents with letters 50 mm high.,Ammonium nitrate storage shall be identified by signs of contrasting colours indicating the contents with letters 50 mm high.,1.0
50934,"Sawdust, chips and other waste material shall not be accumulated in piling areas in storage yards.","Sawdust, chips and other waste material shall not be accumulated in piling areas in storage yards.",1.0
46235,"Where the critical level is not marked on an atmospheric vacuum breaker, pressure vacuum breaker or spill-resistant pressure vacuum breaker, the critical level shall be taken as the lowest point on the device.","Where the critical level is not marked on an atmospheric vacuum breaker, pressure vacuum breaker or spill-resistant pressure vacuum breaker, the critical level shall be taken as the lowest point on the device.",1.0
44833,"The carbon monoxide alarms required by Article 6.2.12.2. shall,(a) except as permitted in Sentence (2), be permanently connected to an electrical circuit and shall have no disconnect switch between the overcurrent device and the carbon monoxide alarm, (b) be wired so that its activation will activate all carbon monoxide alarms within the suite, where located within a suite of residential occupancy, (c) be equipped with an alarm that is audible within bedrooms when the intervening doors are closed, where located in a suite of residential occupancy, and (d) conform to, (i) CAN/CSA-6.19, ""Residential Carbon Monoxide Alarming Devices"", or (ii) UL 2034, ""Single and Multiple Station Carbon Monoxide Alarms"".","The carbon monoxide alarms required by Article 6.2.12.2. shall,(a) except as permitted in Sentence (2), be permanently connected to an electrical circuit and shall have no disconnect switch between the overcurrent device and the carbon monoxide alarm, (b) be wired so that its activation will activate all carbon monoxide alarms within the suite, where located within a suite of residential occupancy, (c) be equipped with an alarm that is audible within bedrooms when the intervening doors are closed, where located in a suite of residential occupancy, and (d) conform to, (i) CAN/CSA-6.19, ""Residential Carbon Monoxide Alarming Devices"", or (ii) UL 2034, ""Single and Multiple Station Carbon Monoxide Alarms"".",1.0
46159,"A building classified as Group A, Division 3 is permitted to conform to Sentences (2) and (3) provided, it is not more than 1 storey in building height, and it has a building area not more than, 2 400 m2 if facing one street, 3 000 m2 if facing two streets, or 3 600 m2 if facing three streets.","A building classified as Group A, Division 3 is permitted to conform to Sentences (2) and (3) provided, it is not more than 1 storey in building height, and it has a building area not more than, 2 400 m2 if facing one street, 3 000 m2 if facing two streets, or 3 600 m2 if facing three streets.",1.0
52074,High voltage circuits shall be designed so that any discharge will not ignite vapour-air mixtures or create a shock hazard.,High voltage circuits shall be designed so that any discharge will not ignite vapour-air mixtures or create a shock hazard.,1.0
48264,"Permanent signs shall be posted in conspicuous locations with, the words NO SMOKING in black lettering not less than 50 mm high with a stroke not less than 12 mm on a yellow background, or a non-smoking symbol having a size not less than 150 mm by 150 mm.","Permanent signs shall be posted in conspicuous locations with, the words NO SMOKING in black lettering not less than 50 mm high with a stroke not less than 12 mm on a yellow background, or a non-smoking symbol having a size not less than 150 mm by 150 mm.",1.0
52073,"Despite Sentence (1) and subject to Article 5.14.10.2., flammable liquids shall not be used for any purpose in drycleaning and dyeing plants.","Despite Sentence (1) and subject to Article 5.14.10.2., flammable liquids shall not be used for any purpose in drycleaning and dyeing plants.",1.0
48265,"Where a prefabricated system is installed as part of a water system,(a) all other plumbing work shall be tested and inspected, and (b) the complete system shall be pressure tested.","Where a prefabricated system is installed as part of a water system,(a) all other plumbing work shall be tested and inspected, and (b) the complete system shall be pressure tested.",1.0
48266,Ties required in Sentence (4) are permitted to consist of tie rods or ceiling joists forming a continuous tie for opposing rafters and nailed in accordance with Table 9.23.13.8.,Ties required in Sentence (4) are permitted to consist of tie rods or ceiling joists forming a continuous tie for opposing rafters and nailed in accordance with Table 9.23.13.8.,1.0
48267,"Where downspouts are provided and are not connected to a sewer, extensions shall be provided to carry rainwater away from the building in a manner that will prevent soil erosion.","Where downspouts are provided and are not connected to a sewer, extensions shall be provided to carry rainwater away from the building in a manner that will prevent soil erosion.",1.0
45580,Buildings containing dwelling units shall be constructed so that airborne noise is controlled in conformance with Section 5.8.,Buildings containing dwelling units shall be constructed so that airborne noise is controlled in conformance with Section 5.8.,1.0
44566,"Cast iron frames and covers for maintenance holes and catch basins shall conform to CAN/CSA-B70.1, ""Frames and Covers for Maintenance Holes and Catchbasins"".","Cast iron frames and covers for maintenance holes and catch basins shall conform to CAN/CSA-B70.1, ""Frames and Covers for Maintenance Holes and Catchbasins"".",1.0
46236,The area of a Type B dispersal bed shall not be less than the minimum area determined in accordance with Clause (2)(a) or (b).,The area of a Type B dispersal bed shall not be less than the minimum area determined in accordance with Clause (2)(a) or (b).,1.0
46200,"Where two egress doorways are required by Sentence (1), they shall be placed at a distance from one another equal to or greater than one-third of the maximum overall diagonal dimension of the room or suite to be served, measured as the shortest distance that smoke would have to travel between the nearest required egress doors.","Where two egress doorways are required by Sentence (1), they shall be placed at a distance from one another equal to or greater than one-third of the maximum overall diagonal dimension of the room or suite to be served, measured as the shortest distance that smoke would have to travel between the nearest required egress doors.",1.0
52529,"Upon completion of the assessment described in Sentence (2), written procedures for periodic inspections and tests shall be established.","Upon completion of the assessment described in Sentence (2), written procedures for periodic inspections and tests shall be established.",1.0
50432,Battery charging installations for battery-powered industrial trucks shall be equipped with at least one portable extinguisher having a minimum rating of 2A:30B:C.,Battery charging installations for battery-powered industrial trucks shall be equipped with at least one portable extinguisher having a minimum rating of 2A:30B:C.,1.0
50433,Combustible artwork and teaching materials that are attached to walls shall not exceed 20% of the area of the walls.,Combustible artwork and teaching materials that are attached to walls shall not exceed 20% of the area of the walls.,1.0
50435,Cargo shall not be transferred to or from the tank of a marine vessel unless sufficient personnel are on board to control the operation.,Cargo shall not be transferred to or from the tank of a marine vessel unless sufficient personnel are on board to control the operation.,1.0
46357,"Except as provided in Sentence (5), the sand layer shall,(a) be comprised of sand that has, (i) a percolation time of at least 6 and not more than 10 min, and (ii) not more than 5% fines passing through a 0.074 mm (No. sieve, (b) have a minimum thickness of 300 mm, and (c) have an area that is not less than the lesser of, (i) the area of the stone layer determined in accordance with Sentence (6) or, if leaching chambers are used, the area over which the leaching chambers are spaced determined in accordance with Sentence (6.1), and (ii) the value determined by the formula, where, A = the area of contact in square metres between the base of the sand and the underlying soil, Q = the total daily design sanitary sewage flow in litres, and T = the lesser of 50 and the percolation time of the underlying soil.","Except as provided in Sentence (5), the sand layer shall,(a) be comprised of sand that has, (i) a percolation time of at least 6 and not more than 10 min, and (ii) not more than 5% fines passing through a 0.074 mm (No. sieve, (b) have a minimum thickness of 300 mm, and (c) have an area that is not less than the lesser of, (i) the area of the stone layer determined in accordance with Sentence (6) or, if leaching chambers are used, the area over which the leaching chambers are spaced determined in accordance with Sentence (6.1), and (ii) the value determined by the formula, where, A = the area of contact in square metres between the base of the sand and the underlying soil, Q = the total daily design sanitary sewage flow in litres, and T = the lesser of 50 and the percolation time of the underlying soil.",1.0
44950,"A passenger elevating device referred to in Article 3.8.2.1. shall conform to CSA B355, ""Lifts for Persons with Physical Disabilities"".","A passenger elevating device referred to in Article 3.8.2.1. shall conform to CSA B355, ""Lifts for Persons with Physical Disabilities"".",1.0
51231,Oil or grease shall not be used for the lubrication of valves or fittings on oxygen cylinders.,Oil or grease shall not be used for the lubrication of valves or fittings on oxygen cylinders.,1.0
46237,"If a building described in Article 3.2.6.1. is connected to any other building, measures shall be taken to limit movement of contaminated air from one building into another during a fire.","If a building described in Article 3.2.6.1. is connected to any other building, measures shall be taken to limit movement of contaminated air from one building into another during a fire.",1.0
47208,"Where a single stage fire alarm system is installed in a building that is not sprinklered, and Sentence (1) does not apply, a legible notice, that is not easily removed, shall be affixed to the wall near each manual pull station stating, that the fire department is to be notified in the event of a fire emergency, and the emergency telephone number for the municipality or the telephone number of the fire department. (See Appendix A.)","Where a single stage fire alarm system is installed in a building that is not sprinklered, and Sentence (1) does not apply, a legible notice, that is not easily removed, shall be affixed to the wall near each manual pull station stating, that the fire department is to be notified in the event of a fire emergency, and the emergency telephone number for the municipality or the telephone number of the fire department. (See Appendix A.)",1.0
46238,"Supports for the roof deck assembly referred to in Sentence (1) shall consist of, fire-retardant treated wood, heavy timber construction, noncombustible construction, or a combination of the items described in Clauses (a) to (c).","Supports for the roof deck assembly referred to in Sentence (1) shall consist of, fire-retardant treated wood, heavy timber construction, noncombustible construction, or a combination of the items described in Clauses (a) to (c).",1.0
46196,Sentence (1) does not apply to a building that contains only dwelling units and has no dwelling unit above another dwelling unit.,Sentence (1) does not apply to a building that contains only dwelling units and has no dwelling unit above another dwelling unit.,1.0
45879,"The hydraulic load on a circuit vent shall include the hydraulic load from fixtures connected to the branch served by the circuit vent, but shall not include the hydraulic load from fixtures permitted by Sentences (3), (4) and (5).","The hydraulic load on a circuit vent shall include the hydraulic load from fixtures connected to the branch served by the circuit vent, but shall not include the hydraulic load from fixtures permitted by Sentences (3), (4) and (5).",1.0
52137,Primary and secondary power supplies that serve smoke alarms shall be maintained in operating condition.,Primary and secondary power supplies that serve smoke alarms shall be maintained in operating condition.,1.0
45899,Adjacent compartments within every oil interceptor shall be connected to each other by a vent opening.,Adjacent compartments within every oil interceptor shall be connected to each other by a vent opening.,1.0
48271,"Where materials, components or assemblies that separate dissimilar environments or are exposed to the exterior, or their connections, are required to be designed for structural loads, these loads shall be determined in accordance with Part 4.","Where materials, components or assemblies that separate dissimilar environments or are exposed to the exterior, or their connections, are required to be designed for structural loads, these loads shall be determined in accordance with Part 4.",1.0
46239,"Except as provided in Sentence (2), the topographic factor, Ct, shall be taken as 1.0.","Except as provided in Sentence (2), the topographic factor, Ct, shall be taken as 1.0.",1.0
47207,"Except as permitted by Sentence (3), a fire alarm system shall be designed so that when an alarm signal is actuated it cannot be silenced automatically before a period of time has elapsed that is not less than, 5 min for a building not required to be equipped with an annunciator, and 20 min for any other building.","Except as permitted by Sentence (3), a fire alarm system shall be designed so that when an alarm signal is actuated it cannot be silenced automatically before a period of time has elapsed that is not less than, 5 min for a building not required to be equipped with an annunciator, and 20 min for any other building.",1.0
48272,Floor joists described in Sentence (1) shall not project into the cavity.,Floor joists described in Sentence (1) shall not project into the cavity.,1.0
44567,"A window in a public area that extends to less than 1 070 mm above the floor and is located above the second storey in a building of residential occupancy, shall be protected by a barrier or railing from the floor to not less than 1 070 mm above the floor, or the window shall be non-openable and designed to withstand the lateral design loads for balcony guards required by Article 4.1.5.14.","A window in a public area that extends to less than 1 070 mm above the floor and is located above the second storey in a building of residential occupancy, shall be protected by a barrier or railing from the floor to not less than 1 070 mm above the floor, or the window shall be non-openable and designed to withstand the lateral design loads for balcony guards required by Article 4.1.5.14.",1.0
52138,Alternative methods to prevent freezing of sprinkler piping may be used where approved.,Alternative methods to prevent freezing of sprinkler piping may be used where approved.,1.0
47206,"For stairs or ramps serving a house or an individual dwelling unit, at least one required handrail shall be continuous throughout the length of the stair or ramp, except where interrupted by,(a) doorways, (b) landings, or (c) newel posts at changes in direction. (See A-3.4.6.5.(10) in Appendix A.)","For stairs or ramps serving a house or an individual dwelling unit, at least one required handrail shall be continuous throughout the length of the stair or ramp, except where interrupted by,(a) doorways, (b) landings, or (c) newel posts at changes in direction. (See A-3.4.6.5.(10) in Appendix A.)",1.0
44951,"When earthquake forces are calculated using Rs = 1.5, the following elements in the SFRS shall have their design forces due to earthquake effects increased by 33%: (a) diaphragms and their chords, connections, struts and collectors, (b) tie downs in wood or drywall shear walls, (c) connections and anchor bolts in steel- and wood-braced frames, (d) connections in precast concrete, and (e) connections in steel moment frames.","When earthquake forces are calculated using Rs = 1.5, the following elements in the SFRS shall have their design forces due to earthquake effects increased by 33%: (a) diaphragms and their chords, connections, struts and collectors, (b) tie downs in wood or drywall shear walls, (c) connections and anchor bolts in steel- and wood-braced frames, (d) connections in precast concrete, and (e) connections in steel moment frames.",1.0
50428,This Subsection applies to electrostatic detearing processes involving the use of flammable liquids or combustible liquids.,This Subsection applies to electrostatic detearing processes involving the use of flammable liquids or combustible liquids.,1.0
50429,The heating system used in drying operations shall be interlocked so that it cannot be started until the associated ventilation system is in operation.,The heating system used in drying operations shall be interlocked so that it cannot be started until the associated ventilation system is in operation.,1.0
50431,Ammonium nitrate shall not be stored in an area where the ambient temperature is such that it can become unstable or susceptible to undesirable reactions.,Ammonium nitrate shall not be stored in an area where the ambient temperature is such that it can become unstable or susceptible to undesirable reactions.,1.0
48274,"Every oil interceptor shall be provided with 2 vent pipes that,(a) connect to the interceptor at opposite ends, (b) extend independently to open air, (c) terminate not less than 2 000 mm above ground and at elevations differing by at least 300 mm, and (d) do not connect to each other or any other vent pipe.","Every oil interceptor shall be provided with 2 vent pipes that,(a) connect to the interceptor at opposite ends, (b) extend independently to open air, (c) terminate not less than 2 000 mm above ground and at elevations differing by at least 300 mm, and (d) do not connect to each other or any other vent pipe.",1.0
48275,"Where a cleanout is required on a building sewer 8 in. or larger in size, it shall be a manhole.","Where a cleanout is required on a building sewer 8 in. or larger in size, it shall be a manhole.",1.0
44834,A voice communication system conforming to Article 3.2.4.23. shall be provided in a retirement home.,A voice communication system conforming to Article 3.2.4.23. shall be provided in a retirement home.,1.0
47204,"Where access to a floor area is required by Sentence (1), access through unlocked doors to the floor area from at least one other exit shall also be provided.","Where access to a floor area is required by Sentence (1), access through unlocked doors to the floor area from at least one other exit shall also be provided.",1.0
45900,"Where a fixture discharges sand, grit or similar materials, an interceptor designed for the purpose of intercepting such discharges shall be installed.","Where a fixture discharges sand, grit or similar materials, an interceptor designed for the purpose of intercepting such discharges shall be installed.",1.0
47202,"Where an air barrier system consisting of flexible sheet material is installed at locations where it is not supported by an interior finish, such as a behind a bath tub, shower enclosure or fireplace, the continuity of the air barrier shall be maintained by sealing its joints.","Where an air barrier system consisting of flexible sheet material is installed at locations where it is not supported by an interior finish, such as a behind a bath tub, shower enclosure or fireplace, the continuity of the air barrier shall be maintained by sealing its joints.",1.0
47201,"Where applied beneath stucco, sheathing shall conform to Subsection 9.23.16.","Where applied beneath stucco, sheathing shall conform to Subsection 9.23.16.",1.0
47200,"Aluminum sheet cladding shall conform to CAN/CGSB-93.1-M, ""Sheet, Aluminum Alloy, Prefinished, Residential"" and shall have a thickness of not less than 0.58 mm, except that siding supported by backing or sheathing shall have a thickness of not less than 0.46 mm. (See Appendix A.)","Aluminum sheet cladding shall conform to CAN/CGSB-93.1-M, ""Sheet, Aluminum Alloy, Prefinished, Residential"" and shall have a thickness of not less than 0.58 mm, except that siding supported by backing or sheathing shall have a thickness of not less than 0.46 mm. (See Appendix A.)",1.0
45577,"The building referred to in Sentence (1) is permitted to be of heavy timber construction or noncombustible construction used singly or in combination, and, floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.","The building referred to in Sentence (1) is permitted to be of heavy timber construction or noncombustible construction used singly or in combination, and, floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.",1.0
44465,"Above ground climatic loads shall be determined according to MMAH Supplementary Standard SB-1, ""Climatic and Seismic Data"".","Above ground climatic loads shall be determined according to MMAH Supplementary Standard SB-1, ""Climatic and Seismic Data"".",1.0
48276,"A trap that serves a floor drain or hub drain need not be protected by a vent pipe separately where,(a) the size of the trap is not less than 3 in., (b) the length of the fixture drain is not less than 450 mm, (c) the fall on the fixture drain does not exceed its size, and (d) the trap is connected to a horizontal drainage pipe that terminates at its upstream end in a 3 in. stack.","A trap that serves a floor drain or hub drain need not be protected by a vent pipe separately where,(a) the size of the trap is not less than 3 in., (b) the length of the fixture drain is not less than 450 mm, (c) the fall on the fixture drain does not exceed its size, and (d) the trap is connected to a horizontal drainage pipe that terminates at its upstream end in a 3 in. stack.",1.0
48277,Infiltration due to corridor pressurization is permitted into a residential occupancy from a public corridor.,Infiltration due to corridor pressurization is permitted into a residential occupancy from a public corridor.,1.0
48278,"Where multiple shower heads installed in a public showering facility are served by one temperature control, each shower head shall be equipped with a device capable of automatically shutting off the flow of water when the shower head is not in use. (See Appendix Note A-7.6.4.1.(3))","Where multiple shower heads installed in a public showering facility are served by one temperature control, each shower head shall be equipped with a device capable of automatically shutting off the flow of water when the shower head is not in use. (See Appendix Note A-7.6.4.1.(3))",1.0
52070,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,1.0
45576,"Footings shall be provided under walls, pilasters, columns, piers, fireplaces and chimneys that bear on soil or rock, except that footings are permitted to be omitted under piers or monolithic concrete walls if the safe loadbearing capacity of the soil or rock is not exceeded.","Footings shall be provided under walls, pilasters, columns, piers, fireplaces and chimneys that bear on soil or rock, except that footings are permitted to be omitted under piers or monolithic concrete walls if the safe loadbearing capacity of the soil or rock is not exceeded.",1.0
48279,"Equipment shall be installed to continuously disinfect the water in a public spa by means of a chlorination, hypochlorination or bromination system that is capable of regulating the dosage of chlorine or bromine.","Equipment shall be installed to continuously disinfect the water in a public spa by means of a chlorination, hypochlorination or bromination system that is capable of regulating the dosage of chlorine or bromine.",1.0
48280,"Where the performance level is reduced under Sentence 11.4.2.3.(6), the storey subject to the change shall be sprinklered.","Where the performance level is reduced under Sentence 11.4.2.3.(6), the storey subject to the change shall be sprinklered.",1.0
