Full Index,National Full,National in ON,Similarity
9786,"Except as provided in Article 4.2.7.9., main aisles, access aisles and aisles defining individual storage areas shall be in conformance with Article 3.2.2.2.","Except as provided in Article 4.2.7.9., main aisles, access aisles and aisles defining individual storage areas shall be in conformance with Article 3.2.2.2.",1.0
9794,"Self-contained emergency lighting unit equipment shall be inspected at intervals not greater than one month to ensure that pilot lights are functioning and not obviously damaged or obstructed, the terminal connections are clean, free of corrosion and lubricated when necessary, the terminal clamps are clean and tight as per manufacturer's specifications, and the battery surface is kept clean and dry.","Self-contained emergency lighting unit equipment shall be inspected at intervals not greater than one month to ensure that pilot lights are functioning and not obviously damaged or obstructed, the terminal connections are clean, free of corrosion and lubricated when necessary, the terminal clamps are clean and tight as per manufacturer's specifications, and the battery surface is kept clean and dry.",1.0
11563,Delivery hose shall conform to ULC CAN/ULC-S612-16 Hose and Hose Assemblies for Flammable and Combustible Liquids,Delivery hose shall conform to ULC CAN/ULC-S612-16 Hose and Hose Assemblies for Flammable and Combustible Liquids,1.0
13672,"A floor drain that drains to a storm drainage system shall be protected by a trap that is located between the floor drain and a leader, storm building drain or storm building sewer, may serve all floor drains located in the same room, and need not be protected by a vent pipe.","A floor drain that drains to a storm drainage system shall be protected by a trap that is located between the floor drain and a leader, storm building drain or storm building sewer, may serve all floor drains located in the same room, and need not be protected by a vent pipe.",1.0
14221,"Where a prefabricated system is installed as part of a drainage system or venting system, all other plumbing work shall be tested and inspected and a final test shall be carried out on the complete system when requested.","Where a prefabricated system is installed as part of a drainage system or venting system, all other plumbing work shall be tested and inspected and a final test shall be carried out on the complete system when requested.",1.0
6205,Floors-on-ground constructed of wood shall conform to CSA S406-16 Permanent Wood Foundations for Housing and Small Buildings,Floors-on-ground constructed of wood shall conform to CSA S406-16 Permanent Wood Foundations for Housing and Small Buildings,1.0
5834,"Single conductor metal-sheathed cables with combustible jacketting that are more than 25 mm in overall diameter are permitted to penetrate a fire separation required to have a fire-resistance rating without being incorporated in the assembly at the time of testing as required in Sentence 9.10.9.6.(3), provided the cables are not grouped and are spaced a minimum of 300 mm apart.","Single conductor metal-sheathed cables with combustible jacketting that are more than 25 mm in overall diameter are permitted to penetrate a fire separation required to have a fire-resistance rating without being incorporated in the assembly at the time of testing as required in Sentence 9.10.9.6.(3), provided the cables are not grouped and are spaced a minimum of 300 mm apart.",1.0
11562,"Where an emergency power system is installed, instructions shall be provided for switching on essential loads and for starting the generator when this is not done automatically.","Where an emergency power system is installed, instructions shall be provided for switching on essential loads and for starting the generator when this is not done automatically.",1.0
11555,Any building located in an outdoor storage area shall be provided with portable extinguishers.,Any building located in an outdoor storage area shall be provided with portable extinguishers.,1.0
11564,"Except as provided in Sentence 6.5.1.8.(2), exit signs shall be inspected at intervals not greater than 12 months to ensure that the exit signs will be visible upon failure of the primary power supply.","Except as provided in Sentence 6.5.1.8.(2), exit signs shall be inspected at intervals not greater than 12 months to ensure that the exit signs will be visible upon failure of the primary power supply.",1.0
11573,Means of automatically shutting off the gas supply and bleeding the gas pressure in the event of fire shall be provided on all inert gas transfer systems referred to in Sentence 4.5.9.6.(1).,Means of automatically shutting off the gas supply and bleeding the gas pressure in the event of fire shall be provided on all inert gas transfer systems referred to in Sentence 4.5.9.6.(1).,1.0
11574,Care shall be taken that no liquid is discharged on a pier or wharf or overboard during draining and emptying operations.,Care shall be taken that no liquid is discharged on a pier or wharf or overboard during draining and emptying operations.,1.0
11575,Connections to storage tanks through which liquid can flow shall be provided with valves located as close as practicable to the tank.,Connections to storage tanks through which liquid can flow shall be provided with valves located as close as practicable to the tank.,1.0
178,"Foundation walls shall be considered to be laterally supported at the top if such walls support a solid masonry superstructure, the floor joists are embedded in the top of the foundation walls, or the floor system is anchored to the top of the foundation walls with anchor bolts, in which case the joists may run either parallel or perpendicular to the foundation walls.","Foundation walls shall be considered to be laterally supported at the top if such walls support a solid masonry superstructure, the floor joists are embedded in the top of the foundation walls, or the floor system is anchored to the top of the foundation walls with anchor bolts, in which case the joists may run either parallel or perpendicular to the foundation walls.",1.0
2146,The vibration reduction index for the junctions between separating assemblies shall be determined using the equations presented in Annex E of ISO 15712-1:2005 Building Acoustics - Estimation of Acoustic Performance of Buildings From the Performance of Elements - Part 1: Airborne Sound Insulation Between Rooms or measured in accordance with Parts 1 to 4 of ISO 10848:2006 Acoustics - Laboratory Measurement of the Flanking Transmission of Airborne and Impact Sound Between Adjoining Rooms,The vibration reduction index for the junctions between separating assemblies shall be determined using the equations presented in Annex E of ISO 15712-1:2005 Building Acoustics - Estimation of Acoustic Performance of Buildings From the Performance of Elements - Part 1: Airborne Sound Insulation Between Rooms or measured in accordance with Parts 1 to 4 of ISO 10848:2006 Acoustics - Laboratory Measurement of the Flanking Transmission of Airborne and Impact Sound Between Adjoining Rooms,1.0
9796,"Dangerous goods shall be stored in packages or containers made of materials that are compatible with the product they contain, and of durable construction and designed to resist damage from normal material handling activities.","Dangerous goods shall be stored in packages or containers made of materials that are compatible with the product they contain, and of durable construction and designed to resist damage from normal material handling activities.",1.0
9276,"Subject to the limitations stated in Article 4.3.1.2., this Section applies to interior lighting and lighting controls.","Subject to the limitations stated in Article 4.3.1.2., this Section applies to interior lighting and lighting controls.",1.0
2553,Cantilevered concrete steps referred to in Article 9.8.10.1. shall be anchored to concrete foundation walls not less than 200 mm thick.,Cantilevered concrete steps referred to in Article 9.8.10.1. shall be anchored to concrete foundation walls not less than 200 mm thick.,1.0
9800,"Where vestibules or stairshafts are pressurized as a means of smoke control, all doors in the path of exit travel shall be tested to ensure that they can be operated as required in Article 2.7.2.1. when the entire smoke control system is being tested.","Where vestibules or stairshafts are pressurized as a means of smoke control, all doors in the path of exit travel shall be tested to ensure that they can be operated as required in Article 2.7.2.1. when the entire smoke control system is being tested.",1.0
9801,"Except as provided in Subsection 4.2.12. regarding self-service storage buildings, this Subsection applies to the storage of flammable liquids and combustible liquids in closed containers in industrial occupancies.","Except as provided in Subsection 4.2.12. regarding self-service storage buildings, this Subsection applies to the storage of flammable liquids and combustible liquids in closed containers in industrial occupancies.",1.0
13922,Pipes that supply water to a hot water tank shall be provided with a shut-off valve located close to the tank.,Pipes that supply water to a hot water tank shall be provided with a shut-off valve located close to the tank.,1.0
9810,"In cases where a compartmentalized tank is used, the entire tank shall be treated as one tank with the aggregate of all compartments totaling the total capacity of that tank.","In cases where a compartmentalized tank is used, the entire tank shall be treated as one tank with the aggregate of all compartments totaling the total capacity of that tank.",1.0
5675,Dampproofing material referred to in Sentence 9.23.2.3.(1) is not required where the wood member is at least 150 mm above the ground.,Dampproofing material referred to in Sentence 9.23.2.3.(1) is not required where the wood member is at least 150 mm above the ground.,1.0
5674,The space required in Sentence 9.21.3.8.(1) shall not be filled with mortar.,The space required in Sentence 9.21.3.8.(1) shall not be filled with mortar.,1.0
3364,Clear heights under beams and ducting in secondary suites shall be not less than 1.85 m.,Clear heights under beams and ducting in secondary suites shall be not less than 1.85 m.,1.0
8154,"Except for stairways, doorways and storage garages, the minimum clear height in exits and access to exits shall be 2.1 m. (See Article 9.8.2.2. for stairs, Article 9.8.5.3. for ramps, Article 9.8.6.4. for landings and Article 9.9.6.2. for doorways.)","Except for stairways, doorways and storage garages, the minimum clear height in exits and access to exits shall be 2.1 m. (See Article 9.8.2.2. for stairs, Article 9.8.5.3. for ramps, Article 9.8.6.4. for landings and Article 9.9.6.2. for doorways.)",1.0
13766,"The design and installation of every piping system shall include means to accommodate its expansion and contraction caused by temperature changes, movement of the soil, building shrinkage or structural settlement. (See Note A-2.3.3.9.(1).)","The design and installation of every piping system shall include means to accommodate its expansion and contraction caused by temperature changes, movement of the soil, building shrinkage or structural settlement. (See Note A-2.3.3.9.(1).)",1.0
8598,"The unobstructed path of travel for the firefighter required by Sentence 3.2.5.5.(2) from the vehicle to the building shall be measured from the vehicle to the fire department connection provided for the building, except that if no fire department connection is provided, the path of travel shall be measured to the principal entrance of the building.","The unobstructed path of travel for the firefighter required by Sentence 3.2.5.5.(2) from the vehicle to the building shall be measured from the vehicle to the fire department connection provided for the building, except that if no fire department connection is provided, the path of travel shall be measured to the principal entrance of the building.",1.0
4982,"Windows, doors and skylights and their components described in Sentence 9.7.1.1.(1) shall be designed, constructed and installed to minimize surface condensation on the warm side of the component (see Note A-9.7.3.2.(1)(a)), and ensure comfortable conditions for occupants.","Windows, doors and skylights and their components described in Sentence 9.7.1.1.(1) shall be designed, constructed and installed to minimize surface condensation on the warm side of the component (see Note A-9.7.3.2.(1)(a)), and ensure comfortable conditions for occupants.",1.0
11538,All ashes shall be stored in receptacles conforming to Sentence 2.4.1.3.(4) and combustible materials shall not be stored with ashes in the same container.,All ashes shall be stored in receptacles conforming to Sentence 2.4.1.3.(4) and combustible materials shall not be stored with ashes in the same container.,1.0
11539,"Except for Class I commodities, dangerous goods shall not be stored in the same individual storage area with other products listed in Sentence 3.2.1.1.(1).","Except for Class I commodities, dangerous goods shall not be stored in the same individual storage area with other products listed in Sentence 3.2.1.1.(1).",1.0
11540,"Where combustible or reactive deposits can accumulate in the power-ventilated enclosure and its exhaust duct system and create a fire or explosion hazard, provisions shall be made to remove such deposits so they do not create a fire or explosion hazard, or an automatic fire suppression system shall be provided.","Where combustible or reactive deposits can accumulate in the power-ventilated enclosure and its exhaust duct system and create a fire or explosion hazard, provisions shall be made to remove such deposits so they do not create a fire or explosion hazard, or an automatic fire suppression system shall be provided.",1.0
11545,"Except as provided in Sentence 3.1.3.2.(3), fuel-fired industrial trucks shall be refuelled only at designated locations outside buildings.","Except as provided in Sentence 3.1.3.2.(3), fuel-fired industrial trucks shall be refuelled only at designated locations outside buildings.",1.0
11551,Lint traps in laundry equipment shall be cleaned after each use of the equipment.,Lint traps in laundry equipment shall be cleaned after each use of the equipment.,1.0
11554,"The fire safety plan required in Sentence 3.3.2.9.(1) shall identify the location and classification of the products currently stored, as described in Sentence 3.3.1.1.(1), the method of storage, including the clear spaces required and the maximum permitted size of individual storage areas, the location of fire alarm systems and firefighting equipment, and the control of fire hazards in and around the outdoor storage area.","The fire safety plan required in Sentence 3.3.2.9.(1) shall identify the location and classification of the products currently stored, as described in Sentence 3.3.1.1.(1), the method of storage, including the clear spaces required and the maximum permitted size of individual storage areas, the location of fire alarm systems and firefighting equipment, and the control of fire hazards in and around the outdoor storage area.",1.0
6145,"Flashing shall be installed in masonry and masonry veneer walls beneath jointed masonry window sills, over the back and top of parapet walls, over the heads of glass block panels, beneath weep holes, and over the heads of window or door openings in exterior walls when the vertical distance between the top of a window or door frame and the bottom edge of the eave exceeds one-quarter of the horizontal eave overhang.","Flashing shall be installed in masonry and masonry veneer walls beneath jointed masonry window sills, over the back and top of parapet walls, over the heads of glass block panels, beneath weep holes, and over the heads of window or door openings in exterior walls when the vertical distance between the top of a window or door frame and the bottom edge of the eave exceeds one-quarter of the horizontal eave overhang.",1.0
6211,Local locking devices permitted by Sentence 3.3.1.13.(6) shall be operable by a key from both sides of the door.,Local locking devices permitted by Sentence 3.3.1.13.(6) shall be operable by a key from both sides of the door.,1.0
6708,"Treads and landings of interior and exterior stairs and ramps, other than those within dwelling units or within houses with a secondary suite including their common spaces, shall have a slip-resistant finish or be provided with slip-resistant strips that extend not more than 1 mm above the surface.","Treads and landings of interior and exterior stairs and ramps, other than those within dwelling units or within houses with a secondary suite including their common spaces, shall have a slip-resistant finish or be provided with slip-resistant strips that extend not more than 1 mm above the surface.",1.0
179,Any covering of an access opening through which a person could enter shall be openable from the inside without the use of keys where there is a possibility of the opening being accidentally closed while the system or equipment is being serviced.,Any covering of an access opening through which a person could enter shall be openable from the inside without the use of keys where there is a possibility of the opening being accidentally closed while the system or equipment is being serviced.,1.0
11534,"Unless the use of fuel-fired appliances and electrical heating elements is controlled in a manner such that they will not create a fire or explosion hazard, they shall not be permitted in a storage area for combustible fibres.","Unless the use of fuel-fired appliances and electrical heating elements is controlled in a manner such that they will not create a fire or explosion hazard, they shall not be permitted in a storage area for combustible fibres.",1.0
5159,Emergency lighting required in Sentence 9.9.12.3.(1) shall be provided from a source of energy separate from the electrical supply for the building.,Emergency lighting required in Sentence 9.9.12.3.(1) shall be provided from a source of energy separate from the electrical supply for the building.,1.0
2142,"The length of a landing shall be measured perpendicular to the nosings of adjacent steps or to the end of the ramp, at a distance equal to half the length required in Sentence 9.8.6.3.(2) from the narrow edge of the landing.","The length of a landing shall be measured perpendicular to the nosings of adjacent steps or to the end of the ramp, at a distance equal to half the length required in Sentence 9.8.6.3.(2) from the narrow edge of the landing.",1.0
5673,"Hardboard cladding that is not factory finished shall conform to Types 1, 2 or 5 in CGSB CAN/CGSB-11.3-M87 Hardboard","Hardboard cladding that is not factory finished shall conform to Types 1, 2 or 5 in CGSB CAN/CGSB-11.3-M87 Hardboard",1.0
13828,Nominally horizontal piping shall be supported as stated in Table 2.3.4.5.,Nominally horizontal piping shall be supported as stated in Table 2.3.4.5.,1.0
505,"Panel-type underlay shall be provided under resilient flooring, parquet flooring, felted-synthetic-fibre floor coverings or carpeting on panel-type subflooring whose edges are unsupported. (See Article 9.23.15.3.)","Panel-type underlay shall be provided under resilient flooring, parquet flooring, felted-synthetic-fibre floor coverings or carpeting on panel-type subflooring whose edges are unsupported. (See Article 9.23.15.3.)",1.0
5763,Wall and floor surfaces below the uppermost surfaces of a urinal shall be protected from deterioration by impervious and durable material for a distance from the urinal to a point not less than 900 mm from the projected outline of the urinal on to the wall or floor.,Wall and floor surfaces below the uppermost surfaces of a urinal shall be protected from deterioration by impervious and durable material for a distance from the urinal to a point not less than 900 mm from the projected outline of the urinal on to the wall or floor.,1.0
13550,The minimum size of a vent stack or stack vent shall be one-half the size of the soil-or-waste stack at its base.,The minimum size of a vent stack or stack vent shall be one-half the size of the soil-or-waste stack at its base.,1.0
7445,An exit opening into an interconnected floor space shall conform to Sentence 3.4.3.2.(6).,An exit opening into an interconnected floor space shall conform to Sentence 3.4.3.2.(6).,1.0
3923,Not less than a 3 mm clearance shall be provided between OSB and waferboard cladding and door or window frames.,Not less than a 3 mm clearance shall be provided between OSB and waferboard cladding and door or window frames.,1.0
13923,Vitrified clay pipe and fittings shall not be used except for an underground part of a drainage system.,Vitrified clay pipe and fittings shall not be used except for an underground part of a drainage system.,1.0
9811,It is permitted to dispense a Class II or IIIA liquid into the fuel tank of a motor vehicle while its engine is running provided it is dispensed not less than 6 m away from any Class I liquid dispenser. (See Note A-4.6.8.6.(2).),It is permitted to dispense a Class II or IIIA liquid into the fuel tank of a motor vehicle while its engine is running provided it is dispensed not less than 6 m away from any Class I liquid dispenser. (See Note A-4.6.8.6.(2).),1.0
11532,"All packaged flammable liquid and combustible liquid products stored or sold at a fuel-dispensing station shall be in closed containers conforming to Article 4.2.3.1., distinctly marked with the generic name of the liquid they contain.","All packaged flammable liquid and combustible liquid products stored or sold at a fuel-dispensing station shall be in closed containers conforming to Article 4.2.3.1., distinctly marked with the generic name of the liquid they contain.",1.0
1011,"A roof covering is not required to have a Class A, B or C classification for a tent, an air-supported structure, a building of Group A, Division 2 occupancy not more than 2 storeys in building height and not more than 1 000 m2 in building area provided the roof covering is underlaid with noncombustible material, or a steel building system referred to in Article 4.3.4.3., provided the roof covering consists of brick, masonry, concrete, metal sheets or metal shingles.","A roof covering is not required to have a Class A, B or C classification for a tent, an air-supported structure, a building of Group A, Division 2 occupancy not more than 2 storeys in building height and not more than 1 000 m2 in building area provided the roof covering is underlaid with noncombustible material, or a steel building system referred to in Article 4.3.4.3., provided the roof covering consists of brick, masonry, concrete, metal sheets or metal shingles.",1.0
1465,"Except as permitted in Sentence 9.7.5.2.(2), wood doors as described in Sentence 9.7.5.2.(1) shall be solid core or stile-and-rail type, be not less than 45 mm thick, and if of the stile-and-rail type, have a panel thickness of not less than 19 mm, with a total panel area not more than half of the door area.","Except as permitted in Sentence 9.7.5.2.(2), wood doors as described in Sentence 9.7.5.2.(1) shall be solid core or stile-and-rail type, be not less than 45 mm thick, and if of the stile-and-rail type, have a panel thickness of not less than 19 mm, with a total panel area not more than half of the door area.",1.0
11533,Commercial cooking equipment exhaust and fire protection systems shall be designed and installed in conformance with the NBC.,Commercial cooking equipment exhaust and fire protection systems shall be designed and installed in conformance with the NBC.,1.0
3055,A supplemental exhaust fan is not required in a kitchen where the only exhaust air intake for the principal ventilation fan is located in that kitchen.,A supplemental exhaust fan is not required in a kitchen where the only exhaust air intake for the principal ventilation fan is located in that kitchen.,1.0
4894,Firebrick liners shall conform to ASTM C 27-98 Fireclay and High-Alumina Refractory Brick,Firebrick liners shall conform to ASTM C 27-98 Fireclay and High-Alumina Refractory Brick,1.0
9274,"If the total vertical fenestration and door area to gross wall area ratio (FDWR) of the proposed building differs from the maximum permitted by Article 3.2.1.4., the FDWR of the reference building shall be adjusted proportionally along each orientation until it complies with that Article.","If the total vertical fenestration and door area to gross wall area ratio (FDWR) of the proposed building differs from the maximum permitted by Article 3.2.1.4., the FDWR of the reference building shall be adjusted proportionally along each orientation until it complies with that Article.",1.0
13551,"Indirect service water heaters shall be equipped with a pressure-relief valve, and a temperature-relief valve on every storage tank that forms part of the system.","Indirect service water heaters shall be equipped with a pressure-relief valve, and a temperature-relief valve on every storage tank that forms part of the system.",1.0
7440,"Except as required by Sentence 9.29.5.8.(4), for single-layer application on walls, nails shall be spaced not more than 200 mm o.c. on vertical wall supports, or every 300 mm o.c. along vertical wall supports, in pairs about 50 mm apart.","Except as required by Sentence 9.29.5.8.(4), for single-layer application on walls, nails shall be spaced not more than 200 mm o.c. on vertical wall supports, or every 300 mm o.c. along vertical wall supports, in pairs about 50 mm apart.",1.0
3925,"Where the 1-in-50 hourly wind pressure is equal to or greater than 0.8 kPa, roof rafters, joists or trusses shall be tied to the wall framing with connectors that will resist a factored uplift load of 3 kN.","Where the 1-in-50 hourly wind pressure is equal to or greater than 0.8 kPa, roof rafters, joists or trusses shall be tied to the wall framing with connectors that will resist a factored uplift load of 3 kN.",1.0
7439,Loadbearing interior walls parallel to floor joists shall be supported by beams or walls of sufficient strength to safely transfer the specified live loads to the vertical supports.,Loadbearing interior walls parallel to floor joists shall be supported by beams or walls of sufficient strength to safely transfer the specified live loads to the vertical supports.,1.0
7438,"Means of venting each floor area to the outdoors shall be provided by windows, wall panels, smoke shafts, or the building exhaust system. (See Note A-3.2.6.6.(1).) (See Note A-3.2.6.6.(1).)","Means of venting each floor area to the outdoors shall be provided by windows, wall panels, smoke shafts, or the building exhaust system. (See Note A-3.2.6.6.(1).)",1.0
9812,"The liquid used for the test shall exceed the elevation of the piping and other points of entry into the sump by at least 50 mm, and not be a flammable liquid or a combustible liquid.","The liquid used for the test shall exceed the elevation of the piping and other points of entry into the sump by at least 50 mm, and not be a flammable liquid or a combustible liquid.",1.0
13925,A bell trap shall not be installed in a drainage system. (See Note A-2.2.3.1.(4).),A bell trap shall not be installed in a drainage system. (See Note A-2.2.3.1.(4).),1.0
575,"Aisles shall terminate in a cross aisle, foyer or exit, and the width of the cross aisle, foyer or exit shall be not less than the required width of the widest aisle plus 50% of the total required width of the remaining aisles that it serves.","Aisles shall terminate in a cross aisle, foyer or exit, and the width of the cross aisle, foyer or exit shall be not less than the required width of the widest aisle plus 50% of the total required width of the remaining aisles that it serves.",1.0
7436,An area used for assembly occupancies designed for a live load of less than 4.8 kPa and roofs designed for the minimum loading specified in Table 4.1.5.3. shall have no reduction for tributary area.,An area used for assembly occupancies designed for a live load of less than 4.8 kPa and roofs designed for the minimum loading specified in Table 4.1.5.3. shall have no reduction for tributary area.,1.0
252,"Where tying is used to satisfy the requirements of Sentence 9.20.11.2.(1), the ties shall be corrosion-resistant metal, equivalent to not less than 4.76 mm by 40 mm steel strapping, spaced not more than 800 mm o.c. vertically, and shaped at both ends to provide sufficient mechanical key to develop the strength of the ties.","Where tying is used to satisfy the requirements of Sentence 9.20.11.2.(1), the ties shall be corrosion-resistant metal, equivalent to not less than 4.76 mm by 40 mm steel strapping, spaced not more than 800 mm o.c. vertically, and shaped at both ends to provide sufficient mechanical key to develop the strength of the ties.",1.0
3054,A mechanical exhaust system shall be provided to remove air from an interconnected floor space at a rate of 4 air changes per hour. (See Note A-3.2.8.7.(1).) (See Note A-3.2.8.7.(1).),A mechanical exhaust system shall be provided to remove air from an interconnected floor space at a rate of 4 air changes per hour. (See Note A-3.2.8.7.(1).),1.0
8603,"In a building that contains dwelling units that have more than one storey, subject to the requirements of Sentence 3.3.4.2.(3), the floor assemblies, including floors over basements, which are entirely contained within these dwelling units, shall have a fire-resistance rating not less than 45 min but need not be constructed as fire separations.","In a building that contains dwelling units that have more than one storey, subject to the requirements of Sentence 3.3.4.2.(3), the floor assemblies, including floors over basements, which are entirely contained within these dwelling units, shall have a fire-resistance rating not less than 45 min but need not be constructed as fire separations.",1.0
3052,"One handrail shall be provided on each side of stairs that are 1 100 mm or more in width, curved flights of any width, and ramps.","One handrail shall be provided on each side of stairs that are 1 100 mm or more in width, curved flights of any width, and ramps.",1.0
11517,"Except as provided in Article 4.1.7.6., the exhaust air outlet from a mechanical ventilation system required in Article 4.1.7.2. shall be located outdoors, not less than 3 m from any building opening, and arranged so that the exhaust air does not discharge toward any unprotected opening within 7.5 m of the discharge point.","Except as provided in Article 4.1.7.6., the exhaust air outlet from a mechanical ventilation system required in Article 4.1.7.2. shall be located outdoors, not less than 3 m from any building opening, and arranged so that the exhaust air does not discharge toward any unprotected opening within 7.5 m of the discharge point.",1.0
13178,Means of egress shall be provided in buildings in conformance with the NBC.,Means of egress shall be provided in buildings in conformance with the NBC.,1.0
1468,"Roof-top enclosures provided for elevator machinery, stairways or service rooms, used for no purpose other than for service to the building, shall not be considered as a storey in calculating the building height.","Roof-top enclosures provided for elevator machinery, stairways or service rooms, used for no purpose other than for service to the building, shall not be considered as a storey in calculating the building height.",1.0
13177,"Electrically conducting parts of conveying systems, dust collectors, dust-producing machines and any equipment capable of accumulating static electricity located in an atmosphere containing combustible dusts shall be electrically bonded and grounded.","Electrically conducting parts of conveying systems, dust collectors, dust-producing machines and any equipment capable of accumulating static electricity located in an atmosphere containing combustible dusts shall be electrically bonded and grounded.",1.0
11515,"Except as provided in Sentence 4.2.6.3.(2), the storage of flammable liquids and combustible liquids outside of a cabinet or storage room required in Article 4.2.6.2. is permitted, provided such storage does not exceed 10 L, including not more than 5 L of Class I liquids, in a single room, or 250 L, including not more than 60 L of Class II liquids, or 10 L of Class I liquids, in a single fire compartment with a fire-resistance rating of at least 45 min.","Except as provided in Sentence 4.2.6.3.(2), the storage of flammable liquids and combustible liquids outside of a cabinet or storage room required in Article 4.2.6.2. is permitted, provided such storage does not exceed 10 L, including not more than 5 L of Class I liquids, in a single room, or 250 L, including not more than 60 L of Class II liquids, or 10 L of Class I liquids, in a single fire compartment with a fire-resistance rating of at least 45 min.",1.0
1469,"Where a crawl space is unheated, a ground cover shall be provided consisting of not less than 50 mm of asphalt, 100 mm of 15 MPa Portland cement concrete, Type S roll roofing, or 0.10 mm polyethylene.","Where a crawl space is unheated, a ground cover shall be provided consisting of not less than 50 mm of asphalt, 100 mm of 15 MPa Portland cement concrete, Type S roll roofing, or 0.10 mm polyethylene.",1.0
11516,Flammable liquids or combustible liquids stored in cabinets or storage rooms shall be separated from other dangerous goods in conformance with Article 4.2.2.3.,Flammable liquids or combustible liquids stored in cabinets or storage rooms shall be separated from other dangerous goods in conformance with Article 4.2.2.3.,1.0
8605,"The top 200 mm of pilasters required in Sentence 9.15.5.3.(1) shall be solid masonry with the cells of hollow or semi-solid units filled with mortar, grout or concrete.","The top 200 mm of pilasters required in Sentence 9.15.5.3.(1) shall be solid masonry with the cells of hollow or semi-solid units filled with mortar, grout or concrete.",1.0
8150,"Fasteners on vertical surfaces shall be spaced not more than 150 mm o.c. vertically and 400 mm o.c. horizontally, or 100 mm o.c. vertically and 600 mm o.c. horizontally.","Fasteners on vertical surfaces shall be spaced not more than 150 mm o.c. vertically and 400 mm o.c. horizontally, or 100 mm o.c. vertically and 600 mm o.c. horizontally.",1.0
6214,"Where collective venting of multiple installations of laundry-drying equipment is used, the ventilation system shall be connected to a common exhaust duct that is vented by one central exhaust fan and incorporates one central lint trap, include an interlock to activate the central exhaust fan when laundry-drying equipment is in use, and where required by Article 9.32.3.8., be provided with make-up air.","Where collective venting of multiple installations of laundry-drying equipment is used, the ventilation system shall be connected to a common exhaust duct that is vented by one central exhaust fan and incorporates one central lint trap, include an interlock to activate the central exhaust fan when laundry-drying equipment is in use, and where required by Article 9.32.3.8., be provided with make-up air.",1.0
3368,The static loading due to earthquake motion shall be determined according to the procedures given in this Article.,The static loading due to earthquake motion shall be determined according to the procedures given in this Article.,1.0
3928,"Except as required in Sentence 9.15.4.2.(2), the thickness of foundation walls made of unreinforced concrete block or solid concrete and subject to lateral earth pressure shall conform to Table 9.15.4.2.-A for walls not exceeding 3.0 m in unsupported height.","Except as required in Sentence 9.15.4.2.(2), the thickness of foundation walls made of unreinforced concrete block or solid concrete and subject to lateral earth pressure shall conform to Table 9.15.4.2.-A for walls not exceeding 3.0 m in unsupported height.",1.0
3929,The clear height over landings serving a single dwelling unit or a house with a secondary suite including their common spaces shall be not less than 1 950 mm.,The clear height over landings serving a single dwelling unit or a house with a secondary suite including their common spaces shall be not less than 1 950 mm.,1.0
2140,"The strip footing widths for exterior walls shown in Table 9.15.3.4. shall be increased by 65 mm for each storey of masonry veneer over wood-frame construction supported by the foundation wall, 130 mm for each storey of masonry construction supported by the foundation wall, and 150 mm for each storey of flat insulating concrete form wall construction supported by the foundation wall.","The strip footing widths for exterior walls shown in Table 9.15.3.4. shall be increased by 65 mm for each storey of masonry veneer over wood-frame construction supported by the foundation wall, 130 mm for each storey of masonry construction supported by the foundation wall, and 150 mm for each storey of flat insulating concrete form wall construction supported by the foundation wall.",1.0
13421,"Piping shall be firmly supported and protected by means of guarding devices where necessary to prevent vehicular, watercraft or floatplane impact damage, or other physical damage.","Piping shall be firmly supported and protected by means of guarding devices where necessary to prevent vehicular, watercraft or floatplane impact damage, or other physical damage.",1.0
9824,"If a spillage occurs, the escaped liquid and all soil contaminated by the spill shall be removed in conformance with Subsection 4.1.6.","If a spillage occurs, the escaped liquid and all soil contaminated by the spill shall be removed in conformance with Subsection 4.1.6.",1.0
7413,The building shall be located or the building site graded so that water will not accumulate at or near the building.,The building shall be located or the building site graded so that water will not accumulate at or near the building.,1.0
9828,"Where flammable liquids and combustible liquids are processed, handled, stored, dispensed or used within rooms or enclosed spaces, ventilation shall conform to the appropriate provincial or territorial regulations or municipal bylaws, or in the absence of such legislation, to this Part and the NBC. (See Note A-4.1.7.1.(1).)","Where flammable liquids and combustible liquids are processed, handled, stored, dispensed or used within rooms or enclosed spaces, ventilation shall conform to the appropriate provincial or territorial regulations or municipal bylaws, or in the absence of such legislation, to this Part and the NBC. (See Note A-4.1.7.1.(1).)",1.0
14193,Building drains shall be provided with an additional cleanout for each cumulative horizontal change in direction exceeding 135°.,Building drains shall be provided with an additional cleanout for each cumulative horizontal change in direction exceeding 135°.,1.0
7412,"Except as permitted by Article 3.3.3.5., a swing-type door in a fire separation shall be equipped with a positive latching mechanism designed to hold the door in the closed position after each use.","Except as permitted by Article 3.3.3.5., a swing-type door in a fire separation shall be equipped with a positive latching mechanism designed to hold the door in the closed position after each use.",1.0
6278,"Supports for the roof deck assembly referred to in Sentence 3.1.14.1.(1) shall consist of fire-retardant-treated wood, heavy timber construction, noncombustible construction, or a combination thereof.","Supports for the roof deck assembly referred to in Sentence 3.1.14.1.(1) shall consist of fire-retardant-treated wood, heavy timber construction, noncombustible construction, or a combination thereof.",1.0
