Full Index,National Full,National in AB,Similarity
13021,It is permitted to use movable tanks for dispensing flammable liquids or combustible liquids into the fuel tanks of vehicles or other motorized equipment provided such movable tanks are used in conformance with the requirements of this Part for storage tanks.,It is permitted to use movable tanks for dispensing flammable liquids or combustible liquids into the fuel tanks of vehicles or other motorized equipment provided such movable tanks are used in conformance with the requirements of this Part for storage tanks.,1.0
11397,"The power-ventilated enclosure required in Article 5.5.4.2. and its exhaust duct system shall conform to Article 6.3.4.4. of Division B of the NBC and be provided with instructions for its use and the operation of the ventilation system, and be provided with means to control accidental spillage.","The power-ventilated enclosure required in Article 5.5.4.2. and its exhaust duct system shall conform to Article 6.3.4.4. of Division B of the NBC and be provided with instructions for its use and the operation of the ventilation system, and be provided with means to control accidental spillage.",1.0
2461,"Buildings or parts thereof and facilities that are required to be barrier-free shall be designed in accordance with this Subsection, or the provisions of CSA B651-12 Accessible Design for the Built Environment listed in Table 3.8.3.1., in their entirety. (See Note A-3.8.3.1.(1).)","Buildings or parts thereof and facilities that are required to be barrier-free shall be designed in accordance with this Subsection, or the provisions of CSA B651-12 Accessible Design for the Built Environment listed in Table 3.8.3.1., in their entirety. (See Note A-3.8.3.1.(1).)",1.0
11995,A tire storage area designed to contain more than 375 m3 of rubber tires shall be separated from the remainder of the building by a fire separation conforming to Article 3.3.6.5. of Division B of the NBC. (See Note A-3.2.4.2.(1).),A tire storage area designed to contain more than 375 m3 of rubber tires shall be separated from the remainder of the building by a fire separation conforming to Article 3.3.6.5. of Division B of the NBC. (See Note A-3.2.4.2.(1).),1.0
10529,The location of dispensers of Class I liquids within a building shall conform to Subsection 3.3.5. of Division B of the NBC.,The location of dispensers of Class I liquids within a building shall conform to Subsection 3.3.5. of Division B of the NBC.,1.0
13289,"Heating, ventilating and air-conditioning appliances and equipment shall be installed in conformance with the NBC.","Heating, ventilating and air-conditioning appliances and equipment shall be installed in conformance with the NBC.",1.0
11509,"Exit lighting, exit signs and emergency lighting shall be provided in buildings in conformance with the NBC. (See Note A-2.7.3.1.(1).)","Exit lighting, exit signs and emergency lighting shall be provided in buildings in conformance with the NBC. (See Note A-2.7.3.1.(1).)",1.0
4171,"This Part applies to the design, construction, extension, alteration, renewal or repair of plumbing systems.","This Part applies to the design, construction, extension, alteration, renewal or repair of plumbing systems.",1.0
11734,Fuel supplies for heating equipment and internal combustion engines shall conform to CSA B139-09 Installation Code for Oil-Burning Equipment or CSA B149.1-10 Natural Gas and Propane Installation Code,Fuel supplies for heating equipment and internal combustion engines shall conform to CSA B139-09 Installation Code for Oil-Burning Equipment or CSA B149.1-10 Natural Gas and Propane Installation Code,1.0
10872,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)APIAmerican Petroleum Institute (www.api.org)ARPMAssociation for Rubber Products Manufacturers (www.arpminc.com)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) CCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFACanadian Fuels Association (canadianfuels.ca)CGACompressed Gas Association (www.cganet.com)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CNSCCanadian Nuclear Safety Commission (nuclearsafety.gc.ca/eng)CSACSA Group (www.csagroup.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FM GlobalFM Global (www.fmglobal.com)HCHealth Canada (www.hc-sc.gc.ca)IMOInternational Maritime Organization (www.imo.org)NACENACE International (www.nace.org)NBCNational Building Code of Canada 2015NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)OCIMFOil Companies International Marine Forum (www.ocimf.com)SFPESociety of Fire Protection Engineers (www.sfpe.org)STISteel Tank Institute (www.steeltank.com)TCTransport Canada (www.tc.gc.ca)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)UNUnited Nations (www.un.org)","The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)APIAmerican Petroleum Institute (www.api.org)ARPMAssociation for Rubber Products Manufacturers (www.arpminc.com)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) CCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFACanadian Fuels Association (canadianfuels.ca)CGACompressed Gas Association (www.cganet.com)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CNSCCanadian Nuclear Safety Commission (nuclearsafety.gc.ca/eng)CSACSA Group (www.csagroup.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FM GlobalFM Global (www.fmglobal.com)HCHealth Canada (www.hc-sc.gc.ca)IMOInternational Maritime Organization (www.imo.org)NACENACE International (www.nace.org)NBCNational Building Code of Canada 2015NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)OCIMFOil Companies International Marine Forum (www.ocimf.com)SFPESociety of Fire Protection Engineers (www.sfpe.org)STISteel Tank Institute (www.steeltank.com)TCTransport Canada (www.tc.gc.ca)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)UNUnited Nations (www.un.org)",1.0
10629,"Where rooms or spaces within a building contain a high-hazard industrial occupancy, such occupancy shall be separated from the remainder of the building by fire separations in conformance with this Code and the NBC.","Where rooms or spaces within a building contain a high-hazard industrial occupancy, such occupancy shall be separated from the remainder of the building by fire separations in conformance with this Code and the NBC.",1.0
11857,A voice communication system or systems integrated with the general fire alarm system shall be provided in buildings as specified in Subsection 3.2.6. of Division B of the NBC.,A voice communication system or systems integrated with the general fire alarm system shall be provided in buildings as specified in Subsection 3.2.6. of Division B of the NBC.,1.0
10448,"Where tests, repairs or alterations are made to fire protection installations, including sprinkler and standpipe systems, a procedure of notification shall be established. (See Note A-6.1.1.3.(1).)","Where tests, repairs or alterations are made to fire protection installations, including sprinkler and standpipe systems, a procedure of notification shall be established. (See Note A-6.1.1.3.(1).)",1.0
11508,"When nonfixed seats are provided in assembly occupancies, except as provided in Sentence 2.7.1.5.(3), the seats shall be arranged in rows having an unobstructed passage of not less than 400 mm between rows measured horizontally between plumb lines from the backs of the seats in one row and the edges of the furthest forward projection of the seats in the next row behind in the unoccupied position, except as provided in Sentence 2.7.1.5.(2), aisles shall be located so that there are not more than 7 seats between every seat and the nearest aisle, except as provided in Sentence 2.7.1.5.(2), the clear width of an aisle in millimetres shall be not less than the greater of 1 100 or the product of the number of seats served by that aisle and 6.1, the width of an aisle is permitted to be reduced to not less than 750 mm when serving 60 seats or fewer, dead-end aisles shall not be longer than 6 m, and except as provided in Sentence 2.7.1.5.(3), when the occupant load exceeds 200 persons, the seats in a row shall be fastened together in units of no fewer than 8 seats, or where there are 7 seats or fewer in a row, all the seats in the row shall be fastened together.","When nonfixed seats are provided in assembly occupancies, except as provided in Sentence 2.7.1.5.(3), the seats shall be arranged in rows having an unobstructed passage of not less than 400 mm between rows measured horizontally between plumb lines from the backs of the seats in one row and the edges of the furthest forward projection of the seats in the next row behind in the unoccupied position, except as provided in Sentence 2.7.1.5.(2), aisles shall be located so that there are not more than 7 seats between every seat and the nearest aisle, except as provided in Sentence 2.7.1.5.(2), the clear width of an aisle in millimetres shall be not less than the greater of 1 100 or the product of the number of seats served by that aisle and 6.1, the width of an aisle is permitted to be reduced to not less than 750 mm when serving 60 seats or fewer, dead-end aisles shall not be longer than 6 m, and except as provided in Sentence 2.7.1.5.(3), when the occupant load exceeds 200 persons, the seats in a row shall be fastened together in units of no fewer than 8 seats, or where there are 7 seats or fewer in a row, all the seats in the row shall be fastened together.",1.0
9870,"There shall be at least one staff member for each 10 children 2 years of age and older and, where children under the age of 2 years are cared for, there shall be at least one additional staff member for every 5 such children.","There shall be at least one staff member for each 10 children 2 years of age and older and, where children under the age of 2 years are cared for, there shall be at least one additional staff member for every 5 such children.",1.0
531,"Service water heaters shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the NPC.","Service water heaters shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the NPC.",1.0
4349,"Except as provided in Articles 6.9.4.2. and Article 6.3.1.5., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the requirements of CSA B51-14 Boiler, Pressure Vessel, and Pressure Piping Code CSA B52-13 Mechanical Refrigeration Code CSA B139-09 Installation Code for Oil-Burning Equipment CSA B149.1-10 Natural Gas and Propane Installation Code CSA B365-17 Installation Code for Solid-Fuel-Burning Appliances and Equipment or CSA C22.1-12 Canadian Electrical Code, Part I","Except as provided in Articles 6.9.4.2. and Article 6.3.1.5., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the requirements of CSA B51-14 Boiler, Pressure Vessel, and Pressure Piping Code CSA B52-13 Mechanical Refrigeration Code CSA B139-09 Installation Code for Oil-Burning Equipment CSA B149.1-10 Natural Gas and Propane Installation Code CSA B365-17 Installation Code for Solid-Fuel-Burning Appliances and Equipment or CSA C22.1-12 Canadian Electrical Code, Part I",1.0
9897,Buildings used for the storage of ammonium nitrate shall incorporate spatial separation and exposure protection in conformance with Subsection 3.2.3. of Division B of the NBC. (See Note A-3.2.9.2.(5).),Buildings used for the storage of ammonium nitrate shall incorporate spatial separation and exposure protection in conformance with Subsection 3.2.3. of Division B of the NBC. (See Note A-3.2.9.2.(5).),1.0
9891,"At fuel-dispensing stations that provide both attended service and self-service, the attendant required in Sentence 4.6.8.1.(1) is permitted to dispense flammable liquids or combustible liquids at the attended service island, provided that each island has an emergency shut-off switch as described in Article 4.6.4.2., and the attendant is never more than 25 m from the self-service island or control console.","At fuel-dispensing stations that provide both attended service and self-service, the attendant required in Sentence 4.6.8.1.(1) is permitted to dispense flammable liquids or combustible liquids at the attended service island, provided that each island has an emergency shut-off switch as described in Article 4.6.4.2., and the attendant is never more than 25 m from the self-service island or control console.",1.0
9890,"A laboratory shall be provided with continuous mechanical ventilation that is designed in conformance with Article 6.3.4.2. of Division B of the NBC, and maintained to ensure it fulfills the function for which it was designed.","A laboratory shall be provided with continuous mechanical ventilation that is designed in conformance with Article 6.3.4.2. of Division B of the NBC, and maintained to ensure it fulfills the function for which it was designed.",1.0
12710,"In areas where general cargo is handled or where piping might be subject to physical damage from vehicles, watercraft or floatplanes, the piping shall be protected by means of guarding devices.","In areas where general cargo is handled or where piping might be subject to physical damage from vehicles, watercraft or floatplanes, the piping shall be protected by means of guarding devices.",1.0
10119,"At card- or key-activated self-service outlets, the emergency shut-off switch required in Sentence 4.6.4.2.(1) shall be readily accessible to the customer.","At card- or key-activated self-service outlets, the emergency shut-off switch required in Sentence 4.6.4.2.(1) shall be readily accessible to the customer.",1.0
11035,"Where closures in fire separations are replaced, the replacements shall be in conformance with the NBC.","Where closures in fire separations are replaced, the replacements shall be in conformance with the NBC.",1.0
4324,This Subsection is concerned with the efficient use of energy by systems used to heat service water for household use as well as for indoor pools and hot tubs.,This Subsection is concerned with the efficient use of energy by systems used to heat service water for household use as well as for indoor pools and hot tubs.,1.0
11510,"Except as provided in Sentence 2.8.3.2.(2), fire drills as described in Sentence 2.8.3.1.(1) shall be held at intervals not greater than 12 months for the supervisory staff, except that in day-care centres and in Group B major occupancies, such drills shall be held at intervals not greater than one month, in schools attended by children, total evacuation fire drills shall be held at least 3 times in each of the fall and spring school terms, and in buildings within the scope of Subsection 3.2.6. of Division B of the NBC, such drills shall be held at intervals not greater than 2 months.","Except as provided in Sentence 2.8.3.2.(2), fire drills as described in Sentence 2.8.3.1.(1) shall be held at intervals not greater than 12 months for the supervisory staff, except that in day-care centres and in Group B major occupancies, such drills shall be held at intervals not greater than one month, in schools attended by children, total evacuation fire drills shall be held at least 3 times in each of the fall and spring school terms, and in buildings within the scope of Subsection 3.2.6. of Division B of the NBC, such drills shall be held at intervals not greater than 2 months.",1.0
5598,"Where Class IA or IB liquids specified in Subsection 4.1.2. of Division B of the NFC are dispensed within a storage room, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in NFPA 68-2013 Explosion Protection by Deflagration Venting (See Note A-3.3.6.4.(2).)","Where Class IA or IB liquids specified in Subsection 4.1.2. of Division B of the NFC are dispensed within a storage room, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in NFPA 68-2013 Explosion Protection by Deflagration Venting (See Note A-3.3.6.4.(2).)",1.0
5599,Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).) (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).),1.0
7288,"Crawl spaces shall be considered to be heated where the space is used as a hot air plenum, contains heating ducts that are not sealed and insulated to minimize heat loss to the space, or is not separated from heated space in accordance with Section 9.25.","Crawl spaces shall be considered to be heated where the space is used as a hot air plenum, contains heating ducts that are not sealed and insulated to minimize heat loss to the space, or is not separated from heated space in accordance with Section 9.25.",1.0
3549,All piping forming part of a continuously operating recirculating service water heating system shall be covered with piping insulation that is at least 12 mm thick.,All piping forming part of a continuously operating recirculating service water heating system shall be covered with piping insulation that is at least 12 mm thick.,1.0
12372,"Where life safety and fire protection systems are installed, they shall be tested in accordance with the NBC.","Where life safety and fire protection systems are installed, they shall be tested in accordance with the NBC.",1.0
13421,"Piping shall be firmly supported and protected by means of guarding devices where necessary to prevent vehicular, watercraft or floatplane impact damage, or other physical damage.","Piping shall be firmly supported and protected by means of guarding devices where necessary to prevent vehicular, watercraft or floatplane impact damage, or other physical damage.",1.0
9740,Attendants shall be trained on how to conduct their duties.,Attendants shall be trained on how to conduct their duties.,1.0
9759,"Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids","Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids",1.0
12008,"A laboratory shall be separated from other parts of the building by fire separations conforming to this Code and the NBC, but having a fire-resistance rating of not less than 1 h.","A laboratory shall be separated from other parts of the building by fire separations conforming to this Code and the NBC, but having a fire-resistance rating of not less than 1 h.",1.0
6889,A fire alarm system is not required in a hotel or motel 3 storeys or less in building height that is contained in a building that is not sprinklered provided each suite has direct access to an exterior exit facility leading to ground level.,A fire alarm system is not required in a hotel or motel 3 storeys or less in building height that is contained in a building that is not sprinklered provided each suite has direct access to an exterior exit facility leading to ground level.,1.0
3958,"Except as otherwise stated in this Section, aisles shall be provided in conformance with the NFC.","Except as otherwise stated in this Section, aisles shall be provided in conformance with the NFC.",1.0
2429,Service water heating systems that use solar thermal technology shall be installed in accordance with the NPC.,Service water heating systems that use solar thermal technology shall be installed in accordance with the NPC.,1.0
2430,"Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall meet the requirements of the appropriate provincial, territorial or municipal legislation or, in the absence of such legislation, shall conform to CSA C22.1-12 Canadian Electrical Code, Part I","Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall meet the requirements of the appropriate provincial, territorial or municipal legislation or, in the absence of such legislation, shall conform to CSA C22.1-12 Canadian Electrical Code, Part I",1.0
6897,"All walls, ceilings and floors separating heated space from unheated space, the exterior air or the exterior soil shall be provided with sufficient thermal insulation to prevent moisture condensation on their room side during the winter and to ensure comfortable conditions for the occupants. (See Note A-9.1.1.1.(1).) (See Note A-9.1.1.1.(1).)","All walls, ceilings and floors separating heated space from unheated space, the exterior air or the exterior soil shall be provided with sufficient thermal insulation to prevent moisture condensation on their room side during the winter and to ensure comfortable conditions for the occupants. (See Note A-9.1.1.1.(1).)",1.0
5885,"Except as permitted by Sentence 3.2.7.9.(3), the emergency power supply for elevators required by Clause 3.2.7.9.(1)(a) shall be capable of operating all elevators for firefighters plus one additional elevator simultaneously.","Except as permitted by Sentence 3.2.7.9.(3), the emergency power supply for elevators required by Clause 3.2.7.9.(1)(a) shall be capable of operating all elevators for firefighters plus one additional elevator simultaneously.",1.0
13118,"Disposal chutes described in Clause 8.2.5.2.(1)(b) of Division B of the NBC shall be constructed of noncombustible material, or terminate not less than 2 m above the disposal bin they serve.","Disposal chutes described in Clause 8.2.5.2.(1)(b) of Division B of the NBC shall be constructed of noncombustible material, or terminate not less than 2 m above the disposal bin they serve.",1.0
2252,"A covered way shall have a clear height of not less than 2.5 m, have a clear width of not less than 1.5 m or the width of the public way, whichever is the lesser, be designed and constructed to support safely all loads that may be reasonably expected to be applied to it, but in no case less than 2.4 kPa on the roof, have a weathertight roof sloped towards the site or, if flat, be equipped with a splash board not less than 300 mm high on the street side, be totally enclosed on the site side with a structure having a reasonably smooth surface facing the public way, have a railing 1 070 mm high on the street side where the covered way is supported by posts on the street side, and be adequately lighted when the public way is lighted.","A covered way shall have a clear height of not less than 2.5 m, have a clear width of not less than 1.5 m or the width of the public way, whichever is the lesser, be designed and constructed to support safely all loads that may be reasonably expected to be applied to it, but in no case less than 2.4 kPa on the roof, have a weathertight roof sloped towards the site or, if flat, be equipped with a splash board not less than 300 mm high on the street side, be totally enclosed on the site side with a structure having a reasonably smooth surface facing the public way, have a railing 1 070 mm high on the street side where the covered way is supported by posts on the street side, and be adequately lighted when the public way is lighted.",1.0
10129,"Buildings intended for the storage of ammonium nitrate shall conform to Sentence 3.3.6.6.(3) of Division B of the NBC, have ventilation in conformance with Sentence 3.3.6.6.(4) of Division B of the NBC, and be designed to prevent the ammonium nitrate from coming into contact with building materials that may react with it as described in Sentence 3.3.6.6.(6) of Division B of the NBC.","Buildings intended for the storage of ammonium nitrate shall conform to Sentence 3.3.6.6.(3) of Division B of the NBC, have ventilation in conformance with Sentence 3.3.6.6.(4) of Division B of the NBC, and be designed to prevent the ammonium nitrate from coming into contact with building materials that may react with it as described in Sentence 3.3.6.6.(6) of Division B of the NBC.",1.0
4274,"A leakage-rated door assembly need not be installed where a dwelling unit served by a public corridor has a second and separate means of egress, or an open-air balcony that is sized to accommodate the number of occupants for which the dwelling unit is intended.","A leakage-rated door assembly need not be installed where a dwelling unit served by a public corridor has a second and separate means of egress, or an open-air balcony that is sized to accommodate the number of occupants for which the dwelling unit is intended.",1.0
5735,"Shelves or counters required by Sentence 3.8.2.11.(2) shall be level, be not less than 305 mm deep, have, for each telephone provided, a clear space not less than 250 mm wide having no obstruction within 250 mm above the surface, and have a section with a surface not more than 865 mm above the floor serving at least one telephone.","Shelves or counters required by Sentence 3.8.2.11.(2) shall be level, be not less than 305 mm deep, have, for each telephone provided, a clear space not less than 250 mm wide having no obstruction within 250 mm above the surface, and have a section with a surface not more than 865 mm above the floor serving at least one telephone.",1.0
11096,"Except as required in Sentence 5.6.1.3.(2), prior to the commencement of construction, alteration or demolition operations, a fire safety plan shall be prepared for the site and shall include the designation and organization of site personnel to carry out fire safety duties, including a fire watch service if applicable, the emergency procedures to be followed in the event of a fire, including initiating a fire warning, notifying the fire department, instructing site personnel on the procedures to be followed once the warning has been initiated, and confining, controlling and extinguishing the fire, measures for controlling fire hazards in and around the building (see Note A-5.6.1.3.(1)(c)), and a maintenance procedure for firefighting measures required in Section 5.6.","Except as required in Sentence 5.6.1.3.(2), prior to the commencement of construction, alteration or demolition operations, a fire safety plan shall be prepared for the site and shall include the designation and organization of site personnel to carry out fire safety duties, including a fire watch service if applicable, the emergency procedures to be followed in the event of a fire, including initiating a fire warning, notifying the fire department, instructing site personnel on the procedures to be followed once the warning has been initiated, and confining, controlling and extinguishing the fire, measures for controlling fire hazards in and around the building (see Note A-5.6.1.3.(1)(c)), and a maintenance procedure for firefighting measures required in Section 5.6.",1.0
7004,Gypsum board applications not described in this Subsection shall conform to CSA A82.31-M1980 Gypsum Board Application,Gypsum board applications not described in this Subsection shall conform to CSA A82.31-M1980 Gypsum Board Application,1.0
10231,"Cylinders of anhydrous ammonia or dangerous goods classified as toxic or oxidizing gases stored indoors shall be located in a room that is separated from the remainder of the building in conformance with Sentence 3.3.6.3.(2) of Division B of the NBC, is located on an exterior wall, can be entered from the exterior, and whose closures leading to the interior of the building are in conformance with Sentence 3.3.6.3.(2) of Division B of the NBC, and is provided with ventilation to the outdoors.","Cylinders of anhydrous ammonia or dangerous goods classified as toxic or oxidizing gases stored indoors shall be located in a room that is separated from the remainder of the building in conformance with Sentence 3.3.6.3.(2) of Division B of the NBC, is located on an exterior wall, can be entered from the exterior, and whose closures leading to the interior of the building are in conformance with Sentence 3.3.6.3.(2) of Division B of the NBC, and is provided with ventilation to the outdoors.",1.0
5055,"Spaces containing an indoor pool or hot tub having a total water surface area of less than 10 m2 need not comply with Sentence 9.36.3.8.(1), provided they are equipped with a cover having a nominal thermal resistance not less than 2.1 (m2·K)/W.","Spaces containing an indoor pool or hot tub having a total water surface area of less than 10 m2 need not comply with Sentence 9.36.3.8.(1), provided they are equipped with a cover having a nominal thermal resistance not less than 2.1 (m2·K)/W.",1.0
10794,Operation of card- or key-activated dispensers shall be restricted to persons authorized by the supply agent to possess a card or key to operate the dispensers.,Operation of card- or key-activated dispensers shall be restricted to persons authorized by the supply agent to possess a card or key to operate the dispensers.,1.0
6140,Fire separations for rooms where flammable liquids and combustible liquids are stored are required to be constructed with a fire-resistance rating in conformance with Subsection 4.2.9. of Division B of the NFC.,Fire separations for rooms where flammable liquids and combustible liquids are stored are required to be constructed with a fire-resistance rating in conformance with Subsection 4.2.9. of Division B of the NFC.,1.0
12048,"Except as provided in Sentence 4.6.4.2.(2) and in addition to the device required by Sentence 4.6.4.1.(1), an emergency shut-off switch to simultaneously stop the flow of fuel at all dispensers at self-service outlets shall be located at the central control console described in Sentence 4.6.8.2.(2) so that it is readily accessible to the attendant.","Except as provided in Sentence 4.6.4.2.(2) and in addition to the device required by Sentence 4.6.4.1.(1), an emergency shut-off switch to simultaneously stop the flow of fuel at all dispensers at self-service outlets shall be located at the central control console described in Sentence 4.6.8.2.(2) so that it is readily accessible to the attendant.",1.0
6133,"Where a public sewage system is not available, the building sewer shall discharge into a private sewage disposal system.","Where a public sewage system is not available, the building sewer shall discharge into a private sewage disposal system.",1.0
11551,Lint traps in laundry equipment shall be cleaned after each use of the equipment.,Lint traps in laundry equipment shall be cleaned after each use of the equipment.,1.0
12532,Nozzles for standpipe and hose systems shall conform to Sentence 3.2.5.11.(7) of Division B of the NBC.,Nozzles for standpipe and hose systems shall conform to Sentence 3.2.5.11.(7) of Division B of the NBC.,1.0
10472,"Except as permitted at self-service outlets, a qualified attendant shall be in constant control of the dispensing of Class I and II liquids into the fuel tanks of motor vehicles, watercraft or floatplanes, or into containers.","Except as permitted at self-service outlets, a qualified attendant shall be in constant control of the dispensing of Class I and II liquids into the fuel tanks of motor vehicles, watercraft or floatplanes, or into containers.",1.0
6928,"Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with Article 2.4.10.4. of Division B of the NPC.","Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with Article 2.4.10.4. of Division B of the NPC.",1.0
7493,"Spaces containing an indoor pool need not comply with Sentence 9.36.3.8.(1), provided a stationary mechanical or desiccant dehumidification system is installed that provides at least 80% of the dehumidification that would result from compliance with Sentence 9.36.3.8.(1).","Spaces containing an indoor pool need not comply with Sentence 9.36.3.8.(1), provided a stationary mechanical or desiccant dehumidification system is installed that provides at least 80% of the dehumidification that would result from compliance with Sentence 9.36.3.8.(1).",1.0
