Full Index,National Full,National in BC,Similarity
3903,"A sign used to direct traffic shall be diamond-shaped and of material not less rigid than 6 mm thick plywood, not less than 450 mm by 450 mm in size and mounted at one corner on a substantial pole not less than 1.2 m long, red on one side with black corner areas so that the red area is a regular 8-sided figure, and with the word ""STOP"" or ""ARRÊT"" in clearly distinguishable white letters not less than 150 mm high located centrally on the sign, yellow on the other side with the word ""SLOW"" or ""LENTEMENT"" in clearly distinguishable black letters not less than 150 mm high located centrally on the sign, or symbols recognized by the International Traffic Code, and maintained in a clean condition when being used.","A sign used to direct traffic shall be diamond-shaped and of material not less rigid than 6 mm thick plywood, not less than 450 mm by 450 mm in size and mounted at one corner on a substantial pole not less than 1.2 m long, red on one side with black corner areas so that the red area is a regular 8-sided figure, and with the word ""STOP"" or ""ARRÊT"" in clearly distinguishable white letters not less than 150 mm high located centrally on the sign, yellow on the other side with the word ""SLOW"" or ""LENTEMENT"" in clearly distinguishable black letters not less than 150 mm high located centrally on the sign, or symbols recognized by the International Traffic Code, and maintained in a clean condition when being used.",1.0
8458,"For case II (see Figure 4.1.6.12.), the accumulation factor, Ca, shall be calculated as follows: Ca=1Cb for0&lt;x b/4,andCa=0.5Cb forb/4&lt;x b/2wherex = horizontal distance from the bottom of the valley, and b= twice the horizontal distance between the bottom of the valley and the peak of the roof surface in question.","For case II (see Figure 4.1.6.12.), the accumulation factor, Ca, shall be calculated as follows: Ca=1Cb for0&lt;x b/4,andCa=0.5Cb forb/4&lt;x b/2wherex = horizontal distance from the bottom of the valley, and b= twice the horizontal distance between the bottom of the valley and the peak of the roof surface in question.",1.0
281,A dwelling unit referred to in Sentence 3.9.3.1.(2) shall be separated from individual self-service storage units by a fire separation having a fire-resistance rating not less than 2 h.,A dwelling unit referred to in Sentence 3.9.3.1.(2) shall be separated from individual self-service storage units by a fire separation having a fire-resistance rating not less than 2 h.,1.0
2684,"A barrier-free path of travel is permitted to include ramps, passenger elevators or other platform-equipped passenger-elevating devices to overcome a difference in level.","A barrier-free path of travel is permitted to include ramps, passenger elevators or other platform-equipped passenger-elevating devices to overcome a difference in level.",1.0
4996,"If all controls serving the principal ventilation fan are in the ""off"" position, the principal ventilation system shall not operate.","If all controls serving the principal ventilation fan are in the ""off"" position, the principal ventilation system shall not operate.",1.0
1318,"Urinals described in Sentence 3.8.2.8.(6) shall be wall-mounted, with the rim located not more than 430 mm above the floor, be adjacent to an accessible route, have a clear width of approach of 800 mm centred on the urinal and unobstructed by privacy screens, have no step in front of it, have a flush control that is automatic, or complies with Clause 3.8.3.8.(1)(b) and is located 900 mm to 1 100 mm above the floor, and have a vertically mounted grab bar installed on each side that complies with Article 3.7.2.8., is not less than 600 mm long, with its centre line 1 000 mm above the floor, and is located not more than 380 mm from the centre line of the urinal.","Urinals described in Sentence 3.8.2.8.(6) shall be wall-mounted, with the rim located not more than 430 mm above the floor, be adjacent to an accessible route, have a clear width of approach of 800 mm centred on the urinal and unobstructed by privacy screens, have no step in front of it, have a flush control that is automatic, or complies with Clause 3.8.3.8.(1)(b) and is located 900 mm to 1 100 mm above the floor, and have a vertically mounted grab bar installed on each side that complies with Article 3.7.2.8., is not less than 600 mm long, with its centre line 1 000 mm above the floor, and is located not more than 380 mm from the centre line of the urinal.",1.0
1468,"Roof-top enclosures provided for elevator machinery, stairways or service rooms, used for no purpose other than for service to the building, shall not be considered as a storey in calculating the building height.","Roof-top enclosures provided for elevator machinery, stairways or service rooms, used for no purpose other than for service to the building, shall not be considered as a storey in calculating the building height.",1.0
5532,"This Article applies to dwelling units that contain a fuel-fired space-heating appliance or fuel-fired water-heating appliance of other than direct-vented or mechanically vented types, and ancillary spaces that contain an exhaust device, where the space is not within a dwelling unit in a house with a secondary suite and where the house with a secondary suite contains a fuel-fired space-heating appliance or fuel-fired water-heating appliance of other than direct-vented or mechanically vented types.","This Article applies to dwelling units that contain a fuel-fired space-heating appliance or fuel-fired water-heating appliance of other than direct-vented or mechanically vented types, and ancillary spaces that contain an exhaust device, where the space is not within a dwelling unit in a house with a secondary suite and where the house with a secondary suite contains a fuel-fired space-heating appliance or fuel-fired water-heating appliance of other than direct-vented or mechanically vented types.",1.0
6840,"Except as provided in Sentence 9.9.7.3.(1) and except for dwelling units in a house with a secondary suite, where an egress door from a dwelling unit opens onto a public corridor or exterior passageway it shall be possible from the location where the egress door opens onto the corridor or exterior passageway to go in opposite directions to 2 separate exits unless the dwelling unit has a second and separate means of egress.","Except as provided in Sentence 9.9.7.3.(1) and except for dwelling units in a house with a secondary suite, where an egress door from a dwelling unit opens onto a public corridor or exterior passageway it shall be possible from the location where the egress door opens onto the corridor or exterior passageway to go in opposite directions to 2 separate exits unless the dwelling unit has a second and separate means of egress.",1.0
6390,A ventilation system required by this Subsection shall be maintained in conformance with Article 5.5.4.1. of Division B of the NFC.,A ventilation system required by this Subsection shall be maintained in conformance with Article 5.5.4.1. of Division B of the NFC.,1.0
2678,A rooftop enclosure which is more than 200 m2 in area shall be provided with at least 2 means of egress.,A rooftop enclosure which is more than 200 m2 in area shall be provided with at least 2 means of egress.,1.0
8104,"For the purpose of this Subsection, the term ""other fenestration assemblies"" refers to curtain walls, window walls, storefronts and glazed architectural structures. (See Note A-5.9.3.1.(1).)","For the purpose of this Subsection, the term ""other fenestration assemblies"" refers to curtain walls, window walls, storefronts and glazed architectural structures. (See Note A-5.9.3.1.(1).)",1.0
6447,"A roof-top enclosure provided for elevator machinery, a stairway or a service room used for no purpose other than for service to the building, shall not be considered as a storey in calculating the building height.","A roof-top enclosure provided for elevator machinery, a stairway or a service room used for no purpose other than for service to the building, shall not be considered as a storey in calculating the building height.",1.0
13447,Areas or rooms communicating with the landing area shall be separated therefrom by a fire separation conforming to the NBC.,Areas or rooms communicating with the landing area shall be separated therefrom by a fire separation conforming to the NBC.,1.0
12398,"Except for the storage of distilled beverage alcohol, where Class IA or IB liquids are used, dispensed or stored in open containers within a storage room, or where Class IA liquids are stored in containers exceeding 4 L in capacity, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with Sentence 3.3.6.4.(2) of Division B of the NBC. (See Note A-3.2.8.2.(1)(d).)","Except for the storage of distilled beverage alcohol, where Class IA or IB liquids are used, dispensed or stored in open containers within a storage room, or where Class IA liquids are stored in containers exceeding 4 L in capacity, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with Sentence 3.3.6.4.(2) of Division B of the NBC. (See Note A-3.2.8.2.(1)(d).)",1.0
6044,"Where a washroom is not designed to accommodate persons with physical disabilities in a storey to which a barrier-free path of travel is required, signs shall be provided to indicate the location of barrier-free facilities.","Where a washroom is not designed to accommodate persons with physical disabilities in a storey to which a barrier-free path of travel is required, signs shall be provided to indicate the location of barrier-free facilities.",1.0
3929,The clear height over landings serving a single dwelling unit or a house with a secondary suite including their common spaces shall be not less than 1 950 mm.,The clear height over landings serving a single dwelling unit or a house with a secondary suite including their common spaces shall be not less than 1 950 mm.,1.0
8341,"If one or more elevators are provided in a building, all storeys shall be served by at least one elevator which has inside dimensions that will accommodate and provide adequate access for a patient stretcher 2 010 mm long and 610 mm wide in the prone position. (See Note A-3.5.4.1.(1).) (See Note A-3.5.4.1.(1).)","If one or more elevators are provided in a building, all storeys shall be served by at least one elevator which has inside dimensions that will accommodate and provide adequate access for a patient stretcher 2 010 mm long and 610 mm wide in the prone position. (See Note A-3.5.4.1.(1).)",1.0
12671,Buildings or parts thereof used for the storage of baled combustible fibres shall conform to Article 3.1.2.6. of Division B of the NBC.,Buildings or parts thereof used for the storage of baled combustible fibres shall conform to Article 3.1.2.6. of Division B of the NBC.,1.0
1466,"For case III (see Figure 4.1.6.12.), Ca shall be calculated as follows: Ca=1.5Cb for0&lt;x b/8,andCa=0.5Cb forb/8&lt;x b/2wherex, b = as specified in Sentence 4.1.6.12.(2).","For case III (see Figure 4.1.6.12.), Ca shall be calculated as follows: Ca=1.5Cb for0&lt;x b/8,andCa=0.5Cb forb/8&lt;x b/2wherex, b = as specified in Sentence 4.1.6.12.(2).",1.0
5536,"Except as permitted in Sentence 9.7.5.2.(2), hinges for doors described in Sentence 9.7.5.2.(1) shall be fastened to wood doors with wood screws not less than 25 mm long and to wood frames with wood screws so that at least 2 screws per hinge penetrate not less than 30 mm into solid wood, or to metal doors and metal frames with machine screws not smaller than No. 10 and not less than 10 mm long. (See Note A-9.7.5.2.(6).)","Except as permitted in Sentence 9.7.5.2.(2), hinges for doors described in Sentence 9.7.5.2.(1) shall be fastened to wood doors with wood screws not less than 25 mm long and to wood frames with wood screws so that at least 2 screws per hinge penetrate not less than 30 mm into solid wood, or to metal doors and metal frames with machine screws not smaller than No. 10 and not less than 10 mm long. (See Note A-9.7.5.2.(6).)",1.0
7895,"With the principal ventilation fan operating at its normal operating exhaust capacity, the airflow in the outdoor air supply duct shall be measured and the flow-regulating damper required by Sentence 9.32.3.5.(5) shall be adjusted and permanently fixed so that the airflow in the outdoor air supply duct is within ±10% of the actual normal operating exhaust capacity of the principal ventilation fan.","With the principal ventilation fan operating at its normal operating exhaust capacity, the airflow in the outdoor air supply duct shall be measured and the flow-regulating damper required by Sentence 9.32.3.5.(5) shall be adjusted and permanently fixed so that the airflow in the outdoor air supply duct is within ±10% of the actual normal operating exhaust capacity of the principal ventilation fan.",1.0
8453,"Where the superstructure of a detached building conforms to the requirements of the deformation resistance test in CSA Z240.2.1-09 Structural Requirements for Manufactured Homes the foundation shall be constructed in conformance with the remainder of this Section, or CSA Z240.10.1-16 Site Preparation, Foundation, and Installation of Buildings","Where the superstructure of a detached building conforms to the requirements of the deformation resistance test in CSA Z240.2.1-09 Structural Requirements for Manufactured Homes the foundation shall be constructed in conformance with the remainder of this Section, or CSA Z240.10.1-16 Site Preparation, Foundation, and Installation of Buildings",1.0
2224,One door separating a conditioned space from an unconditioned space or the exterior is permitted to have an overall thermal transmittance up to 2.6 W/(m2·K).,One door separating a conditioned space from an unconditioned space or the exterior is permitted to have an overall thermal transmittance up to 2.6 W/(m2·K).,1.0
6849,Air duct distribution systems serving one of the dwelling units in a house with a secondary suite shall not be directly interconnected with other parts of the house.,Air duct distribution systems serving one of the dwelling units in a house with a secondary suite shall not be directly interconnected with other parts of the house.,1.0
13810,Urinals shall not be installed adjacent to wall and floor surfaces that are pervious to water. (See Article 3.7.2.6. of Division B of the NBC.),Urinals shall not be installed adjacent to wall and floor surfaces that are pervious to water. (See Article 3.7.2.6. of Division B of the NBC.),1.0
3295,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,1.0
1465,"Except as permitted in Sentence 9.7.5.2.(2), wood doors as described in Sentence 9.7.5.2.(1) shall be solid core or stile-and-rail type, be not less than 45 mm thick, and if of the stile-and-rail type, have a panel thickness of not less than 19 mm, with a total panel area not more than half of the door area.","Except as permitted in Sentence 9.7.5.2.(2), wood doors as described in Sentence 9.7.5.2.(1) shall be solid core or stile-and-rail type, be not less than 45 mm thick, and if of the stile-and-rail type, have a panel thickness of not less than 19 mm, with a total panel area not more than half of the door area.",1.0
7638,The provision of makeup air as described in Sentence 9.32.3.8.(2) is not required if it can be shown using the test procedures in CGSB CAN/CGSB-51.71-2005 Depressurization Test that the maximum depressurization levels to which fuel-fired space- or water-heating appliances and their venting systems will be exposed will not exceed the limits set out in CGSB CAN/CGSB-51.71-2005 Depressurization Test for the categories of fuel-fired appliances and venting systems installed in the dwelling unit.,The provision of makeup air as described in Sentence 9.32.3.8.(2) is not required if it can be shown using the test procedures in CGSB CAN/CGSB-51.71-2005 Depressurization Test that the maximum depressurization levels to which fuel-fired space- or water-heating appliances and their venting systems will be exposed will not exceed the limits set out in CGSB CAN/CGSB-51.71-2005 Depressurization Test for the categories of fuel-fired appliances and venting systems installed in the dwelling unit.,1.0
1649,"Where a building of residential occupancy contains more than 2 houses, a party wall that separates any 2 adjacent houses with a secondary suite from the rest of the building shall be constructed as a firewall to create separate buildings each containing no more than 2 adjacent houses with a secondary suite.","Where a building of residential occupancy contains more than 2 houses, a party wall that separates any 2 adjacent houses with a secondary suite from the rest of the building shall be constructed as a firewall to create separate buildings each containing no more than 2 adjacent houses with a secondary suite.",1.0
9985,"Where a building contains more than one major occupancy, such occupancies shall be separated from each other in conformance with the NBC.","Where a building contains more than one major occupancy, such occupancies shall be separated from each other in conformance with the NBC.",1.0
2387,"Except as permitted by Article 9.10.19.8., smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit, each sleeping room not within a dwelling unit, and ancillary spaces and common spaces not in dwelling units in a house with a secondary suite.","Except as permitted by Article 9.10.19.8., smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit, each sleeping room not within a dwelling unit, and ancillary spaces and common spaces not in dwelling units in a house with a secondary suite.",1.0
6453,Measures shall be taken during demolition to protect the public in conformance with Section 5.6. of Division B of the NFC.,Measures shall be taken during demolition to protect the public in conformance with Section 5.6. of Division B of the NFC.,1.0
5021,"Except as required by Sentence 3.2.4.20.(5) and permitted by Sentence 3.2.4.20.(8), smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit or suite of care occupancy.","Except as required by Sentence 3.2.4.20.(5) and permitted by Sentence 3.2.4.20.(8), smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit or suite of care occupancy.",1.0
4897,"A lightning protection system, when provided, shall conform to the requirements of the appropriate provincial or territorial legislation or, in the absence of such legislation, to CSA CAN/CSA-B72-M87 Installation Code for Lightning Protection Systems","A lightning protection system, when provided, shall conform to the requirements of the appropriate provincial or territorial legislation or, in the absence of such legislation, to CSA CAN/CSA-B72-M87 Installation Code for Lightning Protection Systems",1.0
6748,"For structures located on sites other than Class F that have an SFRS with Rd equal to or greater than 1.5, the elastic base shear obtained from a Linear Dynamic Analysis may be multiplied by the larger of the following factors to obtain the design elastic base shear, Ved: 2S0.23 STa  1.0andS0.5/STa 1.0","For structures located on sites other than Class F that have an SFRS with Rd equal to or greater than 1.5, the elastic base shear obtained from a Linear Dynamic Analysis may be multiplied by the larger of the following factors to obtain the design elastic base shear, Ved: 2S0.23 STa  1.0andS0.5/STa 1.0",1.0
1016,"Where insulation is exposed to the weather and subject to mechanical damage, it shall be protected with not less than 6 mm preservative-treated plywood, or 12 mm cement parging on wire lath applied to the exposed face and edge.","Where insulation is exposed to the weather and subject to mechanical damage, it shall be protected with not less than 6 mm preservative-treated plywood, or 12 mm cement parging on wire lath applied to the exposed face and edge.",1.0
4379,Visual signal devices required by Sentence 3.2.4.19.(1) shall continue to emit a visible signal while voice instructions are being transmitted.,Visual signal devices required by Sentence 3.2.4.19.(1) shall continue to emit a visible signal while voice instructions are being transmitted.,1.0
8011,"Except as required by Sentence 3.1.12.1.(2) and as permitted by Sentence 3.1.12.1.(3), the flame-spread rating and smoke developed classification of a material, assembly, or structural member shall be determined on the basis of not less than three tests conducted in conformance with ULC CAN/ULC-S102-10 Test for Surface Burning Characteristics of Building Materials and Assemblies","Except as required by Sentence 3.1.12.1.(2) and as permitted by Sentence 3.1.12.1.(3), the flame-spread rating and smoke developed classification of a material, assembly, or structural member shall be determined on the basis of not less than three tests conducted in conformance with ULC CAN/ULC-S102-10 Test for Surface Burning Characteristics of Building Materials and Assemblies",1.0
2648,An outdoor air supply fan shall be installed with a rated capacity within ±10% of the actual normal operating exhaust capacity of the exhaust fan installed to satisfy the requirement for a principal ventilation fan.,An outdoor air supply fan shall be installed with a rated capacity within ±10% of the actual normal operating exhaust capacity of the exhaust fan installed to satisfy the requirement for a principal ventilation fan.,1.0
1316,"Except for a door at the entrance to a dwelling unit, a closer for an interior door in a barrier-free path of travel shall have a closing period of not less than 3 s measured from when the door is in an open position of 70° to the doorway, to when the door reaches a point 75 mm from the closed position, measured from the leading edge of the latch side of the door. (See Note A-3.8.3.6.(10).) (See Note A-3.8.3.6.(10).)","Except for a door at the entrance to a dwelling unit, a closer for an interior door in a barrier-free path of travel shall have a closing period of not less than 3 s measured from when the door is in an open position of 70° to the doorway, to when the door reaches a point 75 mm from the closed position, measured from the leading edge of the latch side of the door. (See Note A-3.8.3.6.(10).)",1.0
7318,"Where mirrors are provided in a barrier-free washroom, at least one mirror shall comply with Subsection 3.8.3.","Where mirrors are provided in a barrier-free washroom, at least one mirror shall comply with Subsection 3.8.3.",1.0
11995,A tire storage area designed to contain more than 375 m3 of rubber tires shall be separated from the remainder of the building by a fire separation conforming to Article 3.3.6.5. of Division B of the NBC. (See Note A-3.2.4.2.(1).),A tire storage area designed to contain more than 375 m3 of rubber tires shall be separated from the remainder of the building by a fire separation conforming to Article 3.3.6.5. of Division B of the NBC. (See Note A-3.2.4.2.(1).),1.0
12729,"Smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit.","Smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit.",1.0
3958,"Except as otherwise stated in this Section, aisles shall be provided in conformance with the NFC.","Except as otherwise stated in this Section, aisles shall be provided in conformance with the NFC.",1.0
2038,The distance between each group of self-service storage buildings shall be not less than 9 m.,The distance between each group of self-service storage buildings shall be not less than 9 m.,1.0
6386,Staples for stucco lath or reinforcing shall be not less than 1.98 mm diam or thickness.,Staples for stucco lath or reinforcing shall be not less than 1.98 mm diam or thickness.,1.0
4361,Service water heating systems that use solar thermal technology shall be installed in accordance with the NPC.,Service water heating systems that use solar thermal technology shall be installed in accordance with the NPC.,1.0
2632,An exhaust outlet that does not incorporate a backdraft damper located at the building envelope shall incorporate a screen located at the building envelope to protect against the entry of animals.,An exhaust outlet that does not incorporate a backdraft damper located at the building envelope shall incorporate a screen located at the building envelope to protect against the entry of animals.,1.0
3986,This Section is concerned with the barrier-free design of buildings.,This Section is concerned with the barrier-free design of buildings.,1.0
6491,"This Subsection applies to windows, doors and skylights, including their components, that separate interior space from exterior space, or environmentally dissimilar interior spaces.","This Subsection applies to windows, doors and skylights, including their components, that separate interior space from exterior space, or environmentally dissimilar interior spaces.",1.0
1713,"Emergency lighting shall be provided to an average level of illumination not less than 10 lx at floor or tread level in exits, principal routes providing access to exit in open floor areas and in service rooms, corridors used by the public, corridors serving sleeping rooms in a treatment occupancy, corridors serving sleeping rooms in a care occupancy, except corridors serving sleeping rooms within individual suites of care occupancy, corridors serving classrooms, underground walkways, public corridors, floor areas or parts thereof where the public may congregate in Group A, Division 1 occupancies, or in Group A, Division 2 and 3 occupancies having an occupant load of 60 or more, floor areas or parts thereof of daycare centres where persons are cared for, food preparation areas in commercial kitchens, and public washrooms that are equipped to serve more than one person at a time.","Emergency lighting shall be provided to an average level of illumination not less than 10 lx at floor or tread level in exits, principal routes providing access to exit in open floor areas and in service rooms, corridors used by the public, corridors serving sleeping rooms in a treatment occupancy, corridors serving sleeping rooms in a care occupancy, except corridors serving sleeping rooms within individual suites of care occupancy, corridors serving classrooms, underground walkways, public corridors, floor areas or parts thereof where the public may congregate in Group A, Division 1 occupancies, or in Group A, Division 2 and 3 occupancies having an occupant load of 60 or more, floor areas or parts thereof of daycare centres where persons are cared for, food preparation areas in commercial kitchens, and public washrooms that are equipped to serve more than one person at a time.",1.0
5768,The maximum area of individual panes of glass for doors shall conform to Table 9.6.1.3.-G.,The maximum area of individual panes of glass for doors shall conform to Table 9.6.1.3.-G.,1.0
5832,"Where the intake for a supplemental exhaust fan other than a cooking appliance exhaust fan serving a cooktop is installed in a kitchen, it shall be installed in the ceiling or on the wall at not less than 2 m above the floor.","Where the intake for a supplemental exhaust fan other than a cooking appliance exhaust fan serving a cooktop is installed in a kitchen, it shall be installed in the ceiling or on the wall at not less than 2 m above the floor.",1.0
6982,"Where screens or grilles are installed in air intake and exhaust openings, the net free area of the air intake or exhaust opening shall be equal to or greater than the required cross-sectional area of the duct served or such openings shall comply with Table 9.32.3.13.","Where screens or grilles are installed in air intake and exhaust openings, the net free area of the air intake or exhaust opening shall be equal to or greater than the required cross-sectional area of the duct served or such openings shall comply with Table 9.32.3.13.",1.0
4360,Hollow masonry units shall be laid with mortar applied to head and bed joints of both inner and outer face shells.,Hollow masonry units shall be laid with mortar applied to head and bed joints of both inner and outer face shells.,1.0
2314,"Aspects of mechanical ventilation systems not specifically described in this Subsection shall be designed, constructed and installed in accordance with good practice such as that described in the ASHRAE Handbooks and Standards, the HRAI SAR-G1 HRAI Digest the HRAI Residential Mechanical Ventilation Manual, the Hydronics Institute Manuals and the SMACNA manuals.","Aspects of mechanical ventilation systems not specifically described in this Subsection shall be designed, constructed and installed in accordance with good practice such as that described in the ASHRAE Handbooks and Standards, the HRAI SAR-G1 HRAI Digest the HRAI Residential Mechanical Ventilation Manual, the Hydronics Institute Manuals and the SMACNA manuals.",1.0
7104,Capacity ratings for fans shall be measured at the external static pressure differentials shown in Table 9.32.3.10.-A.,Capacity ratings for fans shall be measured at the external static pressure differentials shown in Table 9.32.3.10.-A.,1.0
331,"Where roofing materials are covered in the scope of a standard listed in Table 9.26.2.1.-B, they shall conform to that standard.","Where roofing materials are covered in the scope of a standard listed in Table 9.26.2.1.-B, they shall conform to that standard.",1.0
2631,Two or more heat recovery ventilators shall not be connected in parallel airflow to a common downstream exhaust duct.,Two or more heat recovery ventilators shall not be connected in parallel airflow to a common downstream exhaust duct.,1.0
1936,"Skylights and their components shall be designed, constructed and installed so that they resist snow loads.","Skylights and their components shall be designed, constructed and installed so that they resist snow loads.",1.0
7160,"Mirrors required by Sentence 3.8.2.8.(8) shall be mounted with their bottom edge not more than 1 000 mm above the floor, or fixed in an inclined position so as to be usable by a person in a wheelchair.","Mirrors required by Sentence 3.8.2.8.(8) shall be mounted with their bottom edge not more than 1 000 mm above the floor, or fixed in an inclined position so as to be usable by a person in a wheelchair.",1.0
7289,"Where airtightness is determined in accordance with Sentence 9.36.5.10.(11) using air changes per hour, the result obtained at an air pressure differential of 50 Pa shall be used in the energy model calculations.","Where airtightness is determined in accordance with Sentence 9.36.5.10.(11) using air changes per hour, the result obtained at an air pressure differential of 50 Pa shall be used in the energy model calculations.",1.0
12238,"Except as provided in Sentence 3.3.2.5.(2), an access route constructed in conformance with Subsection 3.2.5. of Division B of the NBC shall be provided to permit the approach of fire department vehicles to within 60 m travelling distance of any part of an individual storage area.","Except as provided in Sentence 3.3.2.5.(2), an access route constructed in conformance with Subsection 3.2.5. of Division B of the NBC shall be provided to permit the approach of fire department vehicles to within 60 m travelling distance of any part of an individual storage area.",1.0
3998,"The length of the drift, xd, shall be calculated as follows: xd=5CbSsg Ca0-1 where  = specific weight of snow as specified in Article 4.1.6.13.","The length of the drift, xd, shall be calculated as follows: xd=5CbSsg Ca0-1 where  = specific weight of snow as specified in Article 4.1.6.13.",1.0
288,"Where a single heating system serves a house with a secondary suite, individual temperature controls shall be provided in each dwelling unit served by the system. (See Note A-9.33.4.3.(1).)","Where a single heating system serves a house with a secondary suite, individual temperature controls shall be provided in each dwelling unit served by the system. (See Note A-9.33.4.3.(1).)",1.0
6981,"The distance from the bottom of an air intake opening to finished ground or to any nearer and lower permanent horizontal surface shall be not less than 450 mm or the depth of expected snow accumulation, whichever is greater.","The distance from the bottom of an air intake opening to finished ground or to any nearer and lower permanent horizontal surface shall be not less than 450 mm or the depth of expected snow accumulation, whichever is greater.",1.0
10629,"Where rooms or spaces within a building contain a high-hazard industrial occupancy, such occupancy shall be separated from the remainder of the building by fire separations in conformance with this Code and the NBC.","Where rooms or spaces within a building contain a high-hazard industrial occupancy, such occupancy shall be separated from the remainder of the building by fire separations in conformance with this Code and the NBC.",1.0
2880,Visual signal devices required by Sentence 3.2.4.19.(1) shall be installed so that the signal from at least one device is visible throughout the floor area or portion thereof in which they are installed. (See Note A-3.2.4.19.(2).),Visual signal devices required by Sentence 3.2.4.19.(1) shall be installed so that the signal from at least one device is visible throughout the floor area or portion thereof in which they are installed. (See Note A-3.2.4.19.(2).),1.0
8375,Doorway openings within secondary suites shall be designed to accommodate swing-type and folding doors not less than 1 890 mm high where the ceiling height complies with Sentence 9.5.3.1.(2).,Doorway openings within secondary suites shall be designed to accommodate swing-type and folding doors not less than 1 890 mm high where the ceiling height complies with Sentence 9.5.3.1.(2).,1.0
6708,"Treads and landings of interior and exterior stairs and ramps, other than those within dwelling units or within houses with a secondary suite including their common spaces, shall have a slip-resistant finish or be provided with slip-resistant strips that extend not more than 1 mm above the surface.","Treads and landings of interior and exterior stairs and ramps, other than those within dwelling units or within houses with a secondary suite including their common spaces, shall have a slip-resistant finish or be provided with slip-resistant strips that extend not more than 1 mm above the surface.",1.0
447,In buildings in which a sprinkler system has been installed in accordance with NFPA 13D-2016 Installation of Sprinkler Systems in One- and Two-Family Dwellings and Manufactured Homes a fire alarm system need not be installed.,In buildings in which a sprinkler system has been installed in accordance with NFPA 13D-2016 Installation of Sprinkler Systems in One- and Two-Family Dwellings and Manufactured Homes a fire alarm system need not be installed.,1.0
3098,"Except for basements in houses with a secondary suite or basements serving not more than one dwelling unit, each unsprinklered basement exceeding 25 m in length or width shall be provided with direct access to the outdoors to at least one street.","Except for basements in houses with a secondary suite or basements serving not more than one dwelling unit, each unsprinklered basement exceeding 25 m in length or width shall be provided with direct access to the outdoors to at least one street.",1.0
4349,"Except as provided in Articles 6.9.4.2. and Article 6.3.1.5., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the requirements of CSA B51-14 Boiler, Pressure Vessel, and Pressure Piping Code CSA B52-13 Mechanical Refrigeration Code CSA B139-09 Installation Code for Oil-Burning Equipment CSA B149.1-10 Natural Gas and Propane Installation Code CSA B365-17 Installation Code for Solid-Fuel-Burning Appliances and Equipment or CSA C22.1-12 Canadian Electrical Code, Part I","Except as provided in Articles 6.9.4.2. and Article 6.3.1.5., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the requirements of CSA B51-14 Boiler, Pressure Vessel, and Pressure Piping Code CSA B52-13 Mechanical Refrigeration Code CSA B139-09 Installation Code for Oil-Burning Equipment CSA B149.1-10 Natural Gas and Propane Installation Code CSA B365-17 Installation Code for Solid-Fuel-Burning Appliances and Equipment or CSA C22.1-12 Canadian Electrical Code, Part I",1.0
7037,Only one handrail is required on exterior stairs having more than 3 risers provided such stairs serve not more than one dwelling unit or a house with a secondary suite.,Only one handrail is required on exterior stairs having more than 3 risers provided such stairs serve not more than one dwelling unit or a house with a secondary suite.,1.0
10624,"Where handicapped children are being cared for in a centre, sufficient staff shall be present to escort the children to safety during the period they are in the centre.","Where handicapped children are being cared for in a centre, sufficient staff shall be present to escort the children to safety during the period they are in the centre.",1.0
12574,"Where wiring or electrical equipment is located in areas in which flammable gases or vapours, combustible dusts or combustible fibres are present in quantities sufficient to create a hazard, such wiring and electrical equipment shall conform to Sentence 3.3.6.2.(4) of Division B of the NBC.","Where wiring or electrical equipment is located in areas in which flammable gases or vapours, combustible dusts or combustible fibres are present in quantities sufficient to create a hazard, such wiring and electrical equipment shall conform to Sentence 3.3.6.2.(4) of Division B of the NBC.",1.0
